phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,138.0,AGSCC_1_138,13178.3353221957,15386.4272076372
tumor cells,Tumor,400.0,AGSCC_1_400,13723.1923828125,14550.251953125
Ki67+ tumor cells,Ki67+ tumor,589.0,AGSCC_1_589,13971.5430656934,14762.2145985401
Ki67+ tumor cells,Ki67+ tumor,977.0,AGSCC_1_977,13410.148502994,14651.0922155689
Ki67+ tumor cells,Ki67+ tumor,1045.0,AGSCC_1_1045,13825.0444444444,13721.8787878788
Ki67+ tumor cells,Ki67+ tumor,1359.0,AGSCC_1_1359,13437.3368983957,14392.4909090909
Ki67+ tumor cells,Ki67+ tumor,1526.0,AGSCC_1_1526,13385.7934065934,14628.321978022
Ki67+ tumor cells,Ki67+ tumor,1815.0,AGSCC_1_1815,13885.7567567568,14402.2412412412
Ki67+ tumor cells,Ki67+ tumor,2433.0,AGSCC_1_2433,13143.8152645273,14511.4579358196
Ki67+ tumor cells,Ki67+ tumor,3022.0,AGSCC_1_3022,13551.3857615894,13612.8741721854
tumor cells,Tumor,3156.0,AGSCC_1_3156,13231.492481203,15580.2471804511
Ki67+ tumor cells,Ki67+ tumor,4639.0,AGSCC_1_4639,14111.0220820189,13570.5378548896
Ki67+ tumor cells,Ki67+ tumor,4685.0,AGSCC_1_4685,13751.0449251248,15196.8103161398
Ki67+ tumor cells,Ki67+ tumor,4838.0,AGSCC_1_4838,13303.5825095057,14534.655513308
Ki67+ tumor cells,Ki67+ tumor,5306.0,AGSCC_1_5306,13117.9652173913,15743.2880434783
Ki67+ tumor cells,Ki67+ tumor,6368.0,AGSCC_1_6368,13714.7232628399,14498.6978851964
Ki67+ tumor cells,Ki67+ tumor,6905.0,AGSCC_1_6905,13907.6979062812,13910.2402791625
Ki67+ tumor cells,Ki67+ tumor,7009.0,AGSCC_1_7009,13147.3400576369,14546.3962536023
tumor cells,Tumor,7650.0,AGSCC_1_7650,13741.9043478261,15339.2886956522
Ki67+ tumor cells,Ki67+ tumor,7723.0,AGSCC_1_7723,13571.8281535649,14181.6590493601
Ki67+ tumor cells,Ki67+ tumor,7852.0,AGSCC_1_7852,13788.4967381174,13727.8462255359
Ki67+ tumor cells,Ki67+ tumor,8555.0,AGSCC_1_8555,13365.6589595376,15559.1310211946
Ki67+ tumor cells,Ki67+ tumor,8718.0,AGSCC_1_8718,13089.4970414201,15701.5170118343
Ki67+ tumor cells,Ki67+ tumor,8732.0,AGSCC_1_8732,13525.0560398506,13603.1693648817
Ki67+ tumor cells,Ki67+ tumor,9006.0,AGSCC_1_9006,13676.150882825,15259.316211878
Ki67+ tumor cells,Ki67+ tumor,9013.0,AGSCC_1_9013,13381.7672281776,14788.3767228178
tumor cells,Tumor,9957.0,AGSCC_1_9957,13840.1016166282,15706.3487297921
Ki67+ tumor cells,Ki67+ tumor,11199.0,AGSCC_1_11199,13324.6359360301,14756.4741298213
