phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,30.0,F82P1_30,32502.4774193548,5212.89290322581
tumor cells,Tumor,187.0,F82P1_187,31728.5247883918,6042.20677146312
tumor cells,Tumor,237.0,F82P1_237,32700.1847206385,4207.1425313569
tumor cells,Tumor,269.0,F82P1_269,32006.4013671875,4849.0810546875
tumor cells,Tumor,293.0,F82P1_293,34445.3942093541,6184.75946547884
tumor cells,Tumor,350.0,F82P1_350,34691.5571428571,6509.41904761905
tumor cells,Tumor,390.0,F82P1_390,32630.3020134228,5906.59731543624
Ki67+ tumor cells,Ki67+ tumor,737.0,F82P1_737,34010.5155440415,5538.11398963731
tumor cells,Tumor,897.0,F82P1_897,32331.0771812081,5813.19127516779
Ki67+ tumor cells,Ki67+ tumor,991.0,F82P1_991,33331.609103079,5925.61311914324
tumor cells,Tumor,994.0,F82P1_994,34256.4007782101,5915.75097276265
tumor cells,Tumor,1026.0,F82P1_1026,31147.7399380805,4466.05108359133
tumor cells,Tumor,1057.0,F82P1_1057,32564.2244186047,5454.99069767442
tumor cells,Tumor,1099.0,F82P1_1099,31625.5544933078,6140.41491395794
Ki67+ tumor cells,Ki67+ tumor,1108.0,F82P1_1108,34884.1286089239,6058.04724409449
tumor cells,Tumor,1208.0,F82P1_1208,32502.8319672131,5890.30942622951
tumor cells,Tumor,1210.0,F82P1_1210,32084.0525727069,5496.77181208054
tumor cells,Tumor,1221.0,F82P1_1221,31864.9222972973,4886.99887387387
Ki67+ tumor cells,Ki67+ tumor,1231.0,F82P1_1231,34527.6749311295,5874.03305785124
tumor cells,Tumor,1305.0,F82P1_1305,31877.6843373494,6021.63373493976
tumor cells,Tumor,1306.0,F82P1_1306,32359.4738955823,5697.4297188755
tumor cells,Tumor,1338.0,F82P1_1338,32342.998489426,4594.56193353474
tumor cells,Tumor,1352.0,F82P1_1352,33295.6958424508,4358.352297593
tumor cells,Tumor,1373.0,F82P1_1373,32047.5745856354,5979.08103130755
tumor cells,Tumor,1376.0,F82P1_1376,34562.6684073107,6231.51436031332
tumor cells,Tumor,1581.0,F82P1_1581,31337.6148282098,4532.81012658228
tumor cells,Tumor,1687.0,F82P1_1687,31442.5707964602,5153.55973451328
tumor cells,Tumor,1721.0,F82P1_1721,34516.6842105263,6187.6819221968
tumor cells,Tumor,1741.0,F82P1_1741,32182.7073684211,5949.90736842105
