CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
403.0,45343.0290791599,25936.0484652666,FAAGSCC_12,tumor cells,Tumor
451.0,45977.6506550218,26838.2561863173,FAAGSCC_12,tumor cells,Tumor
995.0,44870.9471210341,25110.9494712103,FAAGSCC_12,tumor cells,Tumor
1030.0,45797.9327176781,25925.9248021108,FAAGSCC_12,tumor cells,Tumor
1035.0,45054.003033367,25891.0758341759,FAAGSCC_12,tumor cells,Tumor
1848.0,44945.7856586126,25872.7404520655,FAAGSCC_12,tumor cells,Tumor
1886.0,45346.9865319865,27045.1178451178,FAAGSCC_12,tumor cells,Tumor
2228.0,45255.1454545455,26156.126446281,FAAGSCC_12,tumor cells,Tumor
2242.0,45102.5377229081,25943.4567901235,FAAGSCC_12,tumor cells,Tumor
2651.0,45781.4601449275,26455.3913043478,FAAGSCC_12,tumor cells,Tumor
3296.0,44969.9078838174,26856.2846473029,FAAGSCC_12,tumor cells,Tumor
3508.0,46218.5009523809,25936.4571428571,FAAGSCC_12,tumor cells,Tumor
3663.0,45073.241622575,27147.9735449735,FAAGSCC_12,tumor cells,Tumor
4060.0,45889.0322033898,25088.3152542373,FAAGSCC_12,tumor cells,Tumor
4371.0,44570.0,26021.9501915709,FAAGSCC_12,tumor cells,Tumor
4601.0,44948.3519061584,26638.8563049853,FAAGSCC_12,tumor cells,Tumor
4701.0,45003.7378129117,25147.4163372859,FAAGSCC_12,tumor cells,Tumor
5118.0,44959.4031914894,26569.2287234043,FAAGSCC_12,tumor cells,Tumor
5593.0,44461.9065255732,25826.9947089947,FAAGSCC_12,tumor cells,Tumor
5846.0,45642.6483790524,26985.5511221945,FAAGSCC_12,tumor cells,Tumor
5932.0,44983.4052369077,26359.4438902743,FAAGSCC_12,tumor cells,Tumor
5965.0,44931.8548571429,26283.1257142857,FAAGSCC_12,tumor cells,Tumor
6400.0,44867.575,27146.0875,FAAGSCC_12,tumor cells,Tumor
6548.0,44868.2714285714,25523.606122449,FAAGSCC_12,tumor cells,Tumor
6666.0,45345.7148514852,27235.8277227723,FAAGSCC_12,tumor cells,Tumor
6821.0,45026.4539170507,27400.4032258065,FAAGSCC_12,tumor cells,Tumor
7036.0,44981.8031496063,27114.8299212598,FAAGSCC_12,tumor cells,Tumor
7057.0,44583.3397683398,25919.9208494209,FAAGSCC_12,tumor cells,Tumor
7103.0,45921.716937355,26251.8631090487,FAAGSCC_12,tumor cells,Tumor
7720.0,45140.1634782609,26592.1408695652,FAAGSCC_12,tumor cells,Tumor
7953.0,45487.3542510121,27143.4048582996,FAAGSCC_12,tumor cells,Tumor
8163.0,45141.0583501006,27383.7585513078,FAAGSCC_12,tumor cells,Tumor
8506.0,46202.2962085308,25889.144549763,FAAGSCC_12,tumor cells,Tumor
8682.0,45354.3989637306,26956.5630397237,FAAGSCC_12,tumor cells,Tumor
9039.0,44981.0891472868,26462.2015503876,FAAGSCC_12,tumor cells,Tumor
9197.0,44886.5035765379,25708.8497854077,FAAGSCC_12,tumor cells,Tumor
9522.0,45808.9982964225,26371.5843270869,FAAGSCC_12,tumor cells,Tumor
9850.0,45845.8695652174,27128.7991718426,FAAGSCC_12,tumor cells,Tumor
9975.0,45451.4903381643,26807.9323671498,FAAGSCC_12,tumor cells,Tumor
10595.0,44487.3850746269,25884.3671641791,FAAGSCC_12,tumor cells,Tumor
10653.0,45636.3514099783,27009.2255965293,FAAGSCC_12,endothelial cells,Endothelial
10775.0,46413.5427807487,26051.4438502674,FAAGSCC_12,tumor cells,Tumor
11101.0,44976.5628378378,26801.0993243243,FAAGSCC_12,tumor cells,Tumor
11232.0,45322.5601503759,27080.8778195489,FAAGSCC_12,tumor cells,Tumor
11291.0,44555.90625,25956.4278846154,FAAGSCC_12,CD4+ T cells,CD4+ T cells
11510.0,44927.6756756757,25538.3063063063,FAAGSCC_12,tumor cells,Tumor
11780.0,45018.739673391,25835.6099903938,FAAGSCC_12,tumor cells,Tumor
11858.0,44702.2180232558,25890.2558139535,FAAGSCC_12,tumor cells,Tumor
12076.0,45689.0244821092,26621.7212806026,FAAGSCC_12,tumor cells,Tumor
12319.0,44875.23125,25985.9921875,FAAGSCC_12,tumor cells,Tumor
