CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
3.0,13477.4227353464,6017.97690941385,AGSCC_4,tumor cells,Tumor
18.0,13891.641350211,5502.89451476793,AGSCC_4,tumor cells,Tumor
32.0,13243.1515151515,5115.95265151515,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
53.0,14418.1534320323,5757.1601615074,AGSCC_4,NK,NK
56.0,13259.1854636591,5130.10275689223,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
69.0,14182.7776096823,5497.78063540091,AGSCC_4,tumor cells,Tumor
112.0,14274.6424957841,5349.71838111298,AGSCC_4,tumor cells,Tumor
128.0,13929.0495575221,5554.70265486726,AGSCC_4,tumor cells,Tumor
265.0,13363.0297619048,5156.01785714286,AGSCC_4,tumor cells,Tumor
276.0,13913.8192771084,5523.65542168675,AGSCC_4,M1/M0 macrophages,M1/M0 macrophages
288.0,14247.4277673546,5499.89493433396,AGSCC_4,tumor cells,Tumor
312.0,14603.1864716636,5863.86288848263,AGSCC_4,tumor cells,Tumor
345.0,14306.0629800307,5192.92012288786,AGSCC_4,tumor cells,Tumor
431.0,13644.775297619,5523.1443452381,AGSCC_4,tumor cells,Tumor
534.0,13546.8292134831,5089.80449438202,AGSCC_4,tumor cells,Tumor
578.0,14182.6006944444,5131.59895833333,AGSCC_4,tumor cells,Tumor
707.0,14679.6795302013,5068.90100671141,AGSCC_4,tumor cells,Tumor
719.0,13750.724137931,5726.32873563218,AGSCC_4,tumor cells,Tumor
770.0,14095.5919003115,5107.9953271028,AGSCC_4,tumor cells,Tumor
854.0,13365.3380566802,5183.25910931174,AGSCC_4,tumor cells,Tumor
862.0,14271.5009487666,5520.21631878558,AGSCC_4,tumor cells,Tumor
921.0,13507.4622030238,5665.76457883369,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
924.0,14114.7417218543,5529.76158940397,AGSCC_4,tumor cells,Tumor
1163.0,14238.7748031496,5157.15905511811,AGSCC_4,tumor cells,Tumor
1164.0,13356.4914285714,5087.04571428571,AGSCC_4,tumor cells,Tumor
1239.0,14239.3378378378,5408.69932432432,AGSCC_4,tumor cells,Tumor
1286.0,13085.5987654321,4929.30452674897,AGSCC_4,tumor cells,Tumor
1385.0,12974.4865591398,5113.88440860215,AGSCC_4,tumor cells,Tumor
1459.0,13157.2056737589,4909.89361702128,AGSCC_4,tumor cells,Tumor
1497.0,13559.1331220285,5261.87480190174,AGSCC_4,tumor cells,Tumor
1509.0,14326.4604810997,5114.14089347079,AGSCC_4,tumor cells,Tumor
1559.0,14363.9051321928,5192.12130637636,AGSCC_4,tumor cells,Tumor
1571.0,13514.6277777778,5917.37962962963,AGSCC_4,tumor cells,Tumor
1606.0,14471.3346994536,4970.92896174863,AGSCC_4,tumor cells,Tumor
1620.0,13045.0351758794,5427.82412060302,AGSCC_4,tumor cells,Tumor
1633.0,13498.1290322581,5327.59083191851,AGSCC_4,tumor cells,Tumor
1703.0,13297.864321608,5172.75376884422,AGSCC_4,tumor cells,Tumor
1711.0,14573.4375,5799.12202380952,AGSCC_4,tumor cells,Tumor
1765.0,14813.6824742268,5299.84329896907,AGSCC_4,tumor cells,Tumor
1881.0,14686.3723849372,5909.12552301255,AGSCC_4,tumor cells,Tumor
1948.0,14576.5409090909,5777.15,AGSCC_4,tumor cells,Tumor
1949.0,14068.8041044776,5031.13246268657,AGSCC_4,tumor cells,Tumor
2033.0,13782.3120300752,5325.26315789474,AGSCC_4,tumor cells,Tumor
2069.0,14314.7889908257,5399.12844036697,AGSCC_4,tumor cells,Tumor
2091.0,13341.7848699764,5739.78959810875,AGSCC_4,tumor cells,Tumor
2101.0,13844.7196261682,5553.35202492212,AGSCC_4,tumor cells,Tumor
2103.0,12844.0860927152,4920.38079470199,AGSCC_4,tumor cells,Tumor
2176.0,13685.6280991736,5449.42975206612,AGSCC_4,tumor cells,Tumor
2179.0,14577.6304347826,4983.45186335404,AGSCC_4,tumor cells,Tumor
2213.0,13280.7703081232,5264.52941176471,AGSCC_4,tumor cells,Tumor
2221.0,14283.0629770992,5403.91221374046,AGSCC_4,tumor cells,Tumor
2329.0,13439.5250596659,5940.62529832936,AGSCC_4,tumor cells,Tumor
2366.0,14825.6422976501,6037.99738903394,AGSCC_4,tumor cells,Tumor
2392.0,14444.6351648352,5714.56263736264,AGSCC_4,tumor cells,Tumor
2509.0,14453.0968992248,5150.67829457364,AGSCC_4,tumor cells,Tumor
2659.0,13719.3673469388,4887.40408163265,AGSCC_4,tumor cells,Tumor
2667.0,13973.237398374,5204.12520325203,AGSCC_4,tumor cells,Tumor
2676.0,14148.7137989779,5111.82964224872,AGSCC_4,tumor cells,Tumor
2703.0,14254.7878787879,5322.54734848485,AGSCC_4,tumor cells,Tumor
2738.0,14301.5191740413,5369.56342182891,AGSCC_4,M1/M0 macrophages,M1/M0 macrophages
2744.0,14064.0372250423,5662.02707275804,AGSCC_4,tumor cells,Tumor
2818.0,13864.6476426799,5271.9205955335,AGSCC_4,tumor cells,Tumor
2822.0,13981.8402366864,5232.6449704142,AGSCC_4,tumor cells,Tumor
2836.0,13314.5274102079,5795.30056710775,AGSCC_4,tumor cells,Tumor
2870.0,13449.7826086957,5478.43873517787,AGSCC_4,tumor cells,Tumor
3033.0,14387.8652094718,5226.51183970856,AGSCC_4,tumor cells,Tumor
3034.0,14497.5160142349,5287.78291814947,AGSCC_4,tumor cells,Tumor
3064.0,13000.3300492611,4937.97044334975,AGSCC_4,tumor cells,Tumor
3128.0,14261.127806563,5204.72020725389,AGSCC_4,tumor cells,Tumor
3180.0,13603.8358458961,5660.82077051926,AGSCC_4,tumor cells,Tumor
3218.0,14403.7064220183,5647.46788990826,AGSCC_4,tumor cells,Tumor
3269.0,14257.8684759916,5035.02922755741,AGSCC_4,tumor cells,Tumor
3288.0,13558.0446841294,5139.02003081664,AGSCC_4,tumor cells,Tumor
3309.0,13718.7747747748,5770.05405405405,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
3316.0,13599.4718162839,5692.14822546973,AGSCC_4,tumor cells,Tumor
3396.0,13504.4190647482,5184.96043165468,AGSCC_4,tumor cells,Tumor
3434.0,13642.3558951965,5785.93013100437,AGSCC_4,tumor cells,Tumor
3471.0,14351.8199404762,5090.75,AGSCC_4,tumor cells,Tumor
3487.0,13561.353125,5422.9359375,AGSCC_4,tumor cells,Tumor
3500.0,13573.7955801105,5387.58563535912,AGSCC_4,tumor cells,Tumor
3555.0,13456.3551587302,5361.46825396825,AGSCC_4,tumor cells,Tumor
3572.0,13330.3011235955,5171.22696629213,AGSCC_4,tumor cells,Tumor
3600.0,13413.4488330341,5396.79174147217,AGSCC_4,tumor cells,Tumor
3617.0,13526.9242199108,5253.67310549777,AGSCC_4,tumor cells,Tumor
3788.0,14655.9085714286,5088.77714285714,AGSCC_4,tumor cells,Tumor
3864.0,13521.1401869159,5850.72897196262,AGSCC_4,tumor cells,Tumor
3897.0,13868.2085987261,5185.42834394904,AGSCC_4,tumor cells,Tumor
3899.0,13645.5858310627,5818.84741144414,AGSCC_4,tumor cells,Tumor
3913.0,13326.5753424658,5240.30365296804,AGSCC_4,tumor cells,Tumor
3956.0,14265.3631840796,5430.24875621891,AGSCC_4,tumor cells,Tumor
4037.0,13606.1338289963,5354.81040892193,AGSCC_4,tumor cells,Tumor
4043.0,12979.7610062893,4999.4213836478,AGSCC_4,tumor cells,Tumor
4072.0,13595.4052631579,5515.79298245614,AGSCC_4,tumor cells,Tumor
4152.0,13999.643697479,5124.51932773109,AGSCC_4,tumor cells,Tumor
4226.0,14432.9226666667,5484.37066666667,AGSCC_4,tumor cells,Tumor
4248.0,14850.8099009901,5609.81386138614,AGSCC_4,tumor cells,Tumor
4305.0,12962.2301075269,5131.25161290323,AGSCC_4,tumor cells,Tumor
4306.0,14332.3808724832,5149.46308724832,AGSCC_4,tumor cells,Tumor
4314.0,13806.6892523364,5145.03504672897,AGSCC_4,tumor cells,Tumor
4349.0,13392.6548117155,5065.23221757322,AGSCC_4,tumor cells,Tumor
4357.0,13512.6048387097,5969.81989247312,AGSCC_4,tumor cells,Tumor
4394.0,13952.0659340659,4954.31397174254,AGSCC_4,tumor cells,Tumor
4476.0,13214.7325227964,5246.77811550152,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
4503.0,14739.2985074627,5973.20646766169,AGSCC_4,tumor cells,Tumor
4617.0,13471.8,4938.21204819277,AGSCC_4,tumor cells,Tumor
