CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
9.0,42982.2323552736,18427.7232355274,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
127.0,43298.3298892989,18541.8280442804,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
132.0,41463.5548076923,17633.1336538462,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
175.0,42783.097722263,18390.2512858192,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
241.0,42945.7985114301,18280.0457203615,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
324.0,42772.5661274976,18520.5052331113,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
340.0,42413.1975497703,18342.7947932619,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
553.0,42453.1925,18137.23875,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
617.0,42945.4079470199,18415.7112582781,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
681.0,42689.9051348999,17841.4577893821,FAAGSCC_13,tumor cells,Tumor
832.0,41734.6143712575,17338.1760479042,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
858.0,41563.0933098592,17803.5246478873,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
859.0,41880.1643968872,17802.3968871595,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
868.0,42887.1124595469,18473.4611650485,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
935.0,43847.4122919334,19029.6517285531,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
937.0,43607.1226309922,18424.143812709,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
958.0,42720.1856710394,18311.3329969728,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1131.0,43972.0157170923,19136.7190569745,FAAGSCC_13,tumor cells,Tumor
1168.0,41107.0791433892,17035.4348230912,FAAGSCC_13,tumor cells,Tumor
1196.0,42263.1503889369,17545.3595505618,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1301.0,43680.1868327402,18395.4395017794,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1499.0,42909.2075098814,18525.1146245059,FAAGSCC_13,tumor cells,Tumor
1525.0,43889.9277777778,19294.6592592593,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1735.0,42911.5219123506,17753.8658698539,FAAGSCC_13,tumor cells,Tumor
1762.0,41308.6626506024,17612.327978581,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1894.0,43869.5472887768,18801.8928121059,FAAGSCC_13,tumor cells,Tumor
2045.0,42979.1781170483,18379.6374045802,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2052.0,43148.2338709677,18233.1018145161,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2104.0,41964.5294117647,17631.9025735294,FAAGSCC_13,tumor cells,Tumor
2165.0,42965.4778393352,18329.9362880886,FAAGSCC_13,tumor cells,Tumor
2207.0,42725.2747014115,18480.1530944625,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2284.0,41814.7764952781,17843.1458551941,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2343.0,43227.1389913899,18115.3985239852,FAAGSCC_13,tumor cells,Tumor
2499.0,43305.8646788991,18382.6089449541,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2562.0,43685.4433139535,19159.9505813953,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2745.0,43568.6941553243,18520.8542834267,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2780.0,41414.6896551724,17819.5890804598,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2790.0,41721.7530562347,17397.7567237164,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2837.0,43684.0843091335,19099.9367681499,FAAGSCC_13,tumor cells,Tumor
2871.0,42415.1960049938,18591.429463171,FAAGSCC_13,tumor cells,Tumor
3176.0,42860.4743083004,18082.5622529644,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3331.0,43617.0291021672,19149.1219814241,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3470.0,43466.5792838875,18634.7212276215,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3765.0,41983.2311780337,17821.8458813109,FAAGSCC_13,tumor cells,Tumor
3800.0,41729.1954161641,17586.1737032569,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3826.0,43636.6235697941,19288.8306636156,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3859.0,41974.7164473684,17679.0980263158,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4200.0,43137.0404624277,17773.7196531792,FAAGSCC_13,tumor cells,Tumor
4215.0,42631.9073129252,18379.9523809524,FAAGSCC_13,tumor cells,Tumor
4293.0,43064.3840544482,18111.9202722411,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4349.0,42278.6162790698,17667.6882267442,FAAGSCC_13,tumor cells,Tumor
4401.0,42018.753125,17460.4052083333,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4406.0,41163.1798469388,17412.8673469388,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4452.0,41813.7715654952,18294.4712460064,FAAGSCC_13,other APCs,Other APCs
4496.0,44035.5868725869,19313.0772200772,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4508.0,42416.6791878173,18244.738071066,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4706.0,42250.3184210526,18489.5640350877,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4843.0,42707.2512077295,17704.2077294686,FAAGSCC_13,tumor cells,Tumor
5386.0,43709.4113009198,19087.8712220762,FAAGSCC_13,tumor cells,Tumor
5487.0,42310.3645833333,17551.1087962963,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
5754.0,41805.0596330275,17331.8623853211,FAAGSCC_13,tumor cells,Tumor
5791.0,42929.2214170692,18498.3518518519,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
5854.0,42196.5414634146,17665.3768292683,FAAGSCC_13,tumor cells,Tumor
6105.0,41796.3688016529,18256.3326446281,FAAGSCC_13,other APCs,Other APCs
6133.0,41459.1866485014,17823.0749318801,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
6145.0,41751.2279569892,18321.0752688172,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
6269.0,42827.8298662704,18413.97102526,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
