CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
507.0,35621.6928471248,8032.698457223,HNSCC_7,tumor cells,Tumor
768.0,35436.2171628722,9063.36252189142,HNSCC_7,tumor cells,Tumor
904.0,35805.4359351988,7833.77172312224,HNSCC_7,tumor cells,Tumor
1543.0,35749.6461126005,8056.05495978552,HNSCC_7,tumor cells,Tumor
1700.0,35882.712,8173.556,HNSCC_7,tumor cells,Tumor
1712.0,34972.3562610229,7715.71075837743,HNSCC_7,tumor cells,Tumor
1803.0,35502.0287539936,8426.4696485623,HNSCC_7,tumor cells,Tumor
1808.0,35598.733615222,8723.90486257928,HNSCC_7,tumor cells,Tumor
2644.0,35201.846743295,7889.47509578544,HNSCC_7,tumor cells,Tumor
3084.0,34977.8146341463,7867.47317073171,HNSCC_7,tumor cells,Tumor
3332.0,34999.9571106095,8074.69300225734,HNSCC_7,tumor cells,Tumor
3864.0,35513.3924611973,9055.70066518847,HNSCC_7,tumor cells,Tumor
4079.0,35484.2575757576,8017.47835497836,HNSCC_7,tumor cells,Tumor
4083.0,35333.0789889415,7922.98104265403,HNSCC_7,tumor cells,Tumor
4614.0,35695.711790393,7985.43668122271,HNSCC_7,tumor cells,Tumor
4984.0,35991.4473684211,7726.84210526316,HNSCC_7,tumor cells,Tumor
5265.0,35532.0553278689,8901.0881147541,HNSCC_7,Ki67+ tumor cells,Ki67+ tumor
5528.0,35765.6660305344,8759.1641221374,HNSCC_7,tumor cells,Tumor
6109.0,35558.33512786,7972.06594885599,HNSCC_7,tumor cells,Tumor
6269.0,36250.2313084112,7850.36448598131,HNSCC_7,tumor cells,Tumor
6852.0,35519.0856531049,7710.68308351178,HNSCC_7,tumor cells,Tumor
6898.0,35202.838150289,7727.07803468208,HNSCC_7,tumor cells,Tumor
6965.0,35870.991902834,8878.37246963563,HNSCC_7,tumor cells,Tumor
7611.0,34906.8946078431,8531.88235294118,HNSCC_7,tumor cells,Tumor
8486.0,35848.2412451362,8126.98249027237,HNSCC_7,tumor cells,Tumor
8765.0,34988.9260143198,9107.68019093079,HNSCC_7,tumor cells,Tumor
8790.0,35858.4814126394,7830.67286245353,HNSCC_7,tumor cells,Tumor
9094.0,35564.0652920962,8137.74914089347,HNSCC_7,tumor cells,Tumor
9171.0,35999.7068965517,7849.6099137931,HNSCC_7,tumor cells,Tumor
9447.0,35264.750524109,7880.02306079665,HNSCC_7,tumor cells,Tumor
9579.0,35839.9622641509,8736.93238993711,HNSCC_7,tumor cells,Tumor
9632.0,35027.6138211382,8137.18902439024,HNSCC_7,tumor cells,Tumor
10075.0,35138.8773234201,9133.7657992565,HNSCC_7,tumor cells,Tumor
10156.0,35788.5415617128,7620.64483627204,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
10602.0,35544.0400696864,8521.3118466899,HNSCC_7,tumor cells,Tumor
11334.0,35495.0233545648,8485.57324840764,HNSCC_7,tumor cells,Tumor
12036.0,35257.9384965831,7910.10478359909,HNSCC_7,tumor cells,Tumor
12129.0,36090.2564102564,8062.30769230769,HNSCC_7,tumor cells,Tumor
12348.0,35934.1620111732,8941.06517690875,HNSCC_7,tumor cells,Tumor
12749.0,35761.4571428571,8688.43265306123,HNSCC_7,tumor cells,Tumor
