CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
161.0,20747.4270462633,20384.6494661922,AGSCC_3,tumor cells,Tumor
240.0,19465.5902004454,19036.7394209354,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
318.0,20004.9345047923,18146.8658146965,AGSCC_3,tumor cells,Tumor
344.0,20057.6964933495,18121.5441354293,AGSCC_3,tumor cells,Tumor
912.0,20789.9168241966,21234.7051039698,AGSCC_3,tumor cells,Tumor
1083.0,20366.0,20788.6802443992,AGSCC_3,tumor cells,Tumor
1144.0,19793.1491596639,21224.012605042,AGSCC_3,tumor cells,Tumor
1222.0,20366.9112676056,20570.1704225352,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
1586.0,20270.7704918033,20307.1733021077,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
1659.0,20655.7269155206,20291.7328094303,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
2085.0,20269.3112701252,19793.6851520572,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
2541.0,20632.3094777563,20855.6266924565,AGSCC_3,tumor cells,Tumor
2559.0,20835.6578947368,20460.1113360324,AGSCC_3,tumor cells,Tumor
2582.0,20884.3231083845,21422.9488752556,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
2811.0,20881.2548262548,20352.8359073359,AGSCC_3,tumor cells,Tumor
2940.0,20564.0089766607,20406.5619389587,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
3027.0,20516.5087040619,20686.251450677,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
3156.0,20138.180698152,18100.2669404517,AGSCC_3,tumor cells,Tumor
3172.0,20310.9905956113,20301.4373040752,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
3300.0,20553.8481675393,20772.9083769634,AGSCC_3,tumor cells,Tumor
3640.0,21035.5215311005,20576.9449760766,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
3773.0,20710.7548291233,20218.6121842496,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
3943.0,20912.8417132216,20701.1527001862,AGSCC_3,tumor cells,Tumor
4152.0,20682.4261168385,21299.6408934708,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
4238.0,19645.7605932203,18406.0974576271,AGSCC_3,tumor cells,Tumor
4425.0,20197.5250596659,19480.5608591885,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
4530.0,20777.7794486216,20656.1854636592,AGSCC_3,tumor cells,Tumor
4687.0,20742.6526508227,20492.8519195612,AGSCC_3,tumor cells,Tumor
4961.0,20837.9303079417,21329.8427876823,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
5419.0,20741.626223092,20297.8043052838,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
5493.0,19525.9043478261,18263.7347826087,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
6217.0,20522.5143403442,20108.4302103251,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
6540.0,19827.9011764706,18240.8823529412,AGSCC_3,tumor cells,Tumor
6576.0,20477.1983002833,19623.4787535411,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
6742.0,19560.8289738431,21229.0663983903,AGSCC_3,tumor cells,Tumor
6969.0,20089.0528735632,19624.9264367816,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
7066.0,20640.2288461538,20153.2211538462,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
7483.0,19749.0352422908,18335.7533039648,AGSCC_3,tumor cells,Tumor
7660.0,20296.1589147287,19824.011627907,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
7837.0,20860.6542443064,20503.4265010352,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
7848.0,19689.7765667575,18352.8474114441,AGSCC_3,tumor cells,Tumor
8292.0,20527.5361552028,20895.4744268078,AGSCC_3,tumor cells,Tumor
8314.0,20056.201826484,21558.5753424658,AGSCC_3,tumor cells,Tumor
8452.0,19980.4207011686,18189.5742904841,AGSCC_3,tumor cells,Tumor
8739.0,20329.0129151292,20786.9833948339,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
9607.0,19561.843444227,21062.0900195695,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
9704.0,20216.0877513711,20397.7531992687,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
9760.0,20456.9037199125,20633.4442013129,AGSCC_3,tumor cells,Tumor
9829.0,20689.493877551,20369.0551020408,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
9847.0,20466.8973843058,20674.8048289738,AGSCC_3,tumor cells,Tumor
9903.0,20081.9838709677,19172.0138248848,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
10099.0,20842.1534391534,20650.8095238095,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
10313.0,19539.970703125,17701.662109375,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
10378.0,20510.6222222222,20799.9358024691,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
10406.0,20653.1968325792,20533.3823529412,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
10461.0,20629.9727626459,20197.0642023346,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
10487.0,20623.0281124498,20542.656626506,AGSCC_3,tumor cells,Tumor
11672.0,20442.837254902,20598.831372549,AGSCC_3,tumor cells,Tumor
12225.0,20883.0989010989,20672.4879120879,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
12413.0,20843.1391862955,21379.0556745182,AGSCC_3,tumor cells,Tumor
12894.0,19516.7322515213,17726.4320486815,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
12970.0,20692.243902439,20898.3747228381,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
13028.0,19871.3977777778,21274.3666666667,AGSCC_3,tumor cells,Tumor
13160.0,20281.1236162362,18162.7619926199,AGSCC_3,tumor cells,Tumor
13186.0,20322.8992395437,18183.6216730038,AGSCC_3,tumor cells,Tumor
13682.0,20113.8376068376,18160.9230769231,AGSCC_3,tumor cells,Tumor
13699.0,20343.4300626305,20194.0793319415,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
14696.0,20244.4642032333,18100.1200923788,AGSCC_3,tumor cells,Tumor
14909.0,20939.8202020202,20518.6565656566,AGSCC_3,tumor cells,Tumor
15010.0,20397.7355371901,20712.3533057851,AGSCC_3,tumor cells,Tumor
15099.0,20734.0859728507,20190.020361991,AGSCC_3,tumor cells,Tumor
15125.0,20562.6194539249,19802.2184300341,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
15310.0,20619.8388059702,20006.6059701493,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
15349.0,19917.868159204,19366.7661691542,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
15550.0,20065.9051383399,19196.7509881423,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
16034.0,20545.6038732394,20364.9718309859,AGSCC_3,tumor cells,Tumor
16054.0,19750.4784688995,19616.3157894737,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
16315.0,20521.641025641,20332.3752913753,AGSCC_3,tumor cells,Tumor
16885.0,20572.6526806527,21132.1515151515,AGSCC_3,tumor cells,Tumor
17394.0,19978.3106060606,19327.7348484848,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
17432.0,19666.1948051948,21057.9202226345,AGSCC_3,tumor cells,Tumor
17530.0,19485.6398601399,17780.6853146853,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
17736.0,19944.1898238748,18221.8473581213,AGSCC_3,tumor cells,Tumor
18223.0,20040.1329588015,19422.6797752809,AGSCC_3,tumor cells,Tumor
18778.0,19614.6466666667,18330.08,AGSCC_3,tumor cells,Tumor
18839.0,20761.8048289738,20340.7142857143,AGSCC_3,tumor cells,Tumor
19100.0,20420.2775330396,20827.8171806167,AGSCC_3,tumor cells,Tumor
19679.0,19845.143442623,21421.7336065574,AGSCC_3,tumor cells,Tumor
19825.0,19756.5279069767,18309.8186046512,AGSCC_3,tumor cells,Tumor
20404.0,20988.2860082305,20342.1913580247,AGSCC_3,tumor cells,Tumor
20475.0,20670.0983606557,21254.3208430913,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
21078.0,19476.054368932,17702.2291262136,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
21338.0,20566.4719827586,20878.7672413793,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
21347.0,20471.1419753086,20792.2818930041,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
21405.0,20772.9487179487,20378.0820512821,AGSCC_3,tumor cells,Tumor
21473.0,20140.7445652174,19462.4166666667,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
21490.0,19506.4367816092,18373.9149425287,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
21769.0,20681.8790170132,20183.0737240076,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
21937.0,19767.5495867769,21183.9731404959,AGSCC_3,tumor cells,Tumor
21958.0,20424.1779026217,20736.7808988764,AGSCC_3,tumor cells,Tumor
22223.0,20754.3414239482,21172.783171521,AGSCC_3,tumor cells,Tumor
22368.0,19653.3647058824,18060.1764705882,AGSCC_3,tumor cells,Tumor
22517.0,20809.6923076923,20405.891025641,AGSCC_3,tumor cells,Tumor
22549.0,20653.9818181818,21034.9113636364,AGSCC_3,tumor cells,Tumor
22591.0,20949.9794392523,20580.0336448598,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
22693.0,20515.6803118908,19940.3294346979,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
22757.0,20867.8521303258,21437.5438596491,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
23147.0,19836.8614864865,21840.0135135135,AGSCC_3,tumor cells,Tumor
23187.0,20524.4133333333,20780.7688888889,AGSCC_3,tumor cells,Tumor
23703.0,21144.8125,20744.3875,AGSCC_3,tumor cells,Tumor
23896.0,20744.3819444444,20526.6134259259,AGSCC_3,tumor cells,Tumor
24033.0,20576.1421686747,21208.5469879518,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
24425.0,21102.5632183908,20000.1034482759,AGSCC_3,tumor cells,Tumor
25376.0,19534.2979591837,18449.0918367347,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
25590.0,20945.8665377176,20295.499032882,AGSCC_3,tumor cells,Tumor
25850.0,19783.0125523013,21390.2538354254,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
25935.0,20359.4106145251,18113.8729050279,AGSCC_3,tumor cells,Tumor
25958.0,19878.441898527,20620.2062193126,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
26624.0,19636.3674418605,18320.3651162791,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
26814.0,19578.189119171,18400.6450777202,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
26898.0,19898.7630057803,20649.8131021195,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
28236.0,21176.6393442623,20858.1114754098,AGSCC_3,tumor cells,Tumor
28275.0,20591.8823529412,19994.4740484429,AGSCC_3,tumor cells,Tumor
28405.0,19654.1849462366,18167.6408602151,AGSCC_3,tumor cells,Tumor
28464.0,19930.2753623188,18162.0489130435,AGSCC_3,tumor cells,Tumor
28622.0,20041.2121212121,22003.0303030303,AGSCC_3,tumor cells,Tumor
28977.0,20496.6191536748,20914.3719376392,AGSCC_3,tumor cells,Tumor
28996.0,20759.7320754717,21452.220754717,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
29000.0,19734.3097713098,18296.8794178794,AGSCC_3,tumor cells,Tumor
29046.0,19557.8077709611,17719.6175869121,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
29066.0,19499.3404669261,21138.9046692607,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
29219.0,20116.1019417476,19341.8519417476,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
29306.0,19461.5965909091,17752.7859848485,AGSCC_3,Ki67+ tumor cells,Ki67+ tumor
