CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
275.0,15221.564516129,49076.2822580645,F43P1,tumor cells,Tumor
1108.0,14812.6114180479,48890.0939226519,F43P1,tumor cells,Tumor
1197.0,15617.9831932773,48592.4621848739,F43P1,tumor cells,Tumor
1437.0,14741.8551724138,48927.6344827586,F43P1,Ki67+ tumor cells,Ki67+ tumor
2277.0,15494.4558823529,48970.7605042017,F43P1,Ki67+ tumor cells,Ki67+ tumor
3967.0,15102.2857142857,50744.3619047619,F43P1,tumor cells,Tumor
4070.0,15608.8704866562,49515.7072213501,F43P1,Ki67+ tumor cells,Ki67+ tumor
4279.0,15266.2049910873,49600.1408199643,F43P1,tumor cells,Tumor
4544.0,15573.2336956522,49259.8559782609,F43P1,Ki67+ tumor cells,Ki67+ tumor
5389.0,15596.1272727273,48599.2363636364,F43P1,Ki67+ tumor cells,Ki67+ tumor
7413.0,13861.8369565217,49544.0,F43P1,tumor cells,Tumor
7666.0,14996.6666666667,48672.3459119497,F43P1,Ki67+ tumor cells,Ki67+ tumor
8316.0,15199.045112782,49361.8421052632,F43P1,tumor cells,Tumor
9213.0,13845.7176870748,49528.0408163265,F43P1,tumor cells,Tumor
10055.0,14566.3006535948,49474.1830065359,F43P1,tumor cells,Tumor
11625.0,14348.1449579832,49526.7289915966,F43P1,tumor cells,Tumor
11861.0,14301.3708206687,49759.5410334347,F43P1,tumor cells,Tumor
12649.0,15092.4976415094,50356.7264150943,F43P1,Ki67+ tumor cells,Ki67+ tumor
13156.0,14544.4297520661,49644.9173553719,F43P1,tumor cells,Tumor
13680.0,14866.1344086022,48873.435483871,F43P1,tumor cells,Tumor
14673.0,14946.3785900783,48642.6005221932,F43P1,Ki67+ tumor cells,Ki67+ tumor
17930.0,14557.0621621622,49941.1432432432,F43P1,tumor cells,Tumor
18172.0,14973.850931677,50101.6801242236,F43P1,Ki67+ tumor cells,Ki67+ tumor
19353.0,14901.3510638298,50401.5780141844,F43P1,tumor cells,Tumor
23249.0,15139.8131868132,49146.5934065934,F43P1,tumor cells,Tumor
23436.0,15577.5995423341,49566.8009153318,F43P1,tumor cells,Tumor
23559.0,15290.6723768737,49170.6531049251,F43P1,tumor cells,Tumor
23911.0,15169.1629955947,50090.1585903084,F43P1,tumor cells,Tumor
25219.0,15607.9223300971,50020.5922330097,F43P1,tumor cells,Tumor
25771.0,15169.9444444444,49689.6746031746,F43P1,neutrophils,Neutrophils
