CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
230.0,16149.8967551622,21253.9793510324,FAAGSCC_13,tumor cells,Tumor
1212.0,16571.9789842382,20013.3134851138,FAAGSCC_13,tumor cells,Tumor
1400.0,16892.6449612403,20515.592248062,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1492.0,16593.9252782194,20673.2639109698,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1933.0,16611.3406593407,20779.5480769231,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
1945.0,16698.7456,20643.8832,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2050.0,18084.8633257403,20239.5671981777,FAAGSCC_13,CD4+ T cells,CD4+ T cells
2155.0,17978.8665297741,20512.2895277207,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
2740.0,16186.4069767442,21216.4389534884,FAAGSCC_13,tumor cells,Tumor
2934.0,16310.0168855535,20726.2476547842,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3031.0,16357.25,21021.0945121951,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3121.0,16566.2621502209,20449.0014727541,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3482.0,16535.8030018762,20007.200750469,FAAGSCC_13,tumor cells,Tumor
3948.0,16106.5446428571,21211.5959821429,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
3985.0,16790.0404040404,20523.5757575758,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4480.0,18165.2023255814,20756.0209302326,FAAGSCC_13,tumor cells,Tumor
4630.0,16358.7737556561,20817.9411764706,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4813.0,18110.3057199211,20547.0690335306,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
4847.0,18044.0029411765,20711.5647058824,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
5377.0,16491.3018181818,20695.7763636364,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
5419.0,16306.5938069217,20530.5081967213,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
5616.0,15805.0902527076,20540.6407942238,FAAGSCC_13,tumor cells,Tumor
6122.0,18459.1701149425,20401.2114942529,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
6374.0,16451.6369426752,20695.9299363057,FAAGSCC_13,tumor cells,Tumor
6390.0,16515.2615803815,20147.9945504087,FAAGSCC_13,tumor cells,Tumor
6463.0,16567.0726915521,20226.9155206287,FAAGSCC_13,tumor cells,Tumor
6564.0,15881.6666666667,20312.4230769231,FAAGSCC_13,tumor cells,Tumor
6567.0,16576.6297297297,20204.8432432432,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
6735.0,16403.9639344262,20710.0819672131,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
6935.0,16607.5259259259,20853.9222222222,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
7070.0,16360.2291970803,21165.3693430657,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
7312.0,18067.4179389313,20325.2461832061,FAAGSCC_13,tumor cells,Tumor
7479.0,16515.8552915767,20975.9006479482,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
7483.0,16687.4957446809,21223.870212766,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
7610.0,16774.4477211796,20489.9396782842,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
7719.0,15832.3709677419,20388.2396313364,FAAGSCC_13,tumor cells,Tumor
7943.0,15804.0175879397,20378.1432160804,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
8325.0,16579.5648351648,20381.7076923077,FAAGSCC_13,tumor cells,Tumor
8511.0,18146.4597701149,20860.3333333333,FAAGSCC_13,tumor cells,Tumor
9048.0,16528.5337726524,20086.5551894563,FAAGSCC_13,tumor cells,Tumor
9167.0,16341.9570135747,20739.278280543,FAAGSCC_13,tumor cells,Tumor
9259.0,16181.5598006645,20449.1395348837,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
9473.0,16852.3120155039,21021.3992248062,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
9487.0,18348.0730088496,20491.3694690265,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
9532.0,16729.8243902439,21147.7333333333,FAAGSCC_13,tumor cells,Tumor
9820.0,16908.0700280112,20980.2352941176,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
10010.0,16637.413001912,20807.2447418738,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
10287.0,18039.3419811321,20444.2735849057,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
10373.0,16437.3212121212,21288.4545454545,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
10570.0,17820.3733075435,20744.9477756286,FAAGSCC_13,tumor cells,Tumor
10610.0,16598.9435114504,20750.8870229008,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
10835.0,16201.9134948097,20633.384083045,FAAGSCC_13,Ki67+ tumor cells,Ki67+ tumor
