CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
105.0,11924.796460177,13599.5752212389,AGSCC_4,tumor cells,Tumor
120.0,11913.7969151671,13576.2673521851,AGSCC_4,tumor cells,Tumor
132.0,11259.4580335731,13421.9040767386,AGSCC_4,tumor cells,Tumor
157.0,11650.5017241379,12836.5310344828,AGSCC_4,tumor cells,Tumor
183.0,11046.5769230769,13592.2521367521,AGSCC_4,tumor cells,Tumor
258.0,11950.6427350427,12677.6051282051,AGSCC_4,tumor cells,Tumor
354.0,12183.0497925311,12770.3174273859,AGSCC_4,tumor cells,Tumor
372.0,12029.7409326425,13246.274611399,AGSCC_4,tumor cells,Tumor
378.0,12150.9825581395,12664.1627906977,AGSCC_4,tumor cells,Tumor
470.0,10933.6352459016,12816.2418032787,AGSCC_4,tumor cells,Tumor
580.0,11517.5247311828,12592.7204301075,AGSCC_4,tumor cells,Tumor
589.0,12257.9683257919,12525.850678733,AGSCC_4,tumor cells,Tumor
662.0,12056.5118644068,12554.793220339,AGSCC_4,tumor cells,Tumor
681.0,11274.1654135338,13881.9824561404,AGSCC_4,tumor cells,Tumor
702.0,11290.3828451883,12554.3284518828,AGSCC_4,tumor cells,Tumor
714.0,11856.4807692308,12713.7908653846,AGSCC_4,tumor cells,Tumor
747.0,10790.1666666667,12977.186746988,AGSCC_4,tumor cells,Tumor
813.0,12035.9206349206,12986.1224489796,AGSCC_4,tumor cells,Tumor
830.0,11549.1228501229,12981.9656019656,AGSCC_4,tumor cells,Tumor
940.0,11012.096196868,12926.1991051454,AGSCC_4,tumor cells,Tumor
968.0,11398.446,12733.662,AGSCC_4,tumor cells,Tumor
979.0,11193.7677543186,13610.349328215,AGSCC_4,tumor cells,Tumor
1088.0,11326.4418604651,13645.9276485788,AGSCC_4,tumor cells,Tumor
1156.0,11005.6148325359,12818.9019138756,AGSCC_4,tumor cells,Tumor
1178.0,12015.8085106383,12881.9734042553,AGSCC_4,tumor cells,Tumor
1198.0,10886.4137931034,13086.3137931034,AGSCC_4,tumor cells,Tumor
1214.0,11566.0040650406,12759.1158536585,AGSCC_4,tumor cells,Tumor
1275.0,10804.0952380952,12865.7285714286,AGSCC_4,tumor cells,Tumor
1285.0,11552.5444915254,13304.1271186441,AGSCC_4,tumor cells,Tumor
1299.0,12089.7672064777,12694.3603238866,AGSCC_4,tumor cells,Tumor
1320.0,11544.2560386473,13674.1642512077,AGSCC_4,tumor cells,Tumor
1326.0,12175.7841584158,12822.3108910891,AGSCC_4,tumor cells,Tumor
1382.0,11644.7119205298,13083.9966887417,AGSCC_4,tumor cells,Tumor
1383.0,11567.6448275862,13860.4137931034,AGSCC_4,tumor cells,Tumor
1412.0,11769.4141630901,13033.0643776824,AGSCC_4,tumor cells,Tumor
1478.0,11725.1218274112,12890.9966159052,AGSCC_4,tumor cells,Tumor
1484.0,12395.6866096866,13203.7037037037,AGSCC_4,tumor cells,Tumor
1533.0,11956.5164233577,13058.9854014599,AGSCC_4,tumor cells,Tumor
1560.0,10767.679916318,12334.3556485356,AGSCC_4,tumor cells,Tumor
1585.0,11437.0690265487,12639.5734513274,AGSCC_4,tumor cells,Tumor
1591.0,11232.0682414698,13877.3097112861,AGSCC_4,tumor cells,Tumor
1613.0,11950.7227722772,13014.4811881188,AGSCC_4,tumor cells,Tumor
1674.0,11029.4179431072,12682.1947483589,AGSCC_4,tumor cells,Tumor
1726.0,11756.4,12833.9134328358,AGSCC_4,tumor cells,Tumor
1810.0,11188.466083151,13171.5689277899,AGSCC_4,tumor cells,Tumor
1832.0,10805.1862527716,12638.1973392461,AGSCC_4,tumor cells,Tumor
1864.0,11101.4257142857,13355.54,AGSCC_4,tumor cells,Tumor
1902.0,11156.8382749326,13815.6819407008,AGSCC_4,tumor cells,Tumor
1945.0,10960.5987460815,13911.5799373041,AGSCC_4,tumor cells,Tumor
1986.0,11923.7887323944,13486.9313380282,AGSCC_4,tumor cells,Tumor
2024.0,11618.2693409742,13095.4441260745,AGSCC_4,tumor cells,Tumor
2056.0,11366.6955445545,12934.3168316832,AGSCC_4,tumor cells,Tumor
2116.0,11266.9775,13094.9975,AGSCC_4,tumor cells,Tumor
2117.0,11197.83,13797.66,AGSCC_4,tumor cells,Tumor
2122.0,11226.3052631579,12867.3929824561,AGSCC_4,tumor cells,Tumor
2135.0,12143.7713004484,12624.1479820628,AGSCC_4,tumor cells,Tumor
2137.0,10975.6070763501,12933.4040968343,AGSCC_4,tumor cells,Tumor
2149.0,11244.1442542787,12658.7750611247,AGSCC_4,tumor cells,Tumor
2171.0,12218.5797752809,12826.9775280899,AGSCC_4,tumor cells,Tumor
2173.0,11182.5699373695,13702.0835073069,AGSCC_4,tumor cells,Tumor
