CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
86.0,7042.60483870968,11359.9327956989,F82P1,tumor cells,Tumor
90.0,8332.76576576577,10121.6061776062,F82P1,memory CD8+ T cells,Effector CD8+ T cells
221.0,6984.18266978923,11608.4613583138,F82P1,Ki67+ tumor cells,Ki67+ tumor
260.0,6333.86172839506,10843.7283950617,F82P1,tumor cells,Tumor
325.0,6359.462,10720.658,F82P1,Ki67+ tumor cells,Ki67+ tumor
336.0,6416.75802469136,10280.9407407407,F82P1,tumor cells,Tumor
357.0,6723.654296875,11411.044921875,F82P1,tumor cells,Tumor
381.0,8071.43908045977,9975.65747126437,F82P1,tumor cells,Tumor
435.0,6331.70866141732,10393.6902887139,F82P1,Ki67+ tumor cells,Ki67+ tumor
448.0,5974.03724394786,10018.2439478585,F82P1,tumor cells,Tumor
574.0,7972.03469387755,10102.3734693878,F82P1,tumor cells,Tumor
606.0,6766.75764705882,8464.92,F82P1,tumor cells,Tumor
634.0,7065.53448275862,8732.16206896552,F82P1,tumor cells,Tumor
645.0,8094.4849137931,10087.4267241379,F82P1,tumor cells,Tumor
787.0,6383.00819672131,10192.8381147541,F82P1,tumor cells,Tumor
821.0,7949.48400852878,10401.381663113,F82P1,tumor cells,Tumor
876.0,7665.47590361446,10872.9337349398,F82P1,tumor cells,Tumor
892.0,7358.84812623274,11330.5226824458,F82P1,tumor cells,Tumor
1064.0,6770.4794275492,11445.7835420394,F82P1,tumor cells,Tumor
1087.0,6185.46028037383,10697.9205607477,F82P1,Ki67+ tumor cells,Ki67+ tumor
1204.0,7119.59475806452,10255.3891129032,F82P1,tumor cells,Tumor
1297.0,6543.70520231214,10383.9190751445,F82P1,other APCs,Other APCs
1419.0,6777.58064516129,10339.7762096774,F82P1,tumor cells,Tumor
1458.0,7581.02277039848,10616.2333965844,F82P1,tumor cells,Tumor
1462.0,7152.99071925754,10532.8399071926,F82P1,tumor cells,Tumor
1540.0,8078.74324324324,10486.1254826255,F82P1,effector CD8+ T cells,Effector CD8+ T cells
1549.0,6888.55532359082,11406.6764091858,F82P1,tumor cells,Tumor
1562.0,7981.96487603306,10614.770661157,F82P1,Ki67+ tumor cells,Ki67+ tumor
1590.0,7661.57706766917,11573.8082706767,F82P1,M1/M0 macrophages,M1/M0 macrophages
1736.0,6505.64634146342,8888.10670731707,F82P1,tumor cells,Tumor
1780.0,6523.0590809628,11016.7352297593,F82P1,tumor cells,Tumor
1837.0,6802.4375,9054.03794642857,F82P1,tumor cells,Tumor
1881.0,6633.71820448878,8936.72069825437,F82P1,tumor cells,Tumor
1974.0,7309.85232744783,10505.5842696629,F82P1,tumor cells,Tumor
1983.0,6251.58181818182,9612.54393939394,F82P1,other APCs,Other APCs
1985.0,7957.61228813559,10153.8262711864,F82P1,tumor cells,Tumor
2046.0,8200.41414141414,10250.0151515152,F82P1,tumor cells,Tumor
2072.0,6129.5,10677.8966244726,F82P1,Ki67+ tumor cells,Ki67+ tumor
2148.0,6977.80835380835,10388.8796068796,F82P1,tumor cells,Tumor
2266.0,6468.80269058296,10232.4237668161,F82P1,tumor cells,Tumor
2291.0,8309.35222672065,10281.9392712551,F82P1,Ki67+ tumor cells,Ki67+ tumor
2313.0,7224.40264026403,11120.3118811881,F82P1,Ki67+ tumor cells,Ki67+ tumor
2344.0,7156.9511627907,11386.8534883721,F82P1,tumor cells,Tumor
2375.0,6754.26510067114,10809.7013422819,F82P1,tumor cells,Tumor
2390.0,7416.20472440945,11230.1023622047,F82P1,tumor cells,Tumor
2436.0,7724.92768079801,10532.0972568579,F82P1,tumor cells,Tumor
2449.0,6967.53950953679,11458.3569482289,F82P1,Ki67+ tumor cells,Ki67+ tumor
2558.0,6872.06617647059,10326.1593137255,F82P1,tumor cells,Tumor
2571.0,6077.39617486339,10696.5928961749,F82P1,tumor cells,Tumor
2572.0,8037.36254295533,9948.32817869416,F82P1,tumor cells,Tumor
2664.0,6269.45856353591,10756.8149171271,F82P1,tumor cells,Tumor
2729.0,7907.82203389831,10166.1372881356,F82P1,tumor cells,Tumor
2742.0,6158.76470588235,10675.5137254902,F82P1,Ki67+ tumor cells,Ki67+ tumor
2855.0,7652.04556962025,8827.10126582279,F82P1,tumor cells,Tumor
2869.0,7558.82506527415,10944.7441253264,F82P1,tumor cells,Tumor
2928.0,6684.35365853659,11610.3693379791,F82P1,tumor cells,Tumor
2969.0,6747.06493506494,10859.8376623377,F82P1,tumor cells,Tumor
3049.0,7120.66149870801,10560.9121447028,F82P1,Ki67+ tumor cells,Ki67+ tumor
3118.0,6886.04166666667,11552.9050925926,F82P1,tumor cells,Tumor
3137.0,7613.94202898551,11352.347826087,F82P1,M1/M0 macrophages,M1/M0 macrophages
3205.0,6883.88221709007,11587.8637413395,F82P1,tumor cells,Tumor
3214.0,6109.37685459941,10131.0474777448,F82P1,tumor cells,Tumor
3308.0,7445.13843351548,10632.4262295082,F82P1,tumor cells,Tumor
3312.0,6885.66577540107,9237.01069518717,F82P1,tumor cells,Tumor
3330.0,8406.46454767726,10151.2298288509,F82P1,tumor cells,Tumor
3333.0,7246.69590643275,9319.4269005848,F82P1,tumor cells,Tumor
3344.0,7861.63300970874,10410.1650485437,F82P1,tumor cells,Tumor
3493.0,7175.56492027335,11128.708428246,F82P1,tumor cells,Tumor
3562.0,6415.96803652968,10764.2808219178,F82P1,Ki67+ tumor cells,Ki67+ tumor
3563.0,8264.53195488722,10024.5808270677,F82P1,other APCs,Other APCs
3578.0,6494.24557522124,10929.7300884956,F82P1,tumor cells,Tumor
3625.0,7007.57700205339,8671.71868583162,F82P1,Ki67+ tumor cells,Ki67+ tumor
3640.0,6891.61024182077,11203.7553342817,F82P1,tumor cells,Tumor
3734.0,7751.76817288802,9945.6836935167,F82P1,tumor cells,Tumor
3764.0,7437.49563318777,11289.8995633188,F82P1,M2 macrophages,M2 macrophages
3860.0,7614.05555555556,10657.0257936508,F82P1,Ki67+ tumor cells,Ki67+ tumor
3886.0,7612.32369942197,11608.2774566474,F82P1,effector CD8+ T cells,Effector CD8+ T cells
3896.0,6441.65588235294,10377.0088235294,F82P1,tumor cells,Tumor
3907.0,6754.77981651376,11272.3975535168,F82P1,tumor cells,Tumor
4037.0,8002.78296146045,10182.9716024341,F82P1,tumor cells,Tumor
4042.0,7823.85956416465,10565.6707021792,F82P1,tumor cells,Tumor
4056.0,6492.84615384615,11083.4185520362,F82P1,tumor cells,Tumor
4093.0,6925.85888077859,8599.01703163017,F82P1,Ki67+ tumor cells,Ki67+ tumor
4137.0,8108.13766233766,10338.2181818182,F82P1,tumor cells,Tumor
4186.0,7528.13422818792,11041.0984340045,F82P1,Ki67+ tumor cells,Ki67+ tumor
4190.0,7637.11064718163,9195.06680584551,F82P1,tumor cells,Tumor
4223.0,6802.36622390892,11466.4345351044,F82P1,tumor cells,Tumor
4378.0,7088.00473933649,11328.5947867299,F82P1,tumor cells,Tumor
4381.0,6578.84773060029,11396.1698389458,F82P1,tumor cells,Tumor
4410.0,8082.42036553525,10624.4125326371,F82P1,Ki67+ tumor cells,Ki67+ tumor
4458.0,6374.85468451243,10913.34416826,F82P1,tumor cells,Tumor
4551.0,6755.69271758437,11612.4653641208,F82P1,tumor cells,Tumor
4584.0,7879.8597972973,10566.4121621622,F82P1,tumor cells,Tumor
4639.0,7390.7250755287,9390.49546827795,F82P1,Ki67+ tumor cells,Ki67+ tumor
4657.0,5994.43126684636,10618.4150943396,F82P1,tumor cells,Tumor
4662.0,8073.69818913481,10245.9517102616,F82P1,tumor cells,Tumor
4671.0,6921.38461538462,10396.4857142857,F82P1,tumor cells,Tumor
4734.0,6377.05198019802,10142.0668316832,F82P1,tumor cells,Tumor
4785.0,6805.9834605598,11167.3078880407,F82P1,tumor cells,Tumor
4794.0,6596.79073243647,11019.6307922272,F82P1,tumor cells,Tumor
4813.0,7152.21538461538,9210.14615384615,F82P1,NK,NK
4853.0,8117.31308411215,10287.8130841122,F82P1,tumor cells,Tumor
4872.0,8138.0616966581,9997.20051413882,F82P1,tumor cells,Tumor
4889.0,7249.45321637427,10609.8187134503,F82P1,tumor cells,Tumor
4982.0,6424.83140877598,11167.7159353349,F82P1,tumor cells,Tumor
5073.0,7382.64066852368,10848.3983286908,F82P1,Ki67+ tumor cells,Ki67+ tumor
5200.0,6830.28824833703,10171.6308203991,F82P1,tumor cells,Tumor
5207.0,7088.08655616943,8761.36464088398,F82P1,Ki67+ tumor cells,Ki67+ tumor
5225.0,6428.79419525066,10672.3192612137,F82P1,other APCs,Other APCs
5277.0,6692.2972972973,11376.2027027027,F82P1,tumor cells,Tumor
5314.0,7410.67018469657,11315.562005277,F82P1,tumor cells,Tumor
5393.0,6569.40979381443,10410.3505154639,F82P1,other APCs,Other APCs
5420.0,8050.09362549801,10456.2071713147,F82P1,tumor cells,Tumor
5449.0,8036.70331950208,10412.7842323651,F82P1,tumor cells,Tumor
5502.0,7931.84768211921,10544.2273730684,F82P1,tumor cells,Tumor
5519.0,8185.72727272727,10063.3725055432,F82P1,tumor cells,Tumor
5534.0,8185.43092783505,10016.9484536082,F82P1,tumor cells,Tumor
5557.0,6219.45767195767,10728.5052910053,F82P1,Ki67+ tumor cells,Ki67+ tumor
5682.0,6804.05648535565,8516.70920502092,F82P1,Ki67+ tumor cells,Ki67+ tumor
5774.0,7396.56092436975,10715.1680672269,F82P1,tumor cells,Tumor
5799.0,6634.1550802139,8893.36898395722,F82P1,other APCs,Other APCs
5801.0,8129.08071748879,10179.5784753363,F82P1,tumor cells,Tumor
5851.0,6701.51006711409,10872.8836689038,F82P1,tumor cells,Tumor
5901.0,6537.71693121693,8884.15873015873,F82P1,tumor cells,Tumor
5925.0,7502.56989247312,10833.1693548387,F82P1,tumor cells,Tumor
5958.0,6729.49068322981,10974.4927536232,F82P1,tumor cells,Tumor
6000.0,6801.64720812183,11385.9289340102,F82P1,tumor cells,Tumor
6027.0,7323.2802690583,10603.1031390135,F82P1,tumor cells,Tumor
6039.0,8231.42718446602,10014.1359223301,F82P1,tumor cells,Tumor
6042.0,6508.34235976789,10368.4061895551,F82P1,other APCs,Other APCs
6044.0,7189.52108433735,11088.0240963855,F82P1,tumor cells,Tumor
6047.0,7684.85895117541,10160.2640144665,F82P1,tumor cells,Tumor
6062.0,6439.90330188679,10186.2948113208,F82P1,tumor cells,Tumor
6073.0,8045.5243902439,10372.2865853659,F82P1,tumor cells,Tumor
6093.0,7127.20843091335,10144.2154566745,F82P1,tumor cells,Tumor
6171.0,7932.41437632135,10366.621564482,F82P1,tumor cells,Tumor
6253.0,7326.89940828402,9375.74852071006,F82P1,tumor cells,Tumor
6330.0,7330.97447795824,10696.5754060325,F82P1,Ki67+ tumor cells,Ki67+ tumor
6354.0,6789.43152866242,11328.122611465,F82P1,tumor cells,Tumor
6363.0,5946.06989247312,9922.3252688172,F82P1,tumor cells,Tumor
6372.0,6283.81527093596,10731.6133004926,F82P1,Ki67+ tumor cells,Ki67+ tumor
6395.0,6925.43280182232,11458.979498861,F82P1,tumor cells,Tumor
6417.0,7351.64124293785,11259.3728813559,F82P1,tumor cells,Tumor
