CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
1285.0,37309.773381295,60379.8165467626,AGSCC_3,stromal cells,Stromal
2465.0,37881.4265734266,60438.9213286713,AGSCC_3,memory CD4+ T cells,Regulatory T cells
5342.0,37822.6928251121,60438.0896860987,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
5845.0,37463.6145552561,60489.8301886793,AGSCC_3,NK,NK
6519.0,37694.2915129151,59875.5239852399,AGSCC_3,stromal cells,Stromal
6591.0,37710.3515625,60370.1302083333,AGSCC_3,memory CD4+ T cells,Regulatory T cells
6880.0,37445.0421348315,59943.9213483146,AGSCC_3,B cells,B cells
6899.0,37406.4033264033,60186.3284823285,AGSCC_3,CD4+ T cells,CD4+ T cells
7067.0,37602.8141809291,60719.3545232274,AGSCC_3,B cells,B cells
8358.0,37229.952681388,60110.2870662461,AGSCC_3,dendritic cells,Dendritic cells
8559.0,37599.723628692,60430.8122362869,AGSCC_3,memory CD4+ T cells,Regulatory T cells
8584.0,37725.625994695,60150.6127320955,AGSCC_3,stromal cells,Stromal
8640.0,37209.9319248826,60888.0352112676,AGSCC_3,B cells,B cells
9250.0,37630.2019950125,60558.1820448878,AGSCC_3,memory CD4+ T cells,Regulatory T cells
10407.0,37270.2783505155,60474.5463917526,AGSCC_3,regulatory T cells,Regulatory T cells
10781.0,37702.111627907,60086.0534883721,AGSCC_3,dendritic cells,Dendritic cells
10883.0,37986.3427835052,60508.1855670103,AGSCC_3,B cells,B cells
11355.0,37604.4914004914,60039.3046683047,AGSCC_3,memory CD4+ T cells,Regulatory T cells
11956.0,37583.4247311828,60595.6827956989,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
12410.0,37327.1607142857,60902.5029761905,AGSCC_3,memory CD4+ T cells,Regulatory T cells
13620.0,37580.2660550459,60514.6018348624,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
13741.0,37446.5649717514,60582.4604519774,AGSCC_3,B cells,B cells
14569.0,37434.4182389937,60799.1477987421,AGSCC_3,memory CD4+ T cells,Regulatory T cells
15027.0,37230.0943952802,60629.5221238938,AGSCC_3,memory CD4+ T cells,Regulatory T cells
15121.0,37506.7461139896,60463.3730569948,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
15675.0,37910.5165876777,60221.8981042654,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
16071.0,37221.0215827338,60733.9472422062,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
16249.0,37434.7336448598,60285.7079439252,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
16539.0,37635.6627906977,60491.0552325581,AGSCC_3,memory CD4+ T cells,Regulatory T cells
16962.0,37916.885032538,60419.8481561822,AGSCC_3,memory CD4+ T cells,Regulatory T cells
18034.0,38027.7183544304,59926.746835443,AGSCC_3,memory CD4+ T cells,Regulatory T cells
18364.0,37481.6880222841,60231.43454039,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
18376.0,37611.0,60188.0122249389,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
18565.0,37716.8294797688,60831.3005780347,AGSCC_3,memory CD4+ T cells,Regulatory T cells
18677.0,38091.1488833747,59704.1885856079,AGSCC_3,regulatory T cells,Regulatory T cells
18742.0,37533.7872928177,59992.4171270718,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
19193.0,37831.4394904459,60035.5636942675,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
19251.0,37796.0427350427,60063.6004273504,AGSCC_3,regulatory T cells,Regulatory T cells
19495.0,37801.7931034483,60771.7793103448,AGSCC_3,B cells,B cells
20926.0,37144.9363057325,60843.8343949045,AGSCC_3,B cells,B cells
21084.0,37760.9728096677,59622.6948640483,AGSCC_3,stromal cells,Stromal
21106.0,38025.9688995215,59734.9162679426,AGSCC_3,B cells,B cells
21439.0,37741.880126183,60652.2397476341,AGSCC_3,stromal cells,Stromal
