CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
54.0,21837.1068301226,42556.6935201401,FAAGSCC_9,NK,NK
519.0,21595.1917808219,43301.301369863,FAAGSCC_9,regulatory T cells,Regulatory T cells
1018.0,21899.664874552,42593.2491039427,FAAGSCC_9,stromal cells,Stromal
1443.0,21586.1185410334,42487.6747720365,FAAGSCC_9,endothelial cells,Endothelial
1926.0,22021.5736434109,42696.2661498708,FAAGSCC_9,endothelial cells,Endothelial
2277.0,21996.7605932203,42882.6419491526,FAAGSCC_9,M2 macrophages,M2 macrophages
2823.0,21450.9375,43810.7471590909,FAAGSCC_9,other APCs,Other APCs
2948.0,21659.4508426966,42652.5266853933,FAAGSCC_9,CD4+ T cells,CD4+ T cells
2959.0,21648.4464285714,43200.8705357143,FAAGSCC_9,regulatory T cells,Regulatory T cells
3386.0,22377.5288270378,43469.2842942346,FAAGSCC_9,M2 macrophages,M2 macrophages
3683.0,21734.7910798122,43522.7582159624,FAAGSCC_9,NK,NK
3761.0,21550.1853932584,42926.4344569288,FAAGSCC_9,M2 macrophages,M2 macrophages
3856.0,21333.0588235294,42977.9117647059,FAAGSCC_9,CD4+ T cells,CD4+ T cells
3993.0,21824.773993808,43305.3746130031,FAAGSCC_9,Unknown,Other
4484.0,21932.9840546697,42629.6241457859,FAAGSCC_9,stromal cells,Stromal
5007.0,22199.8830409357,43558.3771929825,FAAGSCC_9,dendritic cells,Dendritic cells
6014.0,22097.8520710059,43479.9142011834,FAAGSCC_9,neutrophils,Neutrophils
6017.0,21328.4509803922,43673.9299719888,FAAGSCC_9,dendritic cells,Dendritic cells
6644.0,22062.9421296296,42807.6712962963,FAAGSCC_9,stromal cells,Stromal
6662.0,22223.0695187166,43522.1871657754,FAAGSCC_9,B cells,B cells
6897.0,21705.649851632,43378.7952522255,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
7199.0,22283.2920353982,43080.1828908555,FAAGSCC_9,CD4+ T cells,CD4+ T cells
7204.0,21615.1644562334,43104.3527851459,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
7363.0,21642.1457399103,42995.0224215247,FAAGSCC_9,stromal cells,Stromal
7410.0,21390.4948805461,43504.0648464164,FAAGSCC_9,regulatory T cells,Regulatory T cells
8359.0,21883.6866197183,42665.8133802817,FAAGSCC_9,stromal cells,Stromal
8360.0,21797.0089552239,42808.8358208955,FAAGSCC_9,stromal cells,Stromal
8376.0,21904.6740506329,43319.6487341772,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
8528.0,21522.4971264368,43734.2413793103,FAAGSCC_9,stromal cells,Stromal
9336.0,21355.1328502415,42940.884057971,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
9931.0,21965.8660508083,42755.7875288684,FAAGSCC_9,CD4+ T cells,CD4+ T cells
9976.0,22009.428,42766.4,FAAGSCC_9,stromal cells,Stromal
10519.0,21388.9230769231,43525.1620879121,FAAGSCC_9,memory CD8+ T cells,Effector CD8+ T cells
10549.0,21953.0264026403,43230.9108910891,FAAGSCC_9,B cells,B cells
10552.0,21422.3446969697,42781.0606060606,FAAGSCC_9,CD4+ T cells,CD4+ T cells
10724.0,21573.4936386768,43534.6386768448,FAAGSCC_9,dendritic cells,Dendritic cells
10762.0,22169.920212766,42892.0824468085,FAAGSCC_9,stromal cells,Stromal
11082.0,21666.1132075472,42774.9952830189,FAAGSCC_9,regulatory T cells,Regulatory T cells
11191.0,21872.7483221477,43692.2483221477,FAAGSCC_9,stromal cells,Stromal
11206.0,22358.7517730496,42942.7695035461,FAAGSCC_9,stromal cells,Stromal
11225.0,21776.7093425606,42693.5674740484,FAAGSCC_9,stromal cells,Stromal
12248.0,21972.1317647059,42774.2776470588,FAAGSCC_9,stromal cells,Stromal
13357.0,21645.1736334405,43450.2475884244,FAAGSCC_9,endothelial cells,Endothelial
14259.0,22149.9462025316,43281.246835443,FAAGSCC_9,M2 macrophages,M2 macrophages
14520.0,21547.2006269592,42818.4169278997,FAAGSCC_9,effector CD8+ T cells,Effector CD8+ T cells
15160.0,21786.4935400517,43275.1627906977,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
15731.0,21692.8103896104,42966.7636363636,FAAGSCC_9,B cells,B cells
16627.0,22047.5013927577,42770.3537604457,FAAGSCC_9,stromal cells,Stromal
17031.0,22090.3805774278,42860.1522309711,FAAGSCC_9,regulatory T cells,Regulatory T cells
17156.0,22353.1461864407,43459.188559322,FAAGSCC_9,M2 macrophages,M2 macrophages
17416.0,21380.3152173913,43627.2028985507,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
17613.0,22069.0497131931,42947.8413001912,FAAGSCC_9,M2 macrophages,M2 macrophages
17675.0,22256.7828746177,43026.3012232416,FAAGSCC_9,endothelial cells,Endothelial
17680.0,21604.0317919075,42772.0809248555,FAAGSCC_9,stromal cells,Stromal
18303.0,22101.7335329341,43013.7844311377,FAAGSCC_9,regulatory T cells,Regulatory T cells
18345.0,21462.1693811075,43021.1433224756,FAAGSCC_9,effector CD8+ T cells,Effector CD8+ T cells
19262.0,21663.602739726,43740.9657534247,FAAGSCC_9,M2 macrophages,M2 macrophages
19271.0,22230.5625,42851.2357142857,FAAGSCC_9,endothelial cells,Endothelial
19868.0,21393.432748538,42859.9005847953,FAAGSCC_9,CD4+ T cells,CD4+ T cells
19875.0,22357.7590759076,43438.0660066007,FAAGSCC_9,NK,NK
20306.0,21717.7716049383,42841.5617283951,FAAGSCC_9,M2 macrophages,M2 macrophages
20383.0,21299.9444444444,43350.4148148148,FAAGSCC_9,memory CD8+ T cells,Effector CD8+ T cells
20530.0,21636.9029649596,43111.423180593,FAAGSCC_9,CD4+ T cells,CD4+ T cells
20563.0,22171.6273291925,43618.5031055901,FAAGSCC_9,dendritic cells,Dendritic cells
20580.0,21806.3529411765,43292.3806228374,FAAGSCC_9,CD4+ T cells,CD4+ T cells
20688.0,21650.4364261168,43176.7250859106,FAAGSCC_9,endothelial cells,Endothelial
20836.0,22214.5540540541,43395.3324324324,FAAGSCC_9,endothelial cells,Endothelial
20888.0,21796.7123745819,43624.6755852843,FAAGSCC_9,M2 macrophages,M2 macrophages
20902.0,22099.5265486726,42924.0022123894,FAAGSCC_9,stromal cells,Stromal
21297.0,22408.6509803922,42740.968627451,FAAGSCC_9,stromal cells,Stromal
21737.0,22183.8617283951,42792.4049382716,FAAGSCC_9,stromal cells,Stromal
22016.0,21553.8453865337,43832.1770573566,FAAGSCC_9,M2 macrophages,M2 macrophages
22398.0,21708.4058823529,42543.7661764706,FAAGSCC_9,stromal cells,Stromal
22486.0,21588.5212121212,43748.6454545455,FAAGSCC_9,CD4+ T cells,CD4+ T cells
22753.0,21574.7403508772,43005.8456140351,FAAGSCC_9,CD4+ T cells,CD4+ T cells
23302.0,21376.0418848168,42910.0052356021,FAAGSCC_9,CD4+ T cells,CD4+ T cells
23544.0,22370.7270718232,42915.8486187845,FAAGSCC_9,stromal cells,Stromal
23662.0,21796.0826666667,42568.2426666667,FAAGSCC_9,stromal cells,Stromal
23903.0,22116.054517134,42874.1370716511,FAAGSCC_9,stromal cells,Stromal
24261.0,22126.5264550265,42923.1349206349,FAAGSCC_9,stromal cells,Stromal
25187.0,21716.6339522546,43008.4350132626,FAAGSCC_9,CD4+ T cells,CD4+ T cells
25279.0,21874.7258064516,43231.0451612903,FAAGSCC_9,CD4+ T cells,CD4+ T cells
25299.0,22368.8162291169,43413.8687350835,FAAGSCC_9,stromal cells,Stromal
25707.0,22350.7960893855,42847.8826815642,FAAGSCC_9,CD4+ T cells,CD4+ T cells
26369.0,22468.426183844,42760.8440111421,FAAGSCC_9,stromal cells,Stromal
26454.0,22199.8656987296,42757.4264972777,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
26824.0,22488.3004291846,43448.0,FAAGSCC_9,stromal cells,Stromal
27164.0,21613.7985257985,43132.4545454545,FAAGSCC_9,endothelial cells,Endothelial
27334.0,22421.6946564886,42941.4071246819,FAAGSCC_9,stromal cells,Stromal
27561.0,21618.1176470588,43220.3321799308,FAAGSCC_9,M2 macrophages,M2 macrophages
27714.0,21595.7401129944,42944.5310734463,FAAGSCC_9,NK,NK
27741.0,22450.4608938547,42750.1061452514,FAAGSCC_9,stromal cells,Stromal
27898.0,21577.0044444444,43865.9822222222,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
28033.0,21937.9656160458,43219.899713467,FAAGSCC_9,CD4+ T cells,CD4+ T cells
28037.0,21448.2394366197,42724.5605633803,FAAGSCC_9,endothelial cells,Endothelial
28249.0,21511.5128205128,43110.7948717949,FAAGSCC_9,endothelial cells,Endothelial
28303.0,21390.5080645161,42813.6048387097,FAAGSCC_9,CD4+ T cells,CD4+ T cells
28469.0,22219.190990991,42676.6918918919,FAAGSCC_9,stromal cells,Stromal
28554.0,21474.8130434783,42868.1217391304,FAAGSCC_9,regulatory T cells,Regulatory T cells
28778.0,22031.2753303965,43273.6101321586,FAAGSCC_9,other APCs,Other APCs
28796.0,22019.7422680412,42930.4587628866,FAAGSCC_9,regulatory T cells,Regulatory T cells
28813.0,21705.385620915,42991.7647058823,FAAGSCC_9,CD4+ T cells,CD4+ T cells
28875.0,21354.6273062731,43549.6125461255,FAAGSCC_9,dendritic cells,Dendritic cells
28962.0,21527.3760445682,42884.2228412256,FAAGSCC_9,CD4+ T cells,CD4+ T cells
29064.0,21325.9972527473,43103.7912087912,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
29671.0,22325.1799307958,43678.7093425606,FAAGSCC_9,stromal cells,Stromal
29762.0,22316.6819787986,43351.5477031802,FAAGSCC_9,CD4+ T cells,CD4+ T cells
30053.0,21508.0585106383,42924.0026595745,FAAGSCC_9,stromal cells,Stromal
30170.0,22442.7526595745,42827.414893617,FAAGSCC_9,effector CD8+ T cells,Effector CD8+ T cells
30207.0,22164.7723577236,42732.7235772358,FAAGSCC_9,CD4+ T cells,CD4+ T cells
30410.0,21710.1213235294,43183.2757352941,FAAGSCC_9,CD4+ T cells,CD4+ T cells
30530.0,21738.75,43258.4088785047,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
30608.0,22081.5174825175,43919.5804195804,FAAGSCC_9,stromal cells,Stromal
30686.0,21867.4612676056,42894.088028169,FAAGSCC_9,stromal cells,Stromal
30736.0,21835.2204724409,42928.4763779528,FAAGSCC_9,regulatory T cells,Regulatory T cells
31033.0,21809.2673796791,43802.0534759358,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
31783.0,22045.1387163561,43144.0186335404,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
32607.0,21745.5196374622,43014.7643504532,FAAGSCC_9,stromal cells,Stromal
32874.0,21302.4692982456,43844.7127192982,FAAGSCC_9,other APCs,Other APCs
33107.0,21694.5059171598,42869.9556213018,FAAGSCC_9,CD4+ T cells,CD4+ T cells
33232.0,21426.650137741,42708.7327823691,FAAGSCC_9,stromal cells,Stromal
33738.0,21858.8119891008,42673.0027247956,FAAGSCC_9,other APCs,Other APCs
34413.0,21454.9783950617,43067.3518518519,FAAGSCC_9,CD4+ T cells,CD4+ T cells
34478.0,21530.9953703704,43456.2962962963,FAAGSCC_9,CD4+ T cells,CD4+ T cells
34514.0,21425.5980707396,43359.0128617363,FAAGSCC_9,regulatory T cells,Regulatory T cells
34527.0,21539.4570707071,42746.7828282828,FAAGSCC_9,CD4+ T cells,CD4+ T cells
35137.0,22092.5585831063,43546.4713896458,FAAGSCC_9,endothelial cells,Endothelial
35236.0,21845.7548638132,42720.1303501946,FAAGSCC_9,stromal cells,Stromal
35602.0,21317.6024096386,43160.2018072289,FAAGSCC_9,stromal cells,Stromal
35709.0,22108.7254098361,43781.2090163934,FAAGSCC_9,stromal cells,Stromal
36314.0,22112.9346405229,43425.8006535948,FAAGSCC_9,endothelial cells,Endothelial
36432.0,21567.537037037,43216.626984127,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
36901.0,21481.9224806202,42884.1472868217,FAAGSCC_9,CD4+ T cells,CD4+ T cells
37449.0,22015.9135802469,43057.7160493827,FAAGSCC_9,endothelial cells,Endothelial
37663.0,21502.3790613718,42966.2815884477,FAAGSCC_9,effector CD8+ T cells,Effector CD8+ T cells
37828.0,22279.1048387097,43293.8709677419,FAAGSCC_9,stromal cells,Stromal
38258.0,22422.5521023766,42765.1151736746,FAAGSCC_9,endothelial cells,Endothelial
38846.0,21774.7554858934,43545.5172413793,FAAGSCC_9,CD4+ T cells,CD4+ T cells
39102.0,21805.9337979094,43200.7770034843,FAAGSCC_9,B cells,B cells
39341.0,21611.9594272076,42645.522673031,FAAGSCC_9,M2 macrophages,M2 macrophages
39482.0,21757.3806228374,43250.044982699,FAAGSCC_9,effector CD8+ T cells,Effector CD8+ T cells
39529.0,22191.1309904153,42734.3450479233,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
39816.0,22444.704989154,42710.557483731,FAAGSCC_9,endothelial cells,Endothelial
39846.0,21854.6881028939,43074.0610932476,FAAGSCC_9,M2 macrophages,M2 macrophages
39886.0,21473.724137931,43229.7559681698,FAAGSCC_9,endothelial cells,Endothelial
40669.0,21727.3440594059,42680.900990099,FAAGSCC_9,stromal cells,Stromal
40793.0,21246.9883040936,43809.701754386,FAAGSCC_9,stromal cells,Stromal
40833.0,21805.2290909091,43166.5090909091,FAAGSCC_9,CD4+ T cells,CD4+ T cells
41887.0,21652.3116147309,43280.0028328612,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
42316.0,22479.1864864865,42931.5351351351,FAAGSCC_9,stromal cells,Stromal
42718.0,22410.3763066202,43525.6167247387,FAAGSCC_9,stromal cells,Stromal
42745.0,21683.7155963303,42887.2171253823,FAAGSCC_9,effector CD8+ T cells,Effector CD8+ T cells
42841.0,22375.8676470588,43444.1862745098,FAAGSCC_9,stromal cells,Stromal
43401.0,21506.7886178862,43459.2357723577,FAAGSCC_9,CD4+ T cells,CD4+ T cells
43504.0,21471.1488372093,42757.0279069767,FAAGSCC_9,CD4+ T cells,CD4+ T cells
43529.0,21628.0907029478,42967.9727891156,FAAGSCC_9,NK,NK
