CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
482.0,2805.49275362319,8589.56728778468,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
688.0,2691.80585106383,9118.8670212766,HNSCC_4,stromal cells,Stromal
993.0,3785.78395061728,7876.0524691358,HNSCC_4,CD4+ T cells,CD4+ T cells
1113.0,3163.63608247423,8797.93402061856,HNSCC_4,stromal cells,Stromal
1259.0,2858.39349112426,8419.90828402367,HNSCC_4,stromal cells,Stromal
1960.0,3933.79770114943,7368.09195402299,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
2293.0,3718.52303523035,8811.18292682927,HNSCC_4,stromal cells,Stromal
2872.0,2918.55166931638,9190.52623211447,HNSCC_4,stromal cells,Stromal
2941.0,3582.0659025788,7758.07736389685,HNSCC_4,tumor cells,Tumor
3015.0,2476.25321463897,9052.42631058358,HNSCC_4,stromal cells,Stromal
3131.0,3828.6013986014,7350.17249417249,HNSCC_4,tumor cells,Tumor
3343.0,3990.12421052632,8454.20842105263,HNSCC_4,tumor cells,Tumor
4205.0,3066.90033222591,8635.29568106312,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
4209.0,3892.273556231,7256.07294832827,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
4410.0,2299.5602006689,9344.61872909699,HNSCC_4,stromal cells,Stromal
5030.0,2189.79625984252,9120.67716535433,HNSCC_4,stromal cells,Stromal
5908.0,3161.31725888325,8348.08121827411,HNSCC_4,stromal cells,Stromal
5939.0,3591.30026109661,7731.03394255875,HNSCC_4,tumor cells,Tumor
6295.0,3875.74659400545,7274.59128065395,HNSCC_4,tumor cells,Tumor
6436.0,3238.52713178295,8552.07441860465,HNSCC_4,tumor cells,Tumor
6445.0,3140.03971119134,8365.73646209386,HNSCC_4,dendritic cells,Dendritic cells
6522.0,3597.89215686275,7298.00735294118,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
7111.0,3022.06434316354,9292.28150134048,HNSCC_4,stromal cells,Stromal
7411.0,3506.1391862955,9071.89507494647,HNSCC_4,CD4+ T cells,CD4+ T cells
7416.0,3838.92584269663,8684.52134831461,HNSCC_4,tumor cells,Tumor
7437.0,2913.9311827957,8310.39784946237,HNSCC_4,CD4+ T cells,CD4+ T cells
7624.0,2963.75153374233,8515.76687116564,HNSCC_4,tumor cells,Tumor
7794.0,3600.88659793814,7699.01546391753,HNSCC_4,tumor cells,Tumor
7813.0,3076.73351648352,8268.05494505494,HNSCC_4,Unknown,Other
8035.0,2817.25165562914,8350.38189845475,HNSCC_4,stromal cells,Stromal
8772.0,3315.09633027523,8194.96330275229,HNSCC_4,CD4+ T cells,CD4+ T cells
8880.0,3055.80346232179,9221.92566191446,HNSCC_4,stromal cells,Stromal
9370.0,3160.58864265928,8628.49584487535,HNSCC_4,tumor cells,Tumor
9818.0,2278.62006578947,9109.1447368421,HNSCC_4,tumor cells,Tumor
9999.0,3896.51782363978,7280.45966228893,HNSCC_4,tumor cells,Tumor
10184.0,3876.07023411371,7382.09698996656,HNSCC_4,tumor cells,Tumor
10495.0,2712.32339089482,8827.76923076923,HNSCC_4,stromal cells,Stromal
11027.0,3442.28650137741,7228.76584022039,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
11910.0,2906.73333333333,9034.12258064516,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
11927.0,3524.38998211091,7383.26296958855,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
12129.0,3815.25988700565,8091.58757062147,HNSCC_4,regulatory T cells,Regulatory T cells
12298.0,3691.88786764706,7655.14705882353,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
12796.0,2657.44588045234,9276.28109854604,HNSCC_4,stromal cells,Stromal
12874.0,2146.03472222222,9094.60416666667,HNSCC_4,stromal cells,Stromal
13219.0,3901.80139372822,7787.9756097561,HNSCC_4,stromal cells,Stromal
13526.0,3800.11666666667,8559.45,HNSCC_4,tumor cells,Tumor
13534.0,1814.69230769231,9069.00854700855,HNSCC_4,neutrophils,Neutrophils
13554.0,3709.15053763441,7995.79928315412,HNSCC_4,CD4+ T cells,CD4+ T cells
13689.0,2317.52004716981,9132.3608490566,HNSCC_4,stromal cells,Stromal
13824.0,3761.82489451477,7524.10337552743,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
13947.0,3786.45427728614,7326.63716814159,HNSCC_4,tumor cells,Tumor
14353.0,3817.9859437751,7327.01004016064,HNSCC_4,Ki67+ tumor cells,Ki67+ tumor
14440.0,3097.29799426934,9163.35959885387,HNSCC_4,stromal cells,Stromal
14447.0,3846.29739776952,8009.75464684015,HNSCC_4,stromal cells,Stromal
14699.0,2431.29505813953,9249.0625,HNSCC_4,stromal cells,Stromal
15042.0,3784.71929824561,7970.04385964912,HNSCC_4,CD4+ T cells,CD4+ T cells
15154.0,3035.23510971787,8248.07523510972,HNSCC_4,stromal cells,Stromal
16201.0,2915.50750750751,9307.60960960961,HNSCC_4,stromal cells,Stromal
16516.0,2967.52941176471,8323.66666666667,HNSCC_4,CD4+ T cells,CD4+ T cells
16634.0,3150.02010050251,8419.82914572864,HNSCC_4,regulatory T cells,Regulatory T cells
16754.0,3833.7535971223,8456.04136690647,HNSCC_4,stromal cells,Stromal
17034.0,3742.10336538462,8906.27524038462,HNSCC_4,stromal cells,Stromal
17662.0,2900.1129707113,8374.94351464435,HNSCC_4,stromal cells,Stromal
17719.0,2929.5951417004,8460.11943319838,HNSCC_4,stromal cells,Stromal
17888.0,3708.6875,7934.47159090909,HNSCC_4,CD4+ T cells,CD4+ T cells
18049.0,2316.86390532544,9033.86094674556,HNSCC_4,stromal cells,Stromal
18168.0,3027.14559386973,8224.32567049808,HNSCC_4,CD4+ T cells,CD4+ T cells
18320.0,3561.96113074205,7720.47349823322,HNSCC_4,tumor cells,Tumor
18410.0,2803.8850931677,8234.50310559006,HNSCC_4,stromal cells,Stromal
18777.0,3439.97228637413,8616.21247113164,HNSCC_4,stromal cells,Stromal
