CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
151.0,8732.47521865889,10725.2448979592,F82P1,endothelial cells,Endothelial
346.0,8259.12470588235,12344.3011764706,F82P1,stromal cells,Stromal
349.0,7147.65891472868,13861.9069767442,F82P1,stromal cells,Stromal
451.0,8474.88695652174,11948.1782608696,F82P1,other APCs,Other APCs
616.0,7891.79946524064,11263.4385026738,F82P1,memory CD8+ T cells,Effector CD8+ T cells
700.0,8648.0,10876.3073770492,F82P1,stromal cells,Stromal
736.0,7397.90260869565,12762.8034782609,F82P1,stromal cells,Stromal
756.0,7366.64835164835,11742.8873626374,F82P1,endothelial cells,Endothelial
783.0,7018.1021611002,13590.0353634578,F82P1,stromal cells,Stromal
829.0,7648.39402985075,12426.1149253731,F82P1,other APCs,Other APCs
985.0,8476.83126110124,10959.5239786856,F82P1,stromal cells,Stromal
1132.0,8639.14950980392,11217.5392156863,F82P1,stromal cells,Stromal
1423.0,7080.5918699187,13737.9821138211,F82P1,stromal cells,Stromal
1513.0,8035.95,11274.1857142857,F82P1,regulatory T cells,Regulatory T cells
1653.0,7874.71074380165,10801.7355371901,F82P1,neutrophils,Neutrophils
1677.0,7278.39428571429,13552.5085714286,F82P1,memory CD8+ T cells,Effector CD8+ T cells
1697.0,6085.82367758186,12104.0277078086,F82P1,stromal cells,Stromal
1798.0,7853.52866242038,12457.5583864119,F82P1,other APCs,Other APCs
2139.0,8576.81784386617,11311.656133829,F82P1,stromal cells,Stromal
2221.0,7196.90043290043,10754.6031746032,F82P1,stromal cells,Stromal
2354.0,8833.90677966102,10883.8728813559,F82P1,stromal cells,Stromal
2554.0,8384.86956521739,11501.6321070234,F82P1,stromal cells,Stromal
2628.0,8017.02580645161,12467.9612903226,F82P1,stromal cells,Stromal
2632.0,7954.30051813472,12607.5259067358,F82P1,stromal cells,Stromal
2826.0,7447.92147806005,11757.286374134,F82P1,endothelial cells,Endothelial
3057.0,5466.80298507463,11828.4776119403,F82P1,other APCs,Other APCs
3168.0,8524.86073500967,10725.3462282398,F82P1,M2 macrophages,M2 macrophages
3372.0,7808.412109375,10814.09765625,F82P1,M2 macrophages,M2 macrophages
3423.0,7648.77707006369,12661.3949044586,F82P1,stromal cells,Stromal
3758.0,6775.92329545455,10656.6960227273,F82P1,stromal cells,Stromal
