CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
20.0,6270.24290780142,25572.5,AGSCC_5,tumor cells,Tumor
124.0,5877.89228007181,25034.2477558348,AGSCC_5,tumor cells,Tumor
207.0,7015.99791666667,25992.4229166667,AGSCC_5,tumor cells,Tumor
242.0,6843.48768472906,26023.6305418719,AGSCC_5,tumor cells,Tumor
281.0,6837.50160771704,25900.2797427653,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
306.0,6517.18900343643,25403.9879725086,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
313.0,6400.0422832981,25310.3826638478,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
382.0,8102.92616033755,26437.7911392405,AGSCC_5,tumor cells,Tumor
383.0,7959.34439178515,26587.868878357,AGSCC_5,tumor cells,Tumor
400.0,6286.24,25417.1636363636,AGSCC_5,tumor cells,Tumor
449.0,5631.05970149254,24845.4096185738,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
515.0,8084.44710578842,26706.2694610778,AGSCC_5,tumor cells,Tumor
521.0,7195.63492063492,26251.126984127,AGSCC_5,tumor cells,Tumor
542.0,6372.61607142857,25297.4151785714,AGSCC_5,tumor cells,Tumor
557.0,5404.63893510815,24913.0399334443,AGSCC_5,tumor cells,Tumor
573.0,5122.64912280702,24616.469785575,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
593.0,7642.68115942029,26601.1594202899,AGSCC_5,tumor cells,Tumor
597.0,6769.06357388316,25929.7766323024,AGSCC_5,tumor cells,Tumor
613.0,6205.7479338843,25889.7210743802,AGSCC_5,tumor cells,Tumor
619.0,8113.72760511883,26571.1882998172,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
627.0,6875.17006802721,26014.5351473923,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
651.0,8036.75276752768,26378.6605166052,AGSCC_5,tumor cells,Tumor
654.0,7151.75986277873,25941.8662092624,AGSCC_5,tumor cells,Tumor
661.0,7918.38394415358,26679.2443280977,AGSCC_5,tumor cells,Tumor
672.0,5528.519524618,25027.7809847199,AGSCC_5,tumor cells,Tumor
694.0,6317.64084507042,25456.2781690141,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
747.0,7012.30091743119,26184.4275229358,AGSCC_5,tumor cells,Tumor
752.0,6641.0884057971,26212.9579710145,AGSCC_5,tumor cells,Tumor
755.0,8035.14835164835,26475.8553113553,AGSCC_5,tumor cells,Tumor
834.0,7882.7967032967,26636.4120879121,AGSCC_5,tumor cells,Tumor
906.0,5807.14936247723,25266.3369763206,AGSCC_5,tumor cells,Tumor
918.0,5051.39186295503,24258.2569593148,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
933.0,6469.44639718805,25673.7275922671,AGSCC_5,tumor cells,Tumor
940.0,5002.21931589537,24477.722334004,AGSCC_5,tumor cells,Tumor
955.0,7560.72556390977,26387.6466165414,AGSCC_5,tumor cells,Tumor
961.0,6393.32387706856,25626.598108747,AGSCC_5,tumor cells,Tumor
978.0,5014.69722814499,24273.2046908316,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
1061.0,8155.5068762279,26648.1807465619,AGSCC_5,tumor cells,Tumor
1062.0,6934.2,26032.4609756098,AGSCC_5,tumor cells,Tumor
1065.0,7413.58901830283,26358.8019966722,AGSCC_5,tumor cells,Tumor
1071.0,5710.50756302521,24906.5764705882,AGSCC_5,tumor cells,Tumor
1082.0,6794.91531531532,25802.6900900901,AGSCC_5,tumor cells,Tumor
1084.0,5366.73417721519,24713.1186708861,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
1087.0,6193.89728682171,25931.9709302326,AGSCC_5,tumor cells,Tumor
1091.0,6312.70281995662,25394.5986984816,AGSCC_5,tumor cells,Tumor
1098.0,5575.72419354839,24860.1129032258,AGSCC_5,tumor cells,Tumor
1114.0,5864.51759834369,25217.6956521739,AGSCC_5,tumor cells,Tumor
1123.0,7792.3135391924,26845.5605700713,AGSCC_5,tumor cells,Tumor
1170.0,5462.25047801147,24997.3575525813,AGSCC_5,tumor cells,Tumor
1210.0,6014.30705394191,25625.765560166,AGSCC_5,tumor cells,Tumor
1214.0,7915.74188034188,26600.052991453,AGSCC_5,tumor cells,Tumor
1260.0,6133.19152854512,25422.7016574586,AGSCC_5,tumor cells,Tumor
1285.0,4864.84,24762.7161904762,AGSCC_5,tumor cells,Tumor
1341.0,7957.57756563246,26202.4868735084,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
1344.0,6250.6607495069,25501.875739645,AGSCC_5,tumor cells,Tumor
1353.0,6133.06029106029,25658.5904365904,AGSCC_5,tumor cells,Tumor
1396.0,6339.35627530364,25698.7246963563,AGSCC_5,tumor cells,Tumor
1409.0,5030.42889908257,24491.7752293578,AGSCC_5,tumor cells,Tumor
1411.0,6124.03531598513,25601.5780669145,AGSCC_5,tumor cells,Tumor
1505.0,6422.654,25866.816,AGSCC_5,tumor cells,Tumor
1536.0,7108.28830645161,26255.2580645161,AGSCC_5,tumor cells,Tumor
1541.0,6279.95027624309,25526.3001841621,AGSCC_5,tumor cells,Tumor
1593.0,7810.35820895522,26679.1194029851,AGSCC_5,tumor cells,Tumor
1749.0,7406.17525773196,26439.1917525773,AGSCC_5,tumor cells,Tumor
1764.0,6901.39916839917,26397.9812889813,AGSCC_5,tumor cells,Tumor
1811.0,7146.31460674157,26270.1329588015,AGSCC_5,tumor cells,Tumor
1886.0,5045.00395256917,24540.5019762846,AGSCC_5,tumor cells,Tumor
1905.0,6224.0223880597,25614.8992537313,AGSCC_5,tumor cells,Tumor
1911.0,5050.89748549323,24513.6092843327,AGSCC_5,tumor cells,Tumor
1940.0,4855.28571428571,24887.6298701299,AGSCC_5,tumor cells,Tumor
2011.0,7435.15584415584,26170.7421150278,AGSCC_5,tumor cells,Tumor
2036.0,6161.16403162055,25621.5790513834,AGSCC_5,tumor cells,Tumor
2045.0,8063.04297520661,26548.0760330578,AGSCC_5,tumor cells,Tumor
2051.0,6181.61875,25477.5625,AGSCC_5,tumor cells,Tumor
2075.0,6007.0367278798,25779.3105175292,AGSCC_5,tumor cells,Tumor
2105.0,7776.31906614786,26660.813229572,AGSCC_5,tumor cells,Tumor
2142.0,7114.06426735219,25963.4935732648,AGSCC_5,tumor cells,Tumor
2201.0,7432.84827586207,26479.3816091954,AGSCC_5,tumor cells,Tumor
2212.0,6310.58389261745,25690.3199105145,AGSCC_5,tumor cells,Tumor
2213.0,7137.85583941606,26322.0474452555,AGSCC_5,tumor cells,Tumor
2215.0,7140.75180722892,26220.243373494,AGSCC_5,tumor cells,Tumor
2237.0,7049.58256029685,26187.1836734694,AGSCC_5,tumor cells,Tumor
2278.0,6750.61679389313,25838.0900763359,AGSCC_5,tumor cells,Tumor
2297.0,7897.70510708402,26420.1927512356,AGSCC_5,tumor cells,Tumor
2317.0,6211.62988505747,25257.9862068966,AGSCC_5,Ki67+ tumor cells,Ki67+ tumor
2321.0,6378.31208791209,25386.9516483516,AGSCC_5,tumor cells,Tumor
2345.0,5091.31381733021,24554.0444964871,AGSCC_5,tumor cells,Tumor
2348.0,8053.9029535865,26781.3776371308,AGSCC_5,tumor cells,Tumor
2432.0,6184.12100840336,25406.3294117647,AGSCC_5,tumor cells,Tumor
2491.0,6240.87262357414,25401.855513308,AGSCC_5,tumor cells,Tumor
2493.0,6219.6309751434,25746.2160611855,AGSCC_5,tumor cells,Tumor
2512.0,6441.25884955752,25610.0486725664,AGSCC_5,tumor cells,Tumor
