CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
695.0,23132.1724137931,44823.2118226601,FAAGSCC_9,tumor cells,Tumor
951.0,22393.2949152542,43964.5661016949,FAAGSCC_9,other APCs,Other APCs
957.0,21951.7914547304,44431.6063072228,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
1209.0,23152.1180124224,44596.0,FAAGSCC_9,dendritic cells,Dendritic cells
1276.0,21821.9048991354,44482.2190201729,FAAGSCC_9,tumor cells,Tumor
1647.0,22891.736,44529.268,FAAGSCC_9,tumor cells,Tumor
2041.0,22061.9141566265,44481.265060241,FAAGSCC_9,tumor cells,Tumor
2048.0,23423.5566600398,44009.4781312127,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
2321.0,22404.6906187625,44647.3333333333,FAAGSCC_9,tumor cells,Tumor
2607.0,22791.4023323615,44845.084548105,FAAGSCC_9,tumor cells,Tumor
2784.0,21411.9868735084,44298.8210023866,FAAGSCC_9,other APCs,Other APCs
3294.0,23343.8048780488,44598.5274390244,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
3296.0,22932.9593175853,44532.2047244095,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
3316.0,22206.0809061489,44719.8673139159,FAAGSCC_9,tumor cells,Tumor
3336.0,22214.8746268657,44661.9671641791,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
3695.0,23092.8137254902,44820.0490196078,FAAGSCC_9,tumor cells,Tumor
3706.0,22950.322147651,44832.7583892617,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
4313.0,22267.3076923077,44705.6299376299,FAAGSCC_9,tumor cells,Tumor
4518.0,23371.8403361345,44944.8277310924,FAAGSCC_9,tumor cells,Tumor
5369.0,22953.53875,44467.485,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
5374.0,22943.2711058264,44294.5231866825,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
5394.0,22085.7366515837,44529.8054298643,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
5536.0,21796.2551834131,43976.7256778309,FAAGSCC_9,other APCs,Other APCs
5570.0,21670.7656033287,44224.8973647712,FAAGSCC_9,other APCs,Other APCs
5622.0,21681.3675889328,44481.3293807642,FAAGSCC_9,tumor cells,Tumor
5647.0,23405.1561119293,43912.4285714286,FAAGSCC_9,tumor cells,Tumor
5671.0,23376.5858778626,44914.608778626,FAAGSCC_9,tumor cells,Tumor
5938.0,21952.041728763,44570.3397913562,FAAGSCC_9,other APCs,Other APCs
5961.0,22880.8143646409,44348.7668508287,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
6432.0,21762.5417558887,44347.8286937902,FAAGSCC_9,tumor cells,Tumor
6727.0,22001.2017353579,44613.7505422993,FAAGSCC_9,tumor cells,Tumor
6793.0,22259.2873900293,44453.9882697947,FAAGSCC_9,M1/M0 macrophages,M1/M0 macrophages
6807.0,23538.3684210526,44015.539257981,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
7421.0,22235.9766949153,43781.7881355932,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
7700.0,22175.1037735849,44661.8301886792,FAAGSCC_9,memory CD4+ T cells,Regulatory T cells
7759.0,21611.6569343066,43900.2919708029,FAAGSCC_9,other APCs,Other APCs
7836.0,22757.5325443787,44678.6804733728,FAAGSCC_9,tumor cells,Tumor
7984.0,22563.602020202,44379.5050505051,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
8130.0,22004.8895348837,44388.2965116279,FAAGSCC_9,other APCs,Other APCs
8522.0,22016.4129287599,44555.654353562,FAAGSCC_9,tumor cells,Tumor
9061.0,23154.9743589744,44797.3307692308,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
9322.0,22874.8775510204,44470.1857142857,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
9838.0,22082.9364548495,44656.0234113712,FAAGSCC_9,tumor cells,Tumor
9904.0,21309.2796296296,44298.7648148148,FAAGSCC_9,tumor cells,Tumor
9925.0,22878.4765729585,44312.3734939759,FAAGSCC_9,tumor cells,Tumor
9959.0,23175.3100775194,44322.2093023256,FAAGSCC_9,tumor cells,Tumor
10822.0,22432.5517241379,44526.3846153846,FAAGSCC_9,Ki67+ tumor cells,Ki67+ tumor
11111.0,22170.4818181818,44368.4636363636,FAAGSCC_9,effector CD8+ T cells,Effector CD8+ T cells
