CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
2728.0,45218.4824016563,26335.4658385093,F33P1,Ki67+ tumor cells,Ki67+ tumor
8190.0,45860.0450819672,26201.3954918033,F33P1,tumor cells,Tumor
11596.0,45660.7142857143,26552.3733333333,F33P1,neutrophils,Neutrophils
14115.0,46049.4596774194,26372.0430107527,F33P1,M2 macrophages,M2 macrophages
14524.0,45786.1172248804,26453.0765550239,F33P1,regulatory T cells,Regulatory T cells
15450.0,45114.5286885246,26476.9071038251,F33P1,Ki67+ tumor cells,Ki67+ tumor
18916.0,45712.0025316456,26577.3746835443,F33P1,tumor cells,Tumor
19685.0,45537.7239263804,26328.0981595092,F33P1,tumor cells,Tumor
23195.0,45550.0960144928,26402.8641304348,F33P1,tumor cells,Tumor
23360.0,45984.8348484849,26525.3454545455,F33P1,Ki67+ tumor cells,Ki67+ tumor
23796.0,45201.8616462347,26507.9194395797,F33P1,M2 macrophages,M2 macrophages
28822.0,45658.5128865979,26452.206185567,F33P1,memory CD4+ T cells,Regulatory T cells
29009.0,45456.1483679525,27104.2195845697,F33P1,effector CD8+ T cells,Effector CD8+ T cells
29143.0,45996.4753787879,27605.2367424242,F33P1,M2 macrophages,M2 macrophages
32181.0,45302.0505263158,26412.2821052632,F33P1,Ki67+ tumor cells,Ki67+ tumor
32744.0,45818.5151515152,26226.4242424242,F33P1,Ki67+ tumor cells,Ki67+ tumor
32877.0,45023.4609800363,27062.2341197822,F33P1,Ki67+ tumor cells,Ki67+ tumor
34025.0,44824.2101010101,26795.6222222222,F33P1,Ki67+ tumor cells,Ki67+ tumor
35017.0,45495.4845679012,26625.0617283951,F33P1,neutrophils,Neutrophils
35970.0,45082.0634517767,27095.2487309645,F33P1,CD4+ T cells,CD4+ T cells
36986.0,45902.1225,26695.6725,F33P1,effector CD8+ T cells,Effector CD8+ T cells
38851.0,45966.6948051948,27534.9177489178,F33P1,Ki67+ tumor cells,Ki67+ tumor
38901.0,46041.4098124098,27433.1212121212,F33P1,tumor cells,Tumor
38967.0,45643.0492957747,27197.1690140845,F33P1,neutrophils,Neutrophils
40535.0,45174.9546666667,26577.8693333333,F33P1,regulatory T cells,Regulatory T cells
41896.0,46026.1352313167,26527.7010676157,F33P1,Ki67+ tumor cells,Ki67+ tumor
44968.0,45688.2791878173,26589.6040609137,F33P1,neutrophils,Neutrophils
45365.0,45742.3196022727,26204.0,F33P1,tumor cells,Tumor
46090.0,45696.9038251366,26550.7420765027,F33P1,M1/M0 macrophages,M1/M0 macrophages
46524.0,46046.0578034682,27492.4874759152,F33P1,tumor cells,Tumor
48327.0,45896.3949579832,26830.512605042,F33P1,neutrophils,Neutrophils
48826.0,45992.1259259259,27081.1185185185,F33P1,CD4+ T cells,CD4+ T cells
48867.0,46046.5939675174,27040.9350348028,F33P1,neutrophils,Neutrophils
49101.0,44814.6814671815,27001.7374517375,F33P1,Ki67+ tumor cells,Ki67+ tumor
55586.0,45911.2705882353,26980.6352941177,F33P1,tumor cells,Tumor
58865.0,45278.7038043478,26611.4619565217,F33P1,effector CD8+ T cells,Effector CD8+ T cells
61752.0,45165.5796545106,26615.7159309021,F33P1,tumor cells,Tumor
63797.0,44990.0222222222,26682.7555555556,F33P1,Ki67+ tumor cells,Ki67+ tumor
64670.0,45759.455,27343.6175,F33P1,tumor cells,Tumor
65006.0,45865.8394160584,26922.0656934307,F33P1,tumor cells,Tumor
67234.0,45682.2302325581,26421.2558139535,F33P1,memory CD8+ T cells,Effector CD8+ T cells
70314.0,45276.0208333333,26669.9583333333,F33P1,effector CD8+ T cells,Effector CD8+ T cells
70811.0,46021.6294642857,27681.4910714286,F33P1,neutrophils,Neutrophils
75180.0,45385.7957317073,26564.0579268293,F33P1,M2 macrophages,M2 macrophages
75639.0,44842.703264095,26473.4243323442,F33P1,effector CD8+ T cells,Effector CD8+ T cells
78349.0,45195.8449848024,26866.8829787234,F33P1,tumor cells,Tumor
82186.0,45980.380239521,27343.7964071856,F33P1,neutrophils,Neutrophils
83445.0,45071.2917369309,26885.3102866779,F33P1,Ki67+ tumor cells,Ki67+ tumor
84695.0,45378.6919831224,27091.5063291139,F33P1,Ki67+ tumor cells,Ki67+ tumor
87318.0,46030.04,27581.88,F33P1,tumor cells,Tumor
88914.0,45258.9010416667,26301.8098958333,F33P1,NK,NK
89453.0,45586.877394636,26823.6091954023,F33P1,neutrophils,Neutrophils
89510.0,44833.7779783394,27109.5866425993,F33P1,Ki67+ tumor cells,Ki67+ tumor
89674.0,45918.4852546917,26521.7184986595,F33P1,effector CD8+ T cells,Effector CD8+ T cells
91372.0,45490.6139240506,26511.7088607595,F33P1,Ki67+ tumor cells,Ki67+ tumor
91397.0,45494.7099697885,26257.1842900302,F33P1,effector CD8+ T cells,Effector CD8+ T cells
93599.0,45305.8802083333,26446.4166666667,F33P1,neutrophils,Neutrophils
93849.0,45110.0240963855,26435.9477911647,F33P1,tumor cells,Tumor
96290.0,45368.8541033435,27000.8632218845,F33P1,tumor cells,Tumor
96743.0,44900.0081632653,26723.5959183673,F33P1,Ki67+ tumor cells,Ki67+ tumor
97243.0,45363.55078125,26506.046875,F33P1,M2 macrophages,M2 macrophages
97924.0,45765.6024590164,26636.2131147541,F33P1,neutrophils,Neutrophils
98086.0,45609.3754512635,27046.3971119134,F33P1,neutrophils,Neutrophils
98709.0,45328.3153692615,26420.1117764471,F33P1,tumor cells,Tumor
99695.0,45637.3936651584,26580.9140271493,F33P1,tumor cells,Tumor
100326.0,45480.3036809816,26239.6226993865,F33P1,NK,NK
100822.0,44933.6450331126,26587.4741721854,F33P1,Ki67+ tumor cells,Ki67+ tumor
102527.0,46055.012526096,26900.1002087683,F33P1,effector CD8+ T cells,Effector CD8+ T cells
104711.0,45428.6290322581,26400.1751152074,F33P1,Ki67+ tumor cells,Ki67+ tumor
107737.0,45772.4365079365,27077.0634920635,F33P1,neutrophils,Neutrophils
108309.0,45505.4352750809,27258.860841424,F33P1,Ki67+ tumor cells,Ki67+ tumor
109574.0,45984.06,27703.7675,F33P1,tumor cells,Tumor
110178.0,45623.5536159601,26637.6309226933,F33P1,neutrophils,Neutrophils
110837.0,45167.9291139241,26994.2734177215,F33P1,tumor cells,Tumor
111794.0,45044.7764471058,27041.3512974052,F33P1,Ki67+ tumor cells,Ki67+ tumor
111989.0,45130.3561643836,26217.2260273973,F33P1,Ki67+ tumor cells,Ki67+ tumor
113883.0,45610.8125,27300.459375,F33P1,tumor cells,Tumor
114382.0,45675.3111111111,27109.0793650794,F33P1,neutrophils,Neutrophils
115414.0,45785.6430317848,26136.1760391198,F33P1,effector CD8+ T cells,Effector CD8+ T cells
116282.0,45341.9335548173,26624.6179401993,F33P1,tumor cells,Tumor
117180.0,46018.2717391304,27894.4456521739,F33P1,neutrophils,Neutrophils
118719.0,45029.0858585859,26574.9318181818,F33P1,Ki67+ tumor cells,Ki67+ tumor
119453.0,45689.1801801802,26610.8063063063,F33P1,tumor cells,Tumor
119735.0,45981.558974359,27557.3,F33P1,neutrophils,Neutrophils
120157.0,45695.4481236203,26361.3355408389,F33P1,effector CD8+ T cells,Effector CD8+ T cells
120811.0,45963.7386759582,27191.2857142857,F33P1,neutrophils,Neutrophils
120932.0,45290.3516483517,26695.5989010989,F33P1,neutrophils,Neutrophils
122312.0,45602.2,27202.624,F33P1,neutrophils,Neutrophils
123224.0,45872.1693989071,27025.0546448087,F33P1,neutrophils,Neutrophils
124206.0,46005.0799001248,27341.4806491885,F33P1,tumor cells,Tumor
125086.0,45794.0818414322,26311.2531969309,F33P1,CD4+ T cells,CD4+ T cells
126397.0,45988.7372881356,27320.5169491525,F33P1,tumor cells,Tumor
126437.0,45769.3147751606,27239.0985010707,F33P1,Ki67+ tumor cells,Ki67+ tumor
126834.0,45723.9362416107,26527.2667785235,F33P1,effector CD8+ T cells,Effector CD8+ T cells
128407.0,45664.7979274611,26957.7616580311,F33P1,tumor cells,Tumor
128948.0,45547.3248587571,26736.0988700565,F33P1,memory CD4+ T cells,Regulatory T cells
129568.0,45860.0193236715,27141.38647343,F33P1,neutrophils,Neutrophils
129774.0,45823.0344827586,26625.3379310345,F33P1,tumor cells,Tumor
130382.0,46030.2309782609,26756.6983695652,F33P1,effector CD8+ T cells,Effector CD8+ T cells
130728.0,46022.1306930693,27241.3128712871,F33P1,Ki67+ tumor cells,Ki67+ tumor
131933.0,45071.5789473684,26979.6995614035,F33P1,tumor cells,Tumor
134655.0,45267.0083682008,26893.6924686192,F33P1,tumor cells,Tumor
136559.0,45153.5567765568,26552.4633699634,F33P1,tumor cells,Tumor
138046.0,45261.6267942584,26349.4162679426,F33P1,tumor cells,Tumor
138375.0,45541.2679425837,27283.6913875598,F33P1,Ki67+ tumor cells,Ki67+ tumor
139285.0,45695.1705426357,27336.503875969,F33P1,neutrophils,Neutrophils
144283.0,45790.8779661017,26266.5593220339,F33P1,CD4+ T cells,CD4+ T cells
145436.0,45203.2864864865,26425.1297297297,F33P1,M2 macrophages,M2 macrophages
145882.0,46042.0477272727,27818.1159090909,F33P1,tumor cells,Tumor
147278.0,45863.4964028777,26908.0791366907,F33P1,tumor cells,Tumor
147643.0,45016.3762541806,27004.22909699,F33P1,Ki67+ tumor cells,Ki67+ tumor
147956.0,45583.9481981982,26523.8085585586,F33P1,neutrophils,Neutrophils
149878.0,45949.7683615819,27069.0508474576,F33P1,neutrophils,Neutrophils
152987.0,45856.6458333333,26824.9861111111,F33P1,neutrophils,Neutrophils
