CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
1.0,11185.5160599572,8365.69379014989,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
45.0,11677.5384615385,8465.80961538461,FAHNSCC_11A,tumor cells,Tumor
51.0,10044.6370597243,8338.4180704441,FAHNSCC_11A,tumor cells,Tumor
53.0,11434.6290983607,7402.47131147541,FAHNSCC_11A,tumor cells,Tumor
65.0,11537.124497992,7207.39759036144,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
84.0,11654.5156537753,7517.54511970534,FAHNSCC_11A,M2 macrophages,M2 macrophages
117.0,11614.0148619958,8608.07218683652,FAHNSCC_11A,tumor cells,Tumor
144.0,11705.4427350427,8283.57777777778,FAHNSCC_11A,tumor cells,Tumor
160.0,11778.6815742397,8885.35599284436,FAHNSCC_11A,tumor cells,Tumor
171.0,11641.852,8997.99,FAHNSCC_11A,tumor cells,Tumor
188.0,10048.3410852713,8418.47286821705,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
200.0,11763.9449760766,7346.8995215311,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
227.0,11119.0465631929,9055.65853658537,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
264.0,11549.8716814159,8818.26327433628,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
279.0,11283.8581081081,8495.55630630631,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
285.0,11488.4746716698,7264.11257035647,FAHNSCC_11A,tumor cells,Tumor
292.0,10410.220043573,8123.57298474945,FAHNSCC_11A,tumor cells,Tumor
298.0,10482.189010989,8572.07252747253,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
306.0,11594.2821052632,8593.20631578947,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
310.0,10222.8654618474,8322.9718875502,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
311.0,11728.1157024793,8308.30909090909,FAHNSCC_11A,tumor cells,Tumor
363.0,11801.6302816901,8392.44894366197,FAHNSCC_11A,tumor cells,Tumor
398.0,10998.9498141264,8544.90334572491,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
403.0,10326.0085653105,8182.50749464668,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
442.0,11411.8492366412,8417.93893129771,FAHNSCC_11A,tumor cells,Tumor
445.0,11064.5376569038,8932.67154811715,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
456.0,11446.6247544204,8076.34970530452,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
541.0,11317.9827586207,8869.29956896552,FAHNSCC_11A,tumor cells,Tumor
553.0,9819.18244803695,8115.42956120092,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
570.0,11263.0941619586,8423.4670433145,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
589.0,10142.9208791209,8341.96703296703,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
590.0,11364.7929606625,8305.6397515528,FAHNSCC_11A,tumor cells,Tumor
600.0,11188.1413612565,8592.46422338569,FAHNSCC_11A,tumor cells,Tumor
606.0,11813.8320802005,7643.82456140351,FAHNSCC_11A,tumor cells,Tumor
609.0,11087.6869747899,9024.46638655462,FAHNSCC_11A,tumor cells,Tumor
682.0,11341.3060240964,7160.97831325301,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
748.0,11704.5769230769,8908.11778846154,FAHNSCC_11A,tumor cells,Tumor
758.0,11069.9925742574,8499.70297029703,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
770.0,11307.0127659574,9113.66382978723,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
776.0,11721.6361502347,8120.87558685446,FAHNSCC_11A,tumor cells,Tumor
782.0,10409.59566787,8203.56859205776,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
813.0,11773.6203208556,8702.7183600713,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
814.0,11420.8495575221,8477.78761061947,FAHNSCC_11A,tumor cells,Tumor
824.0,10991.8576923077,8629.425,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
847.0,10547.7932098765,8377.47530864198,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
885.0,10173.9918433931,8315.69331158238,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
893.0,11281.1130434783,9070.55434782609,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
903.0,11621.1704035874,9122.98430493274,FAHNSCC_11A,tumor cells,Tumor
912.0,11218.9476987448,9014.48953974895,FAHNSCC_11A,tumor cells,Tumor
916.0,11144.4337078652,8519.25393258427,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
927.0,11609.2610619469,7984.23672566372,FAHNSCC_11A,M1/M0 macrophages,M1/M0 macrophages
932.0,11329.7973484848,8285.77462121212,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
964.0,11088.4769230769,8649.81538461539,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
965.0,10367.7371663244,8115.42710472279,FAHNSCC_11A,tumor cells,Tumor
975.0,11518.338028169,9072.03521126761,FAHNSCC_11A,tumor cells,Tumor
991.0,11579.3470715835,8425.16702819957,FAHNSCC_11A,tumor cells,Tumor
1066.0,9833.66182572614,8152.3734439834,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
1069.0,10399.7231759657,8479.50858369099,FAHNSCC_11A,Ki67+ tumor cells,Ki67+ tumor
