CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
15.0,12221.6350148368,3199.64540059347,AGSCC_4,tumor cells,Tumor
19.0,12157.6003649635,2867.02919708029,AGSCC_4,tumor cells,Tumor
24.0,12045.75625,3556.5,AGSCC_4,tumor cells,Tumor
43.0,12088.6013400335,2879.85762144054,AGSCC_4,tumor cells,Tumor
60.0,10519.7452631579,3907.96210526316,AGSCC_4,tumor cells,Tumor
103.0,10334.2897897898,3330.98648648649,AGSCC_4,tumor cells,Tumor
113.0,11598.4331450094,3374.27683615819,AGSCC_4,tumor cells,Tumor
134.0,11516.625,3628.83702531646,AGSCC_4,tumor cells,Tumor
146.0,10765.8278931751,4115.46290801187,AGSCC_4,tumor cells,Tumor
192.0,12012.9525179856,2840.0273381295,AGSCC_4,tumor cells,Tumor
198.0,12360.6306451613,2813.93870967742,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
205.0,12272.3856041131,2728.19537275064,AGSCC_4,tumor cells,Tumor
218.0,11796.052064632,3192.21543985637,AGSCC_4,tumor cells,Tumor
236.0,10918.0486486486,3544.82882882883,AGSCC_4,tumor cells,Tumor
242.0,10898.5876068376,4257.66666666667,AGSCC_4,tumor cells,Tumor
269.0,12530.1204819277,3331.38704819277,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
302.0,11049.2142857143,3898.40789473684,AGSCC_4,tumor cells,Tumor
313.0,10208.0560420315,3435.76532399299,AGSCC_4,tumor cells,Tumor
341.0,11422.6393989983,3002.99499165275,AGSCC_4,tumor cells,Tumor
403.0,11695.1859799714,3074.99427753934,AGSCC_4,tumor cells,Tumor
412.0,10433.6504672897,3836.34018691589,AGSCC_4,tumor cells,Tumor
428.0,12471.3359273671,3285.10116731518,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
433.0,10772.8964059197,3111.33403805497,AGSCC_4,tumor cells,Tumor
442.0,10617.6878881988,3612.58540372671,AGSCC_4,tumor cells,Tumor
446.0,10489.7870813397,3944.09330143541,AGSCC_4,tumor cells,Tumor
475.0,11954.406557377,2862.74262295082,AGSCC_4,tumor cells,Tumor
497.0,12028.6452020202,3091.86868686869,AGSCC_4,tumor cells,Tumor
507.0,11230.38,2962.86,AGSCC_4,tumor cells,Tumor
508.0,11309.4862842893,4022.23690773067,AGSCC_4,tumor cells,Tumor
509.0,11105.9534050179,3010.68458781362,AGSCC_4,tumor cells,Tumor
522.0,11836.918128655,2781.54385964912,AGSCC_4,tumor cells,Tumor
586.0,12430.8691796009,2823.022172949,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
660.0,12347.8036697248,3590.98348623853,AGSCC_4,tumor cells,Tumor
664.0,11705.558173785,3163.35198821797,AGSCC_4,tumor cells,Tumor
677.0,12414.1565656566,3253.89393939394,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
718.0,11564.1609195402,3546.59310344828,AGSCC_4,tumor cells,Tumor
723.0,10979.8833693305,4183.68466522678,AGSCC_4,tumor cells,Tumor
725.0,12073.829015544,3170.12953367876,AGSCC_4,tumor cells,Tumor
754.0,12371.3333333333,3629.51041666667,AGSCC_4,tumor cells,Tumor
758.0,11614.0887096774,2942.15120967742,AGSCC_4,tumor cells,Tumor
784.0,11743.3804143126,2822.26553672316,AGSCC_4,tumor cells,Tumor
791.0,11822.6852300242,3690.1598062954,AGSCC_4,tumor cells,Tumor
800.0,11772.0479338843,3010.35537190083,AGSCC_4,tumor cells,Tumor
808.0,12104.0216216216,3102.73243243243,AGSCC_4,tumor cells,Tumor
828.0,10452.7741347905,3930.38069216758,AGSCC_4,tumor cells,Tumor
837.0,12121.7957446809,2854.24822695035,AGSCC_4,tumor cells,Tumor
857.0,11539.0241758242,2787.84615384615,AGSCC_4,tumor cells,Tumor
871.0,10297.794188862,3388.38740920097,AGSCC_4,tumor cells,Tumor
887.0,11898.2101910828,3913.72929936306,AGSCC_4,tumor cells,Tumor
941.0,10910.1608391608,3681.96037296037,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
948.0,10805.8985849057,3840.42452830189,AGSCC_4,tumor cells,Tumor
953.0,11574.1669595782,3291.23901581722,AGSCC_4,tumor cells,Tumor
1010.0,12729.1164383562,2899.70890410959,AGSCC_4,tumor cells,Tumor
1027.0,12521.5842293907,3371.68279569893,AGSCC_4,tumor cells,Tumor
1039.0,11632.0912052117,3268.16286644951,AGSCC_4,tumor cells,Tumor
1045.0,11822.5680190931,3728.1754176611,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
1076.0,10419.0568720379,3702.05529225908,AGSCC_4,tumor cells,Tumor
1084.0,11824.297979798,2951.94444444444,AGSCC_4,tumor cells,Tumor
1123.0,10441.8690851735,3682.72397476341,AGSCC_4,tumor cells,Tumor
1136.0,11101.1490280778,3765.40172786177,AGSCC_4,tumor cells,Tumor
1166.0,10405.9035222052,3442.25574272588,AGSCC_4,tumor cells,Tumor
1179.0,12522.914,3557.44,AGSCC_4,tumor cells,Tumor
1196.0,11652.9589632829,3681.7969762419,AGSCC_4,tumor cells,Tumor
1203.0,11027.9521410579,4274.45591939547,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
1224.0,11806.9290465632,3290.05764966741,AGSCC_4,tumor cells,Tumor
1228.0,11729.5947826087,3267.8852173913,AGSCC_4,tumor cells,Tumor
1270.0,10173.8099173554,4009.45619834711,AGSCC_4,tumor cells,Tumor
1290.0,10694.7459677419,3947.10887096774,AGSCC_4,tumor cells,Tumor
1312.0,12658.6940966011,2917.0518783542,AGSCC_4,tumor cells,Tumor
1346.0,12684.7024070022,3837.46170678337,AGSCC_4,tumor cells,Tumor
1387.0,12713.4918918919,2856.02522522523,AGSCC_4,tumor cells,Tumor
1429.0,11896.2222222222,3182.58757062147,AGSCC_4,tumor cells,Tumor
1433.0,11718.5301668806,3772.11168164313,AGSCC_4,Ki67+ tumor cells,Ki67+ tumor
1539.0,12573.8767967146,2928.14784394251,AGSCC_4,tumor cells,Tumor
1547.0,10673.9059602649,3618.39072847682,AGSCC_4,tumor cells,Tumor
1626.0,11654.9847560976,3042.65701219512,AGSCC_4,tumor cells,Tumor
1640.0,12898.3095890411,2776.65753424658,AGSCC_4,tumor cells,Tumor
1641.0,11996.3045602606,2879.61074918567,AGSCC_4,tumor cells,Tumor
1668.0,12747.8478747204,2700.04474272931,AGSCC_4,tumor cells,Tumor
1716.0,11724.3316195373,3123.5706940874,AGSCC_4,tumor cells,Tumor
1729.0,10477.7203065134,3461.89846743295,AGSCC_4,tumor cells,Tumor
