CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
12.0,28365.6611570248,7450.18388429752,F82P1,tumor cells,Tumor
53.0,26019.9169435216,5703.48726467331,F82P1,tumor cells,Tumor
188.0,26086.9601366743,5274.21070615034,F82P1,tumor cells,Tumor
223.0,28766.6026490066,6955.73289183223,F82P1,tumor cells,Tumor
236.0,26713.2690677966,5847.78389830509,F82P1,tumor cells,Tumor
271.0,28658.8592132505,7258.49068322981,F82P1,Ki67+ tumor cells,Ki67+ tumor
290.0,26486.3282275711,6318.43544857768,F82P1,tumor cells,Tumor
341.0,26317.8554376658,5528.95358090186,F82P1,tumor cells,Tumor
434.0,25985.1154580153,6809.14408396947,F82P1,tumor cells,Tumor
488.0,26757.6441717791,7122.79141104295,F82P1,tumor cells,Tumor
505.0,28248.7244897959,7415.82448979592,F82P1,tumor cells,Tumor
539.0,27821.7704545455,5769.71136363636,F82P1,tumor cells,Tumor
561.0,26236.3839184598,7367.94110985277,F82P1,tumor cells,Tumor
669.0,26607.2934537246,6438.05191873589,F82P1,tumor cells,Tumor
762.0,28686.4557438795,7224.39548022599,F82P1,tumor cells,Tumor
771.0,27927.2072289157,5257.6578313253,F82P1,tumor cells,Tumor
776.0,28334.9679389313,6294.70992366412,F82P1,tumor cells,Tumor
805.0,28645.6556521739,7007.69739130435,F82P1,tumor cells,Tumor
846.0,26518.0732984293,6289.52356020942,F82P1,Ki67+ tumor cells,Ki67+ tumor
849.0,26446.7587628866,6218.2824742268,F82P1,tumor cells,Tumor
889.0,28086.7993579454,5276.31781701445,F82P1,tumor cells,Tumor
928.0,26687.5352798054,5809.40145985401,F82P1,tumor cells,Tumor
952.0,27759.2027559055,7077.53937007874,F82P1,tumor cells,Tumor
1088.0,27289.2490421456,4831.09578544061,F82P1,tumor cells,Tumor
1119.0,26057.2465181059,6173.98467966574,F82P1,tumor cells,Tumor
1124.0,26422.0078125,6150.259765625,F82P1,tumor cells,Tumor
1145.0,28162.6515426497,5019.04355716878,F82P1,tumor cells,Tumor
1195.0,26543.4452736318,7060.28855721393,F82P1,tumor cells,Tumor
1261.0,28293.6229946524,7294.10160427808,F82P1,tumor cells,Tumor
1335.0,26942.8575712144,7371.75112443778,F82P1,tumor cells,Tumor
1381.0,27942.0,6994.36486486487,F82P1,effector CD8+ T cells,Effector CD8+ T cells
1383.0,27538.4328703704,5841.24074074074,F82P1,tumor cells,Tumor
1412.0,26521.8426966292,6329.80617977528,F82P1,tumor cells,Tumor
1472.0,27793.6065162907,5119.31328320802,F82P1,Ki67+ tumor cells,Ki67+ tumor
1498.0,27985.0632318501,7543.22950819672,F82P1,Ki67+ tumor cells,Ki67+ tumor
