CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
90.0,20982.8536009445,25555.4214876033,HNSCC_5,tumor cells,Tumor
104.0,20738.359223301,25638.1223300971,HNSCC_5,tumor cells,Tumor
118.0,19966.2418397626,25638.9480712166,HNSCC_5,tumor cells,Tumor
156.0,21120.0038834951,28682.5611650485,HNSCC_5,tumor cells,Tumor
185.0,20141.6809583859,25311.8448928121,HNSCC_5,tumor cells,Tumor
213.0,20518.3826458037,25159.1223328592,HNSCC_5,tumor cells,Tumor
264.0,20821.021101993,26614.6459554514,HNSCC_5,Ki67+ tumor cells,Ki67+ tumor
266.0,19965.8914616498,26704.0318379161,HNSCC_5,tumor cells,Tumor
412.0,19918.5601552393,26516.6494178525,HNSCC_5,tumor cells,Tumor
416.0,21197.7110799439,25863.4389901823,HNSCC_5,tumor cells,Tumor
430.0,19870.0747508306,25289.9700996678,HNSCC_5,tumor cells,Tumor
434.0,20598.9082426128,25907.4276827372,HNSCC_5,tumor cells,Tumor
447.0,19846.5131086142,25152.0468164794,HNSCC_5,tumor cells,Tumor
503.0,20702.6222222222,25215.9936507937,HNSCC_5,tumor cells,Tumor
548.0,20648.590051458,27459.7152658662,HNSCC_5,tumor cells,Tumor
566.0,19938.6045296167,25377.5522648084,HNSCC_5,tumor cells,Tumor
597.0,21157.7813578826,25753.9804372842,HNSCC_5,tumor cells,Tumor
607.0,20658.4725457571,25837.9866888519,HNSCC_5,tumor cells,Tumor
658.0,20639.1823529412,25007.9691176471,HNSCC_5,tumor cells,Tumor
674.0,20877.5924369748,24879.1092436975,HNSCC_5,tumor cells,Tumor
683.0,21142.2877813505,25823.9790996785,HNSCC_5,tumor cells,Tumor
715.0,21246.0775510204,25278.6394557823,HNSCC_5,tumor cells,Tumor
718.0,19997.9759036145,26093.8537005164,HNSCC_5,tumor cells,Tumor
776.0,19813.3343653251,26125.5464396285,HNSCC_5,tumor cells,Tumor
783.0,20222.6275033378,26481.8464619493,HNSCC_5,tumor cells,Tumor
824.0,20925.9793438639,26024.9283110571,HNSCC_5,tumor cells,Tumor
919.0,19818.4029850746,26667.0652985075,HNSCC_5,tumor cells,Tumor
954.0,21125.8482549317,25976.9575113809,HNSCC_5,tumor cells,Tumor
971.0,20166.0484140234,24643.9015025042,HNSCC_5,tumor cells,Tumor
1015.0,20299.8076335878,25828.506870229,HNSCC_5,tumor cells,Tumor
1036.0,20422.1950078003,26253.2917316693,HNSCC_5,tumor cells,Tumor
1118.0,19881.6980830671,26146.3450479233,HNSCC_5,tumor cells,Tumor
1139.0,21192.152866242,28456.4601910828,HNSCC_5,tumor cells,Tumor
1212.0,20040.5,26770.5968208093,HNSCC_5,tumor cells,Tumor
1222.0,20153.641627543,26570.5383411581,HNSCC_5,tumor cells,Tumor
1249.0,20149.0848153215,26489.4295485636,HNSCC_5,tumor cells,Tumor
1262.0,20884.6656346749,25375.7554179567,HNSCC_5,tumor cells,Tumor
1273.0,20526.8248175183,25891.2116788321,HNSCC_5,tumor cells,Tumor
1293.0,20758.306156406,26137.7587354409,HNSCC_5,tumor cells,Tumor
1348.0,19798.9248956885,27280.1933240612,HNSCC_5,Ki67+ tumor cells,Ki67+ tumor
1377.0,20788.5064629847,26087.44653349,HNSCC_5,tumor cells,Tumor
1420.0,21072.36,28594.23,HNSCC_5,neutrophils,Neutrophils
1433.0,19760.1212938005,25709.6347708895,HNSCC_5,tumor cells,Tumor
1450.0,19927.7430249633,25188.7444933921,HNSCC_5,tumor cells,Tumor
1510.0,20934.4912935323,26757.7176616915,HNSCC_5,tumor cells,Tumor
