CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
823.0,19179.1628498728,28307.2162849873,AGSCC_3,stromal cells,Stromal
1818.0,18984.2838095238,29290.1333333333,AGSCC_3,stromal cells,Stromal
2130.0,18320.1026252983,29910.0,AGSCC_3,memory CD4+ T cells,Regulatory T cells
2766.0,17799.6816143498,29818.9439461883,AGSCC_3,regulatory T cells,Regulatory T cells
3975.0,19027.5804020101,28280.4949748744,AGSCC_3,stromal cells,Stromal
6321.0,19341.3925925926,29009.8351851852,AGSCC_3,stromal cells,Stromal
6709.0,18291.4912280702,29789.5087719298,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
7171.0,18882.0199430199,28634.9800569801,AGSCC_3,stromal cells,Stromal
7329.0,19213.2420634921,28868.5396825397,AGSCC_3,stromal cells,Stromal
7905.0,18833.5422885572,28362.0845771144,AGSCC_3,stromal cells,Stromal
8644.0,18110.501607717,29829.5723472669,AGSCC_3,stromal cells,Stromal
9170.0,18486.3529411765,29696.0123839009,AGSCC_3,stromal cells,Stromal
9310.0,18822.6233333333,29527.52,AGSCC_3,CD4+ T cells,CD4+ T cells
10743.0,19393.9299191375,28925.3989218329,AGSCC_3,CD4+ T cells,CD4+ T cells
11843.0,19122.0,28839.7708333333,AGSCC_3,endothelial cells,Endothelial
11967.0,18229.6716049383,29878.762962963,AGSCC_3,stromal cells,Stromal
12667.0,17424.9745762712,29914.0734463277,AGSCC_3,memory CD4+ T cells,Regulatory T cells
12976.0,18639.7679671458,28018.3921971253,AGSCC_3,stromal cells,Stromal
13052.0,18537.306763285,29695.2632850242,AGSCC_3,other APCs,Other APCs
13140.0,18410.7727272727,29176.1443850267,AGSCC_3,endothelial cells,Endothelial
13596.0,18810.8883248731,29484.5076142132,AGSCC_3,CD4+ T cells,CD4+ T cells
15397.0,18518.2199074074,29213.1435185185,AGSCC_3,CD4+ T cells,CD4+ T cells
15598.0,18888.8055555556,28310.5802469136,AGSCC_3,stromal cells,Stromal
15669.0,18746.226006192,27876.1826625387,AGSCC_3,stromal cells,Stromal
16789.0,18846.0663265306,28300.0586734694,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
17139.0,18513.4591836735,29657.2168367347,AGSCC_3,other APCs,Other APCs
17695.0,17915.6975,29858.815,AGSCC_3,stromal cells,Stromal
17955.0,18922.8328690808,28623.0417827298,AGSCC_3,stromal cells,Stromal
18493.0,19150.7674897119,29234.7818930041,AGSCC_3,CD4+ T cells,CD4+ T cells
18598.0,18354.784148398,28146.1433389545,AGSCC_3,stromal cells,Stromal
18873.0,18381.3,29221.534,AGSCC_3,M2 macrophages,M2 macrophages
19439.0,17514.1798561151,29943.5851318945,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
21010.0,19144.33640553,28888.5668202765,AGSCC_3,stromal cells,Stromal
21239.0,18562.3298969072,29188.7216494845,AGSCC_3,CD4+ T cells,CD4+ T cells
21895.0,17961.7665847666,29876.4766584767,AGSCC_3,stromal cells,Stromal
22305.0,18418.7926136364,28639.8892045455,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
22374.0,18481.5180055402,29094.9944598338,AGSCC_3,endothelial cells,Endothelial
22390.0,18989.1931818182,28592.1761363636,AGSCC_3,stromal cells,Stromal
22519.0,18737.2828571429,28561.3257142857,AGSCC_3,endothelial cells,Endothelial
22780.0,18257.6363636364,29693.2929292929,AGSCC_3,endothelial cells,Endothelial
23033.0,17496.3894736842,29777.5789473684,AGSCC_3,stromal cells,Stromal
24422.0,18983.3903743316,28370.7700534759,AGSCC_3,stromal cells,Stromal
25307.0,19126.1315315315,29155.7963963964,AGSCC_3,stromal cells,Stromal
25642.0,17426.6490765172,29831.6253298153,AGSCC_3,memory CD4+ T cells,Regulatory T cells
26682.0,18580.9125,29329.53125,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
26729.0,18113.9356725146,29768.2748538012,AGSCC_3,CD4+ T cells,CD4+ T cells
26929.0,18837.7700534759,28638.1711229947,AGSCC_3,CD4+ T cells,CD4+ T cells
27148.0,18766.5626666667,29123.3333333333,AGSCC_3,stromal cells,Stromal
27215.0,17761.8531468531,29826.5780885781,AGSCC_3,effector CD8+ T cells,Effector CD8+ T cells
27327.0,18795.7721518987,29254.746835443,AGSCC_3,endothelial cells,Endothelial
28075.0,18867.7586206897,28699.4863883848,AGSCC_3,stromal cells,Stromal
28259.0,18245.6277602524,29905.4574132492,AGSCC_3,stromal cells,Stromal
28993.0,18125.4060606061,29855.4878787879,AGSCC_3,CD4+ T cells,CD4+ T cells
29363.0,19119.9643835616,28238.7808219178,AGSCC_3,B cells,B cells
29864.0,18633.4150943396,28085.5121293801,AGSCC_3,CD4+ T cells,CD4+ T cells
29998.0,18927.3314711359,27992.0856610801,AGSCC_3,endothelial cells,Endothelial
30881.0,17808.5535248042,29505.4438642298,AGSCC_3,stromal cells,Stromal
31251.0,18088.450928382,29887.3103448276,AGSCC_3,CD4+ T cells,CD4+ T cells
31288.0,19328.0573394495,28946.4380733945,AGSCC_3,other APCs,Other APCs
32586.0,19170.7555938038,28724.3545611016,AGSCC_3,stromal cells,Stromal
33352.0,18373.3915343915,29108.4232804233,AGSCC_3,CD4+ T cells,CD4+ T cells
34182.0,18762.3592592593,29504.0037037037,AGSCC_3,CD4+ T cells,CD4+ T cells
34528.0,18721.9440715884,28862.9932885906,AGSCC_3,stromal cells,Stromal
35279.0,18139.845505618,29653.5674157303,AGSCC_3,CD4+ T cells,CD4+ T cells
36000.0,18474.9130434783,28545.2826086957,AGSCC_3,memory CD4+ T cells,Regulatory T cells
37466.0,18576.4603174603,29893.2920634921,AGSCC_3,dendritic cells,Dendritic cells
38909.0,19021.0338461538,28518.2369230769,AGSCC_3,B cells,B cells
38914.0,18702.3820512821,28400.1743589744,AGSCC_3,memory CD8+ T cells,Effector CD8+ T cells
38998.0,17713.5098591549,29761.3915492958,AGSCC_3,regulatory T cells,Regulatory T cells
