CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
3346.0,35174.6253521127,13726.923943662,AGSCC_1,memory CD4+ T cells,Regulatory T cells
4706.0,34539.7102564103,11815.6735042735,AGSCC_1,Ki67+ tumor cells,Ki67+ tumor
6312.0,35173.664,12222.1456,AGSCC_1,stromal cells,Stromal
8333.0,35433.2339514979,13182.0513552068,AGSCC_1,stromal cells,Stromal
11004.0,34067.9228650138,12420.1212121212,AGSCC_1,memory CD8+ T cells,Effector CD8+ T cells
12568.0,35564.0905172414,11211.8146551724,AGSCC_1,effector CD8+ T cells,Effector CD8+ T cells
13329.0,33516.2987421384,12841.8679245283,AGSCC_1,regulatory T cells,Regulatory T cells
14295.0,34026.1732101617,12042.5542725173,AGSCC_1,stromal cells,Stromal
14520.0,35232.7051671733,11202.4224924012,AGSCC_1,endothelial cells,Endothelial
18925.0,33885.3176470588,12184.8917647059,AGSCC_1,regulatory T cells,Regulatory T cells
27790.0,33882.9906103286,12457.9014084507,AGSCC_1,stromal cells,Stromal
30508.0,33887.6950549451,12015.6126373626,AGSCC_1,memory CD4+ T cells,Regulatory T cells
30801.0,34578.2986698912,12066.3796856106,AGSCC_1,Ki67+ tumor cells,Ki67+ tumor
31280.0,33839.4151436031,11991.0522193211,AGSCC_1,memory CD8+ T cells,Effector CD8+ T cells
32752.0,33789.2122302158,12627.6942446043,AGSCC_1,memory CD4+ T cells,Regulatory T cells
34930.0,33935.1881188119,12443.3465346535,AGSCC_1,stromal cells,Stromal
35343.0,34295.9801980198,11207.9851485149,AGSCC_1,memory CD4+ T cells,Regulatory T cells
35460.0,33967.1689189189,14767.5405405405,AGSCC_1,stromal cells,Stromal
35807.0,35358.9098143236,11167.824933687,AGSCC_1,endothelial cells,Endothelial
36362.0,34107.5779376499,11835.0503597122,AGSCC_1,memory CD8+ T cells,Effector CD8+ T cells
36573.0,34991.9973958333,13662.7994791667,AGSCC_1,memory CD4+ T cells,Regulatory T cells
36777.0,33765.6708860759,12651.4556962025,AGSCC_1,endothelial cells,Endothelial
37129.0,35532.0051679587,11234.4470284238,AGSCC_1,endothelial cells,Endothelial
37843.0,34885.5993975904,15202.3524096386,AGSCC_1,memory CD4+ T cells,Regulatory T cells
37847.0,33874.9941176471,14167.6911764706,AGSCC_1,CD4+ T cells,CD4+ T cells
39001.0,35006.4603960396,11222.5222772277,AGSCC_1,stromal cells,Stromal
39969.0,35011.609223301,14873.3665048544,AGSCC_1,M1/M0 macrophages,M1/M0 macrophages
