CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
1997.0,13818.1228070175,35190.0087719298,F43P1,stromal cells,Stromal
2753.0,13766.5208333333,35553.75,F43P1,Unknown,Other
4222.0,13482.2257142857,34662.2457142857,F43P1,stromal cells,Stromal
7243.0,13580.2896551724,34601.3793103448,F43P1,neutrophils,Neutrophils
9570.0,13060.5591397849,34635.752688172,F43P1,neutrophils,Neutrophils
10142.0,13649.8362068966,36011.75,F43P1,M2 macrophages,M2 macrophages
11623.0,13097.9126984127,34702.4206349206,F43P1,stromal cells,Stromal
11646.0,13549.0074349442,35920.5204460967,F43P1,M2 macrophages,M2 macrophages
12024.0,13638.8161764706,34734.6691176471,F43P1,neutrophils,Neutrophils
13575.0,13509.4366576819,36095.0916442049,F43P1,CD4+ T cells,CD4+ T cells
15841.0,13253.7339449541,34622.6146788991,F43P1,neutrophils,Neutrophils
17163.0,13548.3680203046,36032.6116751269,F43P1,endothelial cells,Endothelial
17794.0,13881.7594936709,35712.2151898734,F43P1,neutrophils,Neutrophils
18988.0,13851.3225806452,35022.8580645161,F43P1,stromal cells,Stromal
19741.0,13861.8226950355,35993.4964539007,F43P1,endothelial cells,Endothelial
20123.0,13849.1776315789,35348.1973684211,F43P1,neutrophils,Neutrophils
21249.0,13220.0603448276,34690.525862069,F43P1,neutrophils,Neutrophils
23393.0,13619.0425531915,35789.9845261122,F43P1,stromal cells,Stromal
27261.0,13620.1916666667,36061.5083333333,F43P1,M2 macrophages,M2 macrophages
28001.0,12858.3333333333,34583.8995983936,F43P1,stromal cells,Stromal
28777.0,13570.1712962963,36034.2685185185,F43P1,stromal cells,Stromal
30902.0,13850.3948126801,35813.8876080692,F43P1,stromal cells,Stromal
31453.0,13139.2767857143,34795.4642857143,F43P1,M2 macrophages,M2 macrophages
32160.0,13577.1483050847,35621.4258474576,F43P1,M2 macrophages,M2 macrophages
33248.0,13805.5225225225,35030.009009009,F43P1,neutrophils,Neutrophils
36112.0,13603.893442623,36023.7786885246,F43P1,stromal cells,Stromal
36161.0,13873.9379968204,35117.680445151,F43P1,stromal cells,Stromal
38475.0,13735.7254901961,36001.0392156863,F43P1,stromal cells,Stromal
38965.0,13445.8512396694,34684.4132231405,F43P1,neutrophils,Neutrophils
41697.0,13827.7659033079,35801.6106870229,F43P1,stromal cells,Stromal
42761.0,13791.6583333333,35265.1333333333,F43P1,stromal cells,Stromal
43541.0,13825.5642857143,35678.6,F43P1,CD4+ T cells,CD4+ T cells
45921.0,13238.4320987654,34741.3703703704,F43P1,neutrophils,Neutrophils
46983.0,13122.0434782609,34724.1534526854,F43P1,stromal cells,Stromal
47409.0,12972.1165644172,34877.2760736196,F43P1,stromal cells,Stromal
47418.0,13749.7326732673,35859.9851485149,F43P1,tumor cells,Tumor
47705.0,12748.130733945,34790.4495412844,F43P1,stromal cells,Stromal
48909.0,13054.5793103448,34729.9379310345,F43P1,stromal cells,Stromal
50175.0,13851.6044776119,34774.5895522388,F43P1,stromal cells,Stromal
50494.0,13853.3851351351,34705.4054054054,F43P1,neutrophils,Neutrophils
51053.0,13065.1421319797,34823.2436548223,F43P1,neutrophils,Neutrophils
52355.0,13686.2540540541,34652.7405405405,F43P1,Unknown,Other
52974.0,13496.0030864198,35931.8271604938,F43P1,stromal cells,Stromal
56169.0,13559.9135802469,35938.2567901235,F43P1,endothelial cells,Endothelial
57612.0,13726.4249471459,35697.9365750529,F43P1,stromal cells,Stromal
57749.0,13638.5898876404,35957.6797752809,F43P1,endothelial cells,Endothelial
57805.0,13712.8402777778,35909.1666666667,F43P1,stromal cells,Stromal
60066.0,13817.3556910569,35313.7784552846,F43P1,endothelial cells,Endothelial
61001.0,13805.4814814815,35003.6666666667,F43P1,stromal cells,Stromal
63760.0,13658.2447761194,34766.1970149254,F43P1,stromal cells,Stromal
65656.0,13799.4532374101,35873.9856115108,F43P1,neutrophils,Neutrophils
66009.0,13718.0211267606,34754.838028169,F43P1,M2 macrophages,M2 macrophages
67003.0,13666.7676767677,34704.8181818182,F43P1,stromal cells,Stromal
71024.0,13484.0326530612,34676.7755102041,F43P1,neutrophils,Neutrophils
71642.0,13837.4691358025,34711.7777777778,F43P1,neutrophils,Neutrophils
73874.0,12754.7524752475,34820.4752475248,F43P1,stromal cells,Stromal
74998.0,13781.0098684211,35723.6677631579,F43P1,stromal cells,Stromal
75078.0,13456.2915254237,35128.4440677966,F43P1,stromal cells,Stromal
75215.0,13557.4061135371,35671.8384279476,F43P1,stromal cells,Stromal
75918.0,13136.5064102564,34582.7051282051,F43P1,neutrophils,Neutrophils
77137.0,13817.32,35403.275,F43P1,stromal cells,Stromal
78790.0,13771.9239130435,34688.4130434783,F43P1,stromal cells,Stromal
81127.0,12845.8066298343,34694.1215469613,F43P1,CD4+ T cells,CD4+ T cells
81281.0,13846.183639399,35734.0951585977,F43P1,stromal cells,Stromal
81772.0,12996.8008849558,34850.517699115,F43P1,stromal cells,Stromal
82065.0,13366.3,34772.1066666667,F43P1,neutrophils,Neutrophils
84386.0,13810.2054263566,35207.3914728682,F43P1,stromal cells,Stromal
85896.0,13698.2679738562,35968.6732026144,F43P1,Unknown,Other
86265.0,13850.9641255605,35927.2421524664,F43P1,regulatory T cells,Regulatory T cells
86570.0,13660.2293577982,35974.2752293578,F43P1,stromal cells,Stromal
88164.0,13618.064171123,35403.8395721925,F43P1,CD4+ T cells,CD4+ T cells
89274.0,13858.1700680272,34971.8503401361,F43P1,stromal cells,Stromal
90138.0,13448.0790697674,35208.0558139535,F43P1,neutrophils,Neutrophils
90207.0,13873.1659192825,36036.1121076233,F43P1,stromal cells,Stromal
90720.0,13724.4698795181,35963.7228915663,F43P1,stromal cells,Stromal
95184.0,13699.5813953488,34776.7790697674,F43P1,M2 macrophages,M2 macrophages
95705.0,13245.5910931174,34642.3198380567,F43P1,neutrophils,Neutrophils
97176.0,13618.5620915033,35361.8954248366,F43P1,other APCs,Other APCs
97425.0,13851.6221498371,35910.8045602606,F43P1,CD4+ T cells,CD4+ T cells
99131.0,13824.8102564103,34741.8102564103,F43P1,dendritic cells,Dendritic cells
99694.0,13672.4195804196,35592.5034965035,F43P1,stromal cells,Stromal
99991.0,13765.485915493,35259.2535211268,F43P1,stromal cells,Stromal
100513.0,13629.16015625,35507.21875,F43P1,stromal cells,Stromal
102007.0,13766.2865497076,35246.6140350877,F43P1,stromal cells,Stromal
103970.0,13596.4881355932,34822.4271186441,F43P1,stromal cells,Stromal
104424.0,13881.3313609467,35422.4763313609,F43P1,M2 macrophages,M2 macrophages
105985.0,13576.2043010753,35340.3279569892,F43P1,stromal cells,Stromal
106113.0,13835.630952381,35210.1825396825,F43P1,stromal cells,Stromal
107291.0,13635.5527638191,35522.0502512563,F43P1,stromal cells,Stromal
107911.0,13307.2737430168,34666.5698324022,F43P1,neutrophils,Neutrophils
108138.0,12812.5481481481,34774.2074074074,F43P1,neutrophils,Neutrophils
108486.0,13630.7183098592,35806.9436619718,F43P1,neutrophils,Neutrophils
109842.0,13079.0165745856,34635.3425414365,F43P1,neutrophils,Neutrophils
110136.0,13876.0,35683.9288888889,F43P1,stromal cells,Stromal
110695.0,13861.8645833333,35753.9340277778,F43P1,stromal cells,Stromal
111120.0,13278.8834355828,34665.0981595092,F43P1,neutrophils,Neutrophils
112979.0,13480.2508143322,35993.8501628665,F43P1,M2 macrophages,M2 macrophages
113080.0,12683.0909090909,34738.2653562654,F43P1,stromal cells,Stromal
113426.0,13776.1634615385,35415.4615384615,F43P1,stromal cells,Stromal
115597.0,13788.8507462687,35905.1268656716,F43P1,stromal cells,Stromal
115775.0,13857.7911111111,36021.5022222222,F43P1,neutrophils,Neutrophils
118018.0,13691.7926829268,35649.8780487805,F43P1,neutrophils,Neutrophils
118106.0,13098.09375,34770.48125,F43P1,neutrophils,Neutrophils
118167.0,12773.2083333333,34842.7291666667,F43P1,stromal cells,Stromal
119336.0,13862.1352201258,35532.2012578616,F43P1,stromal cells,Stromal
122307.0,13438.6025641026,34663.7756410256,F43P1,CD4+ T cells,CD4+ T cells
122603.0,13234.0098039216,34658.7450980392,F43P1,neutrophils,Neutrophils
123155.0,13467.8951048951,34758.4358974359,F43P1,stromal cells,Stromal
125238.0,13503.2,35952.3512195122,F43P1,regulatory T cells,Regulatory T cells
128572.0,13569.7197802198,36093.3186813187,F43P1,regulatory T cells,Regulatory T cells
