CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
192.0,12659.0345423143,18162.5492227979,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
1247.0,11852.4301075269,18630.6048387097,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
2802.0,13041.7186629526,18067.3760445682,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
2804.0,12612.3452054795,17282.2082191781,HNSCC_7,M2 macrophages,M2 macrophages
3162.0,12991.7512077295,18499.4565217391,HNSCC_7,stromal cells,Stromal
3824.0,13076.8212290503,18639.7206703911,HNSCC_7,stromal cells,Stromal
3857.0,12534.3732394366,17991.5598591549,HNSCC_7,endothelial cells,Endothelial
5062.0,13350.2743589744,18689.2,HNSCC_7,stromal cells,Stromal
7547.0,12662.1829573935,18359.4786967419,HNSCC_7,endothelial cells,Endothelial
8662.0,13110.0594059406,18318.4422442244,HNSCC_7,endothelial cells,Endothelial
9207.0,12619.8585858586,18485.7676767677,HNSCC_7,stromal cells,Stromal
9923.0,12708.2741935484,18213.6021505376,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
10215.0,11757.3941176471,18596.6588235294,HNSCC_7,stromal cells,Stromal
10534.0,12991.903030303,17906.0909090909,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
10594.0,12958.0774193548,18011.8612903226,HNSCC_7,memory CD4+ T cells,Regulatory T cells
11437.0,11646.0138121547,18458.182320442,HNSCC_7,B cells,B cells
12141.0,13056.1,18279.3757575758,HNSCC_7,endothelial cells,Endothelial
13895.0,12792.2579075426,18595.798053528,HNSCC_7,stromal cells,Stromal
14233.0,13003.1935483871,18284.5368663594,HNSCC_7,Unknown,Other
15079.0,13093.4874651811,18285.1754874652,HNSCC_7,NK,NK
16263.0,12535.485013624,17229.9564032698,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
16669.0,12811.1560693642,17357.5317919075,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
17458.0,13334.4554973822,18132.3717277487,HNSCC_7,endothelial cells,Endothelial
17887.0,13148.7354497354,18670.1296296296,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
18126.0,11602.5944272446,18417.6284829721,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
18351.0,13009.6298076923,17806.6586538462,HNSCC_7,CD4+ T cells,CD4+ T cells
18965.0,12603.2113022113,18537.9557739558,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
19471.0,13375.4145658263,18170.7030812325,HNSCC_7,M2 macrophages,M2 macrophages
19635.0,12683.792746114,18174.8316062176,HNSCC_7,NK,NK
20711.0,11668.4236842105,18506.4131578947,HNSCC_7,stromal cells,Stromal
20874.0,12922.3434650456,17533.8632218845,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
21636.0,11700.7724719101,18599.5842696629,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
21921.0,13240.467268623,18103.2641083521,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
22271.0,11860.719895288,18677.6701570681,HNSCC_7,stromal cells,Stromal
22522.0,13250.3256578947,18671.8848684211,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
23215.0,12854.6640159046,17171.6938369781,HNSCC_7,endothelial cells,Endothelial
26583.0,12963.5574912892,18178.1986062718,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
27110.0,13076.0,17999.0777777778,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
27211.0,13191.2694805195,18675.5909090909,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
27212.0,12695.6719242902,17225.9905362776,HNSCC_7,stromal cells,Stromal
27252.0,12661.9752321981,17320.6068111455,HNSCC_7,endothelial cells,Endothelial
27793.0,11684.1638141809,18437.6332518337,HNSCC_7,endothelial cells,Endothelial
28007.0,12022.4984423676,18682.3676012461,HNSCC_7,stromal cells,Stromal
29393.0,12646.8278688525,18447.8770491803,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
29723.0,12865.0851851852,17835.062962963,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
30211.0,12789.2914285714,17170.92,HNSCC_7,endothelial cells,Endothelial
31073.0,13069.3694117647,17966.6635294118,HNSCC_7,endothelial cells,Endothelial
31646.0,13002.8528735632,17867.1195402299,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
31805.0,12539.2567567568,18159.2297297297,HNSCC_7,endothelial cells,Endothelial
31853.0,12546.3386075949,18007.8196202532,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
32875.0,12907.5306122449,17700.2471655329,HNSCC_7,CD4+ T cells,CD4+ T cells
33320.0,12857.4929971989,17787.4957983193,HNSCC_7,endothelial cells,Endothelial
33997.0,12685.5786666667,17736.648,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
35845.0,12563.9783783784,17379.8036036036,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
36212.0,13019.6492146597,17921.9162303665,HNSCC_7,stromal cells,Stromal
38017.0,12569.9711538462,17717.0942307692,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
38589.0,12643.4776119403,17501.1542288557,HNSCC_7,B cells,B cells
38740.0,12838.5864197531,18105.475308642,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
38988.0,12257.2490118577,18519.6719367589,HNSCC_7,tumor cells,Tumor
39255.0,13027.9770114943,18200.6810344828,HNSCC_7,M2 macrophages,M2 macrophages
39986.0,11647.762611276,18474.5697329377,HNSCC_7,stromal cells,Stromal
40956.0,11818.0698529412,18654.4227941176,HNSCC_7,NK,NK
41963.0,12680.0230769231,17377.2205128205,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
42080.0,13043.9251497006,18643.9281437126,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
43115.0,12658.0666666667,18528.21,HNSCC_7,regulatory T cells,Regulatory T cells
43557.0,12643.2764705882,18543.2411764706,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
43828.0,11931.4635761589,18608.8973509934,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
44511.0,13390.7420212766,17576.795212766,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
44556.0,12928.9931034483,18566.3425287356,HNSCC_7,endothelial cells,Endothelial
45064.0,12846.6339522546,17344.6604774536,HNSCC_7,stromal cells,Stromal
45298.0,12737.1516709512,17407.5758354756,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
46505.0,12554.2926208651,18625.8015267176,HNSCC_7,CD4+ T cells,CD4+ T cells
46873.0,13141.7433628319,17905.0088495575,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
47140.0,12704.65625,17395.4182692308,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
48923.0,12760.1479713604,17164.0572792363,HNSCC_7,endothelial cells,Endothelial
49042.0,12858.9746835443,17656.5063291139,HNSCC_7,effector CD8+ T cells,Effector CD8+ T cells
49245.0,12838.0952380952,17257.2592592593,HNSCC_7,endothelial cells,Endothelial
49644.0,13062.4857142857,17783.0833333333,HNSCC_7,CD4+ T cells,CD4+ T cells
52447.0,11683.7360406091,18522.8096446701,HNSCC_7,CD4+ T cells,CD4+ T cells
54410.0,12750.2720930233,18245.4372093023,HNSCC_7,M2 macrophages,M2 macrophages
54546.0,13348.7442455243,17277.9641943734,HNSCC_7,CD4+ T cells,CD4+ T cells
55829.0,11729.685,18551.745,HNSCC_7,M2 macrophages,M2 macrophages
57073.0,12853.7804878049,18587.2527716186,HNSCC_7,endothelial cells,Endothelial
57653.0,12070.0494186047,18389.2965116279,HNSCC_7,stromal cells,Stromal
57690.0,13082.0950920245,18313.9539877301,HNSCC_7,endothelial cells,Endothelial
57797.0,12929.399408284,18498.0473372781,HNSCC_7,endothelial cells,Endothelial
58519.0,13178.7811816193,18607.3347921225,HNSCC_7,endothelial cells,Endothelial
58874.0,12981.9166666667,18212.2222222222,HNSCC_7,stromal cells,Stromal
60450.0,12751.0481012658,17221.2658227848,HNSCC_7,stromal cells,Stromal
60897.0,12659.0634146341,18089.0243902439,HNSCC_7,CD4+ T cells,CD4+ T cells
60922.0,12592.3923809524,18025.4019047619,HNSCC_7,M2 macrophages,M2 macrophages
65240.0,13131.5559566787,17985.9819494585,HNSCC_7,endothelial cells,Endothelial
67536.0,13052.3797468354,17899.7493670886,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
67611.0,12833.0035971223,17632.3129496403,HNSCC_7,M2 macrophages,M2 macrophages
67642.0,13372.6648648649,18001.0972972973,HNSCC_7,stromal cells,Stromal
68120.0,11629.0314009662,18573.6884057971,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
68160.0,12879.671641791,18066.1194029851,HNSCC_7,NK,NK
68885.0,12737.6271186441,18539.4813559322,HNSCC_7,memory CD4+ T cells,Regulatory T cells
69566.0,12953.2629969419,17162.6544342508,HNSCC_7,CD4+ T cells,CD4+ T cells
70017.0,13237.9709677419,18032.064516129,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
70141.0,12920.5544217687,17990.6462585034,HNSCC_7,memory CD8+ T cells,Effector CD8+ T cells
