CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
63.0,6622.74814814815,5583.67160493827,AGSCC_4,other APCs,Other APCs
196.0,6437.20779220779,6107.15909090909,AGSCC_4,endothelial cells,Endothelial
371.0,4891.78813559322,6680.12711864407,AGSCC_4,stromal cells,Stromal
505.0,6450.04697986577,5491.71812080537,AGSCC_4,stromal cells,Stromal
703.0,6206.06779661017,6096.13898305085,AGSCC_4,stromal cells,Stromal
899.0,5019.01804123711,6859.69845360825,AGSCC_4,endothelial cells,Endothelial
1040.0,5921.33944954128,6128.07033639144,AGSCC_4,stromal cells,Stromal
1043.0,6525.66123778502,5665.81107491857,AGSCC_4,stromal cells,Stromal
1218.0,6200.42,5955.85714285714,AGSCC_4,stromal cells,Stromal
1252.0,7029.34072580645,5669.4375,AGSCC_4,B cells,B cells
1283.0,6154.39700374532,6031.43071161049,AGSCC_4,M2 macrophages,M2 macrophages
1573.0,4782.52727272727,6730.50303030303,AGSCC_4,stromal cells,Stromal
1802.0,6955.12091503268,5446.45098039216,AGSCC_4,memory CD4+ T cells,Regulatory T cells
2027.0,5645.4115755627,6120.37620578778,AGSCC_4,stromal cells,Stromal
2210.0,6610.64759036145,5638.48493975904,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
2507.0,4785.52755905512,7048.64566929134,AGSCC_4,stromal cells,Stromal
2570.0,5585.1541218638,6604.41218637993,AGSCC_4,stromal cells,Stromal
2941.0,5583.89215686274,6214.44117647059,AGSCC_4,CD4+ T cells,CD4+ T cells
3060.0,6549.34808259587,5774.65191740413,AGSCC_4,stromal cells,Stromal
3104.0,7031.97393364929,5649.71563981043,AGSCC_4,B cells,B cells
3136.0,6968.74864864865,5680.3972972973,AGSCC_4,B cells,B cells
3211.0,6189.27150537634,5886.16397849462,AGSCC_4,stromal cells,Stromal
3387.0,6414.02739726027,6095.88767123288,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
3821.0,6339.2967032967,6119.89010989011,AGSCC_4,endothelial cells,Endothelial
4193.0,4871.0325203252,7036.23848238482,AGSCC_4,endothelial cells,Endothelial
4219.0,6745.55927051672,5645.75683890578,AGSCC_4,memory CD8+ T cells,Effector CD8+ T cells
4361.0,6973.57701711491,5733.69437652812,AGSCC_4,B cells,B cells
4639.0,4898.46006389776,7049.55271565495,AGSCC_4,endothelial cells,Endothelial
4648.0,5161.51362683438,6776.94549266247,AGSCC_4,stromal cells,Stromal
4659.0,5693.27852348993,6487.62080536913,AGSCC_4,endothelial cells,Endothelial
4689.0,6368.33502538071,6129.82487309645,AGSCC_4,endothelial cells,Endothelial
4737.0,6527.86153846154,6057.60769230769,AGSCC_4,memory CD8+ T cells,Effector CD8+ T cells
4942.0,7085.78857142857,5572.08,AGSCC_4,memory CD4+ T cells,Regulatory T cells
5030.0,5878.11363636364,6108.62337662338,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
5048.0,6006.93798449612,5893.6511627907,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
5120.0,6965.68115942029,5715.31262939959,AGSCC_4,B cells,B cells
5234.0,6366.28464419476,5559.87265917603,AGSCC_4,CD4+ T cells,CD4+ T cells
5717.0,6991.67464114833,5688.35406698565,AGSCC_4,B cells,B cells
6123.0,5540.84042553191,6573.87765957447,AGSCC_4,NK,NK
6513.0,6569.79365079365,5932.38095238095,AGSCC_4,endothelial cells,Endothelial
6552.0,5596.04578313253,6132.20240963855,AGSCC_4,stromal cells,Stromal
6747.0,6725.22564102564,5698.95213675214,AGSCC_4,B cells,B cells
6819.0,5917.58045977012,6017.64942528736,AGSCC_4,stromal cells,Stromal
6844.0,6359.07624633431,5713.21700879765,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
6856.0,6120.53103448276,6188.85172413793,AGSCC_4,stromal cells,Stromal
6885.0,6024.10144927536,5983.55797101449,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
6977.0,6157.7311827957,5966.4623655914,AGSCC_4,endothelial cells,Endothelial
7048.0,5475.27777777778,6657.29914529915,AGSCC_4,stromal cells,Stromal
7107.0,4899.29292929293,6800.16161616162,AGSCC_4,NK,NK
7225.0,5112.15542521994,6605.23460410557,AGSCC_4,stromal cells,Stromal
7244.0,7014.22330097087,5709.28155339806,AGSCC_4,B cells,B cells
7274.0,6250.94972067039,5770.6592178771,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
7666.0,4770.69264069264,6748.03463203463,AGSCC_4,stromal cells,Stromal
7732.0,6782.36046511628,5399.34593023256,AGSCC_4,other APCs,Other APCs
7769.0,6816.52976190476,5314.1369047619,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
7784.0,4960.18090452261,6766.54271356784,AGSCC_4,memory CD4+ T cells,Regulatory T cells
7795.0,5829.28623188406,6090.24637681159,AGSCC_4,CD4+ T cells,CD4+ T cells
7957.0,6706.37581699346,5597.37254901961,AGSCC_4,endothelial cells,Endothelial
8075.0,7264.74468085106,5322.6990881459,AGSCC_4,endothelial cells,Endothelial
8236.0,5579.64743589744,6275.89743589744,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
8740.0,5683.06129032258,6189.92580645161,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
8747.0,5875.08049535604,6462.98761609907,AGSCC_4,stromal cells,Stromal
8841.0,5464.07929515419,6239.50660792952,AGSCC_4,stromal cells,Stromal
8957.0,6249.70754716981,5748.83018867925,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
8984.0,4954.22493887531,6858.40831295844,AGSCC_4,endothelial cells,Endothelial
8993.0,6705.05586592179,5677.5251396648,AGSCC_4,B cells,B cells
8999.0,6404.06,5545.24,AGSCC_4,effector CD8+ T cells,Effector CD8+ T cells
9105.0,6198.47080291971,5848.46715328467,AGSCC_4,endothelial cells,Endothelial
9180.0,6726.95833333333,5762.71180555556,AGSCC_4,B cells,B cells
9308.0,6127.52087114338,6134.44283121597,AGSCC_4,stromal cells,Stromal
9396.0,4660.91479820628,7177.83408071749,AGSCC_4,memory CD4+ T cells,Regulatory T cells
9481.0,4815.48251748252,6663.33566433566,AGSCC_4,stromal cells,Stromal
9700.0,6875.80182926829,5292.53353658537,AGSCC_4,stromal cells,Stromal
9740.0,6060.125,5930.25,AGSCC_4,stromal cells,Stromal
9743.0,6377.93406593407,5902.25274725275,AGSCC_4,memory CD8+ T cells,Effector CD8+ T cells
9818.0,6943.76736111111,5364.69791666667,AGSCC_4,endothelial cells,Endothelial
9867.0,6424.20833333333,5531.74166666667,AGSCC_4,CD4+ T cells,CD4+ T cells
9890.0,6546.97826086957,6089.5652173913,AGSCC_4,memory CD4+ T cells,Regulatory T cells
10085.0,5152.87951807229,6733.89959839357,AGSCC_4,endothelial cells,Endothelial
10118.0,4652.75746268657,6994.35820895522,AGSCC_4,stromal cells,Stromal
10168.0,6881.39316239316,5309.93162393162,AGSCC_4,endothelial cells,Endothelial
10296.0,5047.93609022556,6973.74812030075,AGSCC_4,stromal cells,Stromal
10394.0,7166.99210526316,5545.63157894737,AGSCC_4,B cells,B cells
10414.0,5721.53797468354,6124.01582278481,AGSCC_4,stromal cells,Stromal
10479.0,6417.0775862069,5688.80172413793,AGSCC_4,stromal cells,Stromal
