CellID,X_centroid,Y_centroid,Sample,phenotype,FinalPhenotype
49.0,66519.3224932249,18270.5718157182,F33P1,stromal cells,Stromal
98.0,67771.1906779661,18748.2528248588,F33P1,CD4+ T cells,CD4+ T cells
491.0,67706.6514285714,18715.5131428571,F33P1,stromal cells,Stromal
1480.0,67080.7390243903,18464.093902439,F33P1,regulatory T cells,Regulatory T cells
3668.0,65935.808988764,18595.5093632959,F33P1,NK,NK
5513.0,64861.5795454545,18066.0795454545,F33P1,CD4+ T cells,CD4+ T cells
6198.0,66006.4153846154,18632.1758241758,F33P1,CD4+ T cells,CD4+ T cells
9563.0,67182.2995867769,18486.7004132231,F33P1,stromal cells,Stromal
9675.0,65397.8775981524,18241.1224018476,F33P1,NK,NK
9791.0,65955.6446540881,17948.141509434,F33P1,stromal cells,Stromal
10653.0,65869.2563451777,18593.5558375635,F33P1,stromal cells,Stromal
11015.0,67635.7142857143,18480.6326530612,F33P1,stromal cells,Stromal
11765.0,65081.679144385,17981.7112299465,F33P1,CD4+ T cells,CD4+ T cells
12192.0,66088.825136612,18213.8524590164,F33P1,effector CD8+ T cells,Effector CD8+ T cells
12767.0,64268.5924528302,17870.5264150943,F33P1,other APCs,Other APCs
13808.0,65445.75625,18243.34375,F33P1,CD4+ T cells,CD4+ T cells
15059.0,65074.2,18231.264,F33P1,neutrophils,Neutrophils
15261.0,64859.5692307692,18184.8358974359,F33P1,memory CD4+ T cells,Regulatory T cells
16339.0,66787.2047058824,18201.9694117647,F33P1,regulatory T cells,Regulatory T cells
16633.0,66118.0477941177,18692.1948529412,F33P1,NK,NK
18302.0,67721.7138047138,18848.0067340067,F33P1,stromal cells,Stromal
18788.0,67759.1536458333,18865.7916666667,F33P1,stromal cells,Stromal
19458.0,65865.6291866029,18330.471291866,F33P1,NK,NK
19785.0,67836.0882352941,18761.7081447964,F33P1,M2 macrophages,M2 macrophages
20151.0,67170.0444015444,18663.0096525097,F33P1,M2 macrophages,M2 macrophages
20724.0,66841.2251082251,18975.1948051948,F33P1,effector CD8+ T cells,Effector CD8+ T cells
20940.0,66200.5647058824,18553.9960784314,F33P1,NK,NK
22162.0,65983.4860050891,17988.3155216285,F33P1,stromal cells,Stromal
22394.0,66515.821192053,18011.9437086093,F33P1,CD4+ T cells,CD4+ T cells
23113.0,64735.9632352941,17903.9852941176,F33P1,stromal cells,Stromal
23544.0,66375.9916201117,18741.6843575419,F33P1,dendritic cells,Dendritic cells
24025.0,65981.5309973046,18244.0673854447,F33P1,stromal cells,Stromal
24756.0,64557.6806282723,17997.0418848168,F33P1,B cells,B cells
25786.0,65070.0435779817,18031.1077981651,F33P1,stromal cells,Stromal
26155.0,64873.731884058,18704.8768115942,F33P1,effector CD8+ T cells,Effector CD8+ T cells
26383.0,64754.1104761905,18097.8361904762,F33P1,stromal cells,Stromal
26480.0,66919.7337662338,18525.3116883117,F33P1,stromal cells,Stromal
