phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
Ki67+ tumor cells,Ki67+ tumor,24.0,FAAGSCC_13_24,31090.0362100181,24088.8907664454
Ki67+ tumor cells,Ki67+ tumor,173.0,FAAGSCC_13_173,32262.8321060383,24206.9440353461
Ki67+ tumor cells,Ki67+ tumor,660.0,FAAGSCC_13_660,32821.3662162162,23831.9851351351
tumor cells,Tumor,893.0,FAAGSCC_13_893,32774.4703264095,24427.265578635
tumor cells,Tumor,1406.0,FAAGSCC_13_1406,33438.9301972686,24412.0743550835
tumor cells,Tumor,1579.0,FAAGSCC_13_1579,32944.0965189873,24435.9984177215
Ki67+ tumor cells,Ki67+ tumor,1839.0,FAAGSCC_13_1839,33033.7303921569,24016.0612745098
tumor cells,Tumor,1863.0,FAAGSCC_13_1863,31790.9412811388,23334.8256227758
tumor cells,Tumor,1874.0,FAAGSCC_13_1874,31593.3433070866,23243.1496062992
tumor cells,Tumor,2455.0,FAAGSCC_13_2455,32614.9020467836,24120.7061403509
Ki67+ tumor cells,Ki67+ tumor,2531.0,FAAGSCC_13_2531,32879.0905730129,24018.6210720887
Ki67+ tumor cells,Ki67+ tumor,2880.0,FAAGSCC_13_2880,31759.5,23261.2373134328
Ki67+ tumor cells,Ki67+ tumor,3341.0,FAAGSCC_13_3341,31474.6593886463,23431.3100436681
Ki67+ tumor cells,Ki67+ tumor,3368.0,FAAGSCC_13_3368,31254.4462151394,23226.1899070385
tumor cells,Tumor,3493.0,FAAGSCC_13_3493,30982.6696315121,24554.8919949174
tumor cells,Tumor,3838.0,FAAGSCC_13_3838,31436.2583668005,24535.2396251673
tumor cells,Tumor,4724.0,FAAGSCC_13_4724,31088.5694656489,24033.1183206107
Ki67+ tumor cells,Ki67+ tumor,4922.0,FAAGSCC_13_4922,31014.1006622517,24048.319205298
tumor cells,Tumor,4937.0,FAAGSCC_13_4937,33016.6120576671,23905.4652686763
Ki67+ tumor cells,Ki67+ tumor,5316.0,FAAGSCC_13_5316,31300.1271989175,23229.6887686062
tumor cells,Tumor,5373.0,FAAGSCC_13_5373,31581.8977272727,24022.4496753247
tumor cells,Tumor,5511.0,FAAGSCC_13_5511,31837.5306748466,24268.0306748466
Ki67+ tumor cells,Ki67+ tumor,5694.0,FAAGSCC_13_5694,31475.3465783664,23324.4746136865
tumor cells,Tumor,5718.0,FAAGSCC_13_5718,31217.626391097,23239.0826709062
tumor cells,Tumor,6092.0,FAAGSCC_13_6092,31229.1809338521,23990.2684824903
tumor cells,Tumor,6492.0,FAAGSCC_13_6492,31767.0899122807,24243.1184210526
tumor cells,Tumor,7616.0,FAAGSCC_13_7616,32949.7592592593,24467.8962962963
tumor cells,Tumor,7861.0,FAAGSCC_13_7861,32574.1837524178,24131.8588007737
Ki67+ tumor cells,Ki67+ tumor,7944.0,FAAGSCC_13_7944,32865.9763205829,23253.7832422587
tumor cells,Tumor,8849.0,FAAGSCC_13_8849,31090.2872628726,23766.1341463415
tumor cells,Tumor,9117.0,FAAGSCC_13_9117,32362.447592068,24149.3399433428
Ki67+ tumor cells,Ki67+ tumor,9262.0,FAAGSCC_13_9262,32095.4597457627,24479.6927966102
tumor cells,Tumor,9458.0,FAAGSCC_13_9458,33062.7527881041,23474.7379182156
Ki67+ tumor cells,Ki67+ tumor,9856.0,FAAGSCC_13_9856,33247.8057742782,23721.1797900262
Ki67+ tumor cells,Ki67+ tumor,9896.0,FAAGSCC_13_9896,32424.3401506997,24482.906350915
tumor cells,Tumor,9982.0,FAAGSCC_13_9982,31016.3029827316,24676.3783359498
tumor cells,Tumor,10069.0,FAAGSCC_13_10069,32146.7861538462,24722.2092307692
Ki67+ tumor cells,Ki67+ tumor,10162.0,FAAGSCC_13_10162,31862.5512010114,23291.0758533502
Ki67+ tumor cells,Ki67+ tumor,10402.0,FAAGSCC_13_10402,31093.4881889764,23705.5170603674
Ki67+ tumor cells,Ki67+ tumor,10406.0,FAAGSCC_13_10406,32936.2582697201,23426.1959287532
tumor cells,Tumor,10449.0,FAAGSCC_13_10449,31486.0530785563,23386.0
tumor cells,Tumor,10549.0,FAAGSCC_13_10549,31215.130600572,24714.6453765491
tumor cells,Tumor,10562.0,FAAGSCC_13_10562,32577.2425742574,24022.297029703
tumor cells,Tumor,10636.0,FAAGSCC_13_10636,31214.1714285714,24638.2471428571
tumor cells,Tumor,10758.0,FAAGSCC_13_10758,31493.6927710843,24113.5225903614
tumor cells,Tumor,10818.0,FAAGSCC_13_10818,31700.4889162562,24456.9482758621
tumor cells,Tumor,11381.0,FAAGSCC_13_11381,31366.7934186472,24124.2632541133
tumor cells,Tumor,11886.0,FAAGSCC_13_11886,31198.6569468268,24376.6843910806
Ki67+ tumor cells,Ki67+ tumor,12042.0,FAAGSCC_13_12042,31025.9646539028,23810.9779086892
tumor cells,Tumor,12477.0,FAAGSCC_13_12477,31049.4885844749,24272.7054794521
M1/M0 macrophages,M1/M0 macrophages,12576.0,FAAGSCC_13_12576,32650.2091836735,24187.7755102041
Ki67+ tumor cells,Ki67+ tumor,12991.0,FAAGSCC_13_12991,32574.4529147982,24464.6980568012
tumor cells,Tumor,13361.0,FAAGSCC_13_13361,33035.447761194,23468.9445628998
tumor cells,Tumor,13684.0,FAAGSCC_13_13684,31062.8738621586,24191.5682704811
tumor cells,Tumor,13704.0,FAAGSCC_13_13704,31212.8147295742,24591.9286536249
Ki67+ tumor cells,Ki67+ tumor,13894.0,FAAGSCC_13_13894,31357.584548105,23990.8586005831
tumor cells,Tumor,13987.0,FAAGSCC_13_13987,31624.5603305785,24388.8495867769
tumor cells,Tumor,14021.0,FAAGSCC_13_14021,30980.1096654275,24113.592936803
tumor cells,Tumor,14300.0,FAAGSCC_13_14300,31852.1311154599,24373.2739726027
tumor cells,Tumor,14432.0,FAAGSCC_13_14432,31806.3783783784,23713.3097713098
tumor cells,Tumor,14764.0,FAAGSCC_13_14764,31445.7784810127,24484.6379746835
Ki67+ tumor cells,Ki67+ tumor,14831.0,FAAGSCC_13_14831,32885.8023952096,24502.754491018
Ki67+ tumor cells,Ki67+ tumor,15209.0,FAAGSCC_13_15209,32192.7489361702,23916.6531914894
tumor cells,Tumor,15616.0,FAAGSCC_13_15616,31537.8603351955,23286.8854748603
tumor cells,Tumor,15704.0,FAAGSCC_13_15704,31181.1865008881,23818.0763765542
effector CD8+ T cells,Effector CD8+ T cells,15859.0,FAAGSCC_13_15859,31460.2345679012,24342.7777777778
Ki67+ tumor cells,Ki67+ tumor,16029.0,FAAGSCC_13_16029,31137.2494252874,24595.2827586207
Ki67+ tumor cells,Ki67+ tumor,16205.0,FAAGSCC_13_16205,31565.7606177606,23779.8764478764
tumor cells,Tumor,16276.0,FAAGSCC_13_16276,31448.3345454545,23478.9854545455
Ki67+ tumor cells,Ki67+ tumor,16561.0,FAAGSCC_13_16561,32194.1009174312,24276.2922673657
tumor cells,Tumor,16578.0,FAAGSCC_13_16578,31661.2802919708,24374.4627737226
tumor cells,Tumor,16608.0,FAAGSCC_13_16608,31732.153125,24662.146875
tumor cells,Tumor,17033.0,FAAGSCC_13_17033,32506.326007326,24257.6153846154
tumor cells,Tumor,17482.0,FAAGSCC_13_17482,31051.0637393768,24025.2393767705
tumor cells,Tumor,17947.0,FAAGSCC_13_17947,33268.4731977819,23700.438077634
tumor cells,Tumor,18067.0,FAAGSCC_13_18067,31187.1066969353,23996.9682179342
tumor cells,Tumor,18337.0,FAAGSCC_13_18337,32672.2340425532,24205.3462282398
tumor cells,Tumor,18651.0,FAAGSCC_13_18651,31138.5613540197,23856.0493653032
tumor cells,Tumor,18693.0,FAAGSCC_13_18693,31841.3708487085,23257.5018450185
tumor cells,Tumor,18795.0,FAAGSCC_13_18795,31179.6238651102,24639.4163424125
tumor cells,Tumor,19000.0,FAAGSCC_13_19000,33194.7101827676,23784.7859007833
Ki67+ tumor cells,Ki67+ tumor,19385.0,FAAGSCC_13_19385,31557.8464646465,24189.6909090909
tumor cells,Tumor,19466.0,FAAGSCC_13_19466,31037.7333333333,23895.7518518518
tumor cells,Tumor,19588.0,FAAGSCC_13_19588,31196.0718475073,23268.5571847507
other APCs,Other APCs,19621.0,FAAGSCC_13_19621,31743.7751937985,24421.188630491
tumor cells,Tumor,19857.0,FAAGSCC_13_19857,31067.7626752967,23269.7421790723
tumor cells,Tumor,20512.0,FAAGSCC_13_20512,31437.9977728285,23909.271714922
tumor cells,Tumor,20535.0,FAAGSCC_13_20535,31283.0646766169,24579.4925373134
tumor cells,Tumor,20586.0,FAAGSCC_13_20586,31159.2613138686,23241.4248175182
tumor cells,Tumor,20618.0,FAAGSCC_13_20618,31229.7035573122,23740.2055335968
tumor cells,Tumor,20761.0,FAAGSCC_13_20761,32585.9779917469,24259.3246217332
tumor cells,Tumor,20846.0,FAAGSCC_13_20846,31818.4178187404,23645.064516129
Ki67+ tumor cells,Ki67+ tumor,21071.0,FAAGSCC_13_21071,32839.7050997783,24127.7472283814
Ki67+ tumor cells,Ki67+ tumor,21204.0,FAAGSCC_13_21204,32447.0907335907,23208.0135135135
tumor cells,Tumor,21265.0,FAAGSCC_13_21265,31046.0384615385,23746.0384615385
Ki67+ tumor cells,Ki67+ tumor,21326.0,FAAGSCC_13_21326,31995.3626168224,24235.9140186916
Ki67+ tumor cells,Ki67+ tumor,22090.0,FAAGSCC_13_22090,33293.6604708798,24323.4299876084
tumor cells,Tumor,22165.0,FAAGSCC_13_22165,30997.6737967914,24603.0096256684
tumor cells,Tumor,23223.0,FAAGSCC_13_23223,32889.5379310345,24434.324137931
Ki67+ tumor cells,Ki67+ tumor,23841.0,FAAGSCC_13_23841,31198.1916167665,23684.4231536926
Ki67+ tumor cells,Ki67+ tumor,23846.0,FAAGSCC_13_23846,32906.9463087248,23574.9217002237
tumor cells,Tumor,23954.0,FAAGSCC_13_23954,31601.8211243612,24099.33560477
Ki67+ tumor cells,Ki67+ tumor,24012.0,FAAGSCC_13_24012,31441.2246376812,24381.8985507246
dendritic cells,Dendritic cells,24133.0,FAAGSCC_13_24133,31536.8579881657,23597.5088757396
tumor cells,Tumor,24648.0,FAAGSCC_13_24648,31238.6542553192,23924.1294326241
Ki67+ tumor cells,Ki67+ tumor,24718.0,FAAGSCC_13_24718,31088.8825136612,23835.6994535519
tumor cells,Tumor,25023.0,FAAGSCC_13_25023,32211.9876325088,23455.6537102473
Ki67+ tumor cells,Ki67+ tumor,25434.0,FAAGSCC_13_25434,33253.7061769616,23594.8263772955
tumor cells,Tumor,25519.0,FAAGSCC_13_25519,32935.9589552239,23935.203358209
Ki67+ tumor cells,Ki67+ tumor,25527.0,FAAGSCC_13_25527,31531.7132352941,23223.5735294118
Ki67+ tumor cells,Ki67+ tumor,25559.0,FAAGSCC_13_25559,31855.328313253,24517.2424698795
Ki67+ tumor cells,Ki67+ tumor,26191.0,FAAGSCC_13_26191,31330.7802907916,23999.113085622
tumor cells,Tumor,26387.0,FAAGSCC_13_26387,32857.1151736746,24179.8921389397
tumor cells,Tumor,26449.0,FAAGSCC_13_26449,32373.9525862069,24359.8211206897
tumor cells,Tumor,26502.0,FAAGSCC_13_26502,31649.4288793103,23698.7693965517
tumor cells,Tumor,26606.0,FAAGSCC_13_26606,32192.7022727273,23759.3
Ki67+ tumor cells,Ki67+ tumor,26653.0,FAAGSCC_13_26653,32185.2098408104,24007.0520984081
tumor cells,Tumor,26836.0,FAAGSCC_13_26836,32102.3611615245,24695.0725952813
tumor cells,Tumor,26936.0,FAAGSCC_13_26936,31495.19,23489.708
CD4+ T cells,CD4+ T cells,27230.0,FAAGSCC_13_27230,32642.004784689,24092.4401913876
Ki67+ tumor cells,Ki67+ tumor,27269.0,FAAGSCC_13_27269,31752.9980620155,23224.0251937985
Ki67+ tumor cells,Ki67+ tumor,27441.0,FAAGSCC_13_27441,32692.9651639344,24351.3053278689
