phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
Ki67+ tumor cells,Ki67+ tumor,192.0,AGSCC_1_192,16768.0568335589,18472.0263870095
Ki67+ tumor cells,Ki67+ tumor,445.0,AGSCC_1_445,16753.1652777778,18295.2819444444
Ki67+ tumor cells,Ki67+ tumor,720.0,AGSCC_1_720,16742.4429254956,18433.3561175666
Ki67+ tumor cells,Ki67+ tumor,952.0,AGSCC_1_952,16982.5524911032,18379.9457295374
Ki67+ tumor cells,Ki67+ tumor,1368.0,AGSCC_1_1368,16589.144018583,17487.0232288037
Ki67+ tumor cells,Ki67+ tumor,2070.0,AGSCC_1_2070,16573.5864485981,18192.2184579439
Ki67+ tumor cells,Ki67+ tumor,2146.0,AGSCC_1_2146,16949.4837758112,18370.9842674533
Ki67+ tumor cells,Ki67+ tumor,2238.0,AGSCC_1_2238,16788.4320610687,18166.9977099237
Ki67+ tumor cells,Ki67+ tumor,3010.0,AGSCC_1_3010,16598.7434507678,18266.2962962963
Ki67+ tumor cells,Ki67+ tumor,3441.0,AGSCC_1_3441,16930.9761904762,17367.5
tumor cells,Tumor,4320.0,AGSCC_1_4320,16897.685963521,18289.5971451229
tumor cells,Tumor,4412.0,AGSCC_1_4412,16748.1498993964,18331.2726358149
Ki67+ tumor cells,Ki67+ tumor,4541.0,AGSCC_1_4541,16576.1290983607,18467.6424180328
Ki67+ tumor cells,Ki67+ tumor,4705.0,AGSCC_1_4705,17030.3545232274,18419.9951100245
Ki67+ tumor cells,Ki67+ tumor,4759.0,AGSCC_1_4759,16336.6159754224,18404.9431643625
Ki67+ tumor cells,Ki67+ tumor,4852.0,AGSCC_1_4852,16878.4027491409,18177.6439862543
Ki67+ tumor cells,Ki67+ tumor,5461.0,AGSCC_1_5461,17302.7929799427,17748.4577363897
Ki67+ tumor cells,Ki67+ tumor,5639.0,AGSCC_1_5639,15741.1547049442,18673.8038277512
Ki67+ tumor cells,Ki67+ tumor,5720.0,AGSCC_1_5720,16772.2262026612,17436.8771750256
Ki67+ tumor cells,Ki67+ tumor,5796.0,AGSCC_1_5796,16567.8442028986,17516.5289855072
Ki67+ tumor cells,Ki67+ tumor,5913.0,AGSCC_1_5913,16448.6115702479,17651.9628099174
tumor cells,Tumor,6067.0,AGSCC_1_6067,16326.5690789474,17855.5164473684
Ki67+ tumor cells,Ki67+ tumor,6208.0,AGSCC_1_6208,16582.9603004292,17906.3862660944
Ki67+ tumor cells,Ki67+ tumor,6933.0,AGSCC_1_6933,16696.8042596349,18201.046653144
