phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,26.0,F82P1_26,31618.2566539924,26228.9220532319
Ki67+ tumor cells,Ki67+ tumor,46.0,F82P1_46,33133.7286527514,25788.6337760911
tumor cells,Tumor,122.0,F82P1_122,31962.1115702479,25273.6280991736
tumor cells,Tumor,183.0,F82P1_183,31808.315862069,25986.9613793103
other APCs,Other APCs,218.0,F82P1_218,31413.73283859,27997.1521335807
tumor cells,Tumor,255.0,F82P1_255,31565.8802083333,26880.984375
Ki67+ tumor cells,Ki67+ tumor,257.0,F82P1_257,31974.4664246824,24647.8638838476
tumor cells,Tumor,310.0,F82P1_310,32687.839869281,24571.7287581699
tumor cells,Tumor,317.0,F82P1_317,32396.4172661871,26241.4982014388
tumor cells,Tumor,342.0,F82P1_342,32438.5342960289,25317.797833935
tumor cells,Tumor,391.0,F82P1_391,32206.224824356,25257.3583138173
tumor cells,Tumor,410.0,F82P1_410,33382.1218961625,25994.5304740406
Ki67+ tumor cells,Ki67+ tumor,566.0,F82P1_566,32572.356,26099.81
Ki67+ tumor cells,Ki67+ tumor,605.0,F82P1_605,32973.3521126761,24447.7464788732
tumor cells,Tumor,615.0,F82P1_615,32287.0704467354,25186.0309278351
tumor cells,Tumor,662.0,F82P1_662,31696.1506352087,26044.8130671506
tumor cells,Tumor,680.0,F82P1_680,32049.7829099307,24921.9284064665
tumor cells,Tumor,688.0,F82P1_688,32745.8524590164,26371.2180327869
tumor cells,Tumor,724.0,F82P1_724,32370.5020920502,24491.309623431
tumor cells,Tumor,728.0,F82P1_728,31434.6596306069,26658.3746701847
tumor cells,Tumor,780.0,F82P1_780,31831.6202531646,25896.3620253165
tumor cells,Tumor,867.0,F82P1_867,31898.6852300242,24769.8983050847
tumor cells,Tumor,955.0,F82P1_955,31558.3414141414,26095.103030303
Ki67+ tumor cells,Ki67+ tumor,964.0,F82P1_964,32469.0309917355,26060.3987603306
tumor cells,Tumor,968.0,F82P1_968,33054.6496815287,26480.4946921444
tumor cells,Tumor,1051.0,F82P1_1051,32138.94375,24734.0270833333
tumor cells,Tumor,1081.0,F82P1_1081,33005.1692789969,26560.4357366771
tumor cells,Tumor,1103.0,F82P1_1103,32175.2040302267,24590.59697733
tumor cells,Tumor,1142.0,F82P1_1142,32786.1618705036,26408.2122302158
Ki67+ tumor cells,Ki67+ tumor,1271.0,F82P1_1271,33257.6703296703,25962.7516483517
tumor cells,Tumor,1272.0,F82P1_1272,31545.746835443,26346.6160337553
tumor cells,Tumor,1303.0,F82P1_1303,31986.2227171492,24759.1937639198
Ki67+ tumor cells,Ki67+ tumor,1360.0,F82P1_1360,32611.5330296128,24457.6924829157
tumor cells,Tumor,1425.0,F82P1_1425,31557.8795986622,26703.4414715719
tumor cells,Tumor,1454.0,F82P1_1454,32919.1457286432,25566.7688442211
tumor cells,Tumor,1457.0,F82P1_1457,33130.5157480315,26420.9114173228
tumor cells,Tumor,1480.0,F82P1_1480,32545.0322580645,26298.1612903226
tumor cells,Tumor,1489.0,F82P1_1489,31943.503131524,25436.3256784969
tumor cells,Tumor,1497.0,F82P1_1497,33434.1359447005,26070.8064516129
other APCs,Other APCs,1527.0,F82P1_1527,31804.4214876033,27808.5123966942
tumor cells,Tumor,1530.0,F82P1_1530,32059.1315217391,26427.4445652174
Ki67+ tumor cells,Ki67+ tumor,1558.0,F82P1_1558,32923.1966759003,25625.9750692521
tumor cells,Tumor,1611.0,F82P1_1611,31737.7819905213,24743.5521327014
tumor cells,Tumor,1833.0,F82P1_1833,32759.4055201699,26334.3885350319
tumor cells,Tumor,1835.0,F82P1_1835,33289.0465753425,26372.8438356164
tumor cells,Tumor,2096.0,F82P1_2096,31774.3986486487,24836.3040540541
tumor cells,Tumor,2232.0,F82P1_2232,31493.290237467,27543.0448548813
tumor cells,Tumor,2246.0,F82P1_2246,31852.8171021378,25145.3016627078
tumor cells,Tumor,2287.0,F82P1_2287,31806.9568,26207.8528
tumor cells,Tumor,2355.0,F82P1_2355,31758.726169844,26879.3102253033
tumor cells,Tumor,2457.0,F82P1_2457,31586.4932301741,26584.3249516441
Ki67+ tumor cells,Ki67+ tumor,2481.0,F82P1_2481,31769.5471698113,25436.4316037736
tumor cells,Tumor,2496.0,F82P1_2496,32650.5711159737,26283.8227571116
tumor cells,Tumor,2577.0,F82P1_2577,32451.1006711409,24535.711409396
tumor cells,Tumor,2621.0,F82P1_2621,31794.1199143469,25878.5888650964
tumor cells,Tumor,2730.0,F82P1_2730,32071.6767857143,25155.1678571429
tumor cells,Tumor,2752.0,F82P1_2752,31844.4112149533,24903.8808411215
tumor cells,Tumor,2809.0,F82P1_2809,33228.235971223,26228.0100719424
tumor cells,Tumor,2874.0,F82P1_2874,33101.75,26384.5190677966
tumor cells,Tumor,2890.0,F82P1_2890,32873.7507886435,25544.4132492114
tumor cells,Tumor,2893.0,F82P1_2893,33079.9960474308,26434.4446640316
tumor cells,Tumor,3008.0,F82P1_3008,32721.5339449541,26376.5155963303
tumor cells,Tumor,3016.0,F82P1_3016,32139.7051282051,25864.4743589744
tumor cells,Tumor,3035.0,F82P1_3035,32971.7544554455,26449.9128712871
tumor cells,Tumor,3065.0,F82P1_3065,31922.3687943262,24722.0330969267
Ki67+ tumor cells,Ki67+ tumor,3088.0,F82P1_3088,31520.0277078086,26018.9294710327
tumor cells,Tumor,3173.0,F82P1_3173,32008.527173913,24913.8297101449
tumor cells,Tumor,3182.0,F82P1_3182,31927.8291457286,24966.4120603015
tumor cells,Tumor,3253.0,F82P1_3253,32123.8949152542,25134.8491525424
tumor cells,Tumor,3385.0,F82P1_3385,31887.5502717391,26144.4796195652
tumor cells,Tumor,3397.0,F82P1_3397,32023.8951048951,24639.5961538462
Ki67+ tumor cells,Ki67+ tumor,3417.0,F82P1_3417,32227.6917098446,24533.6295336788
Ki67+ tumor cells,Ki67+ tumor,3451.0,F82P1_3451,32610.0893300248,26120.7047146402
tumor cells,Tumor,3474.0,F82P1_3474,32159.7666666667,24536.0520833333
Ki67+ tumor cells,Ki67+ tumor,3477.0,F82P1_3477,32289.97,25538.3466666667
tumor cells,Tumor,3584.0,F82P1_3584,31474.0534846029,26902.868719611
tumor cells,Tumor,3639.0,F82P1_3639,32176.8226120858,25101.2846003899
tumor cells,Tumor,3691.0,F82P1_3691,32072.013582343,25207.2716468591
tumor cells,Tumor,3785.0,F82P1_3785,32968.826446281,25681.2066115702
tumor cells,Tumor,3807.0,F82P1_3807,31897.909512761,25247.6589327146
tumor cells,Tumor,3831.0,F82P1_3831,31529.2407002188,27086.2166301969
tumor cells,Tumor,3874.0,F82P1_3874,31814.1517241379,25457.475862069
tumor cells,Tumor,3976.0,F82P1_3976,33752.4084645669,26404.6801181102
tumor cells,Tumor,4015.0,F82P1_4015,31454.0750750751,26983.5765765766
tumor cells,Tumor,4029.0,F82P1_4029,32043.0707317073,24608.9268292683
Ki67+ tumor cells,Ki67+ tumor,4045.0,F82P1_4045,31998.7419354839,25763.5304659498
tumor cells,Tumor,4053.0,F82P1_4053,31757.8067226891,24967.7394957983
tumor cells,Tumor,4072.0,F82P1_4072,31576.7539568345,27146.9107913669
tumor cells,Tumor,4117.0,F82P1_4117,32589.6732851986,26378.3285198556
tumor cells,Tumor,4121.0,F82P1_4121,32394.1646586345,25343.7831325301
Ki67+ tumor cells,Ki67+ tumor,4236.0,F82P1_4236,32677.9192708333,24504.6015625
tumor cells,Tumor,4314.0,F82P1_4314,33461.1596724667,26734.1709314227
tumor cells,Tumor,4321.0,F82P1_4321,33410.8018223235,26159.3416856492
tumor cells,Tumor,4323.0,F82P1_4323,31513.3114355231,26363.0145985401
tumor cells,Tumor,4330.0,F82P1_4330,31769.8075221239,25350.6969026549
Ki67+ tumor cells,Ki67+ tumor,4380.0,F82P1_4380,32474.7553763441,25420.5698924731
tumor cells,Tumor,4471.0,F82P1_4471,33373.1340033501,26104.7185929648
tumor cells,Tumor,4476.0,F82P1_4476,32684.4544,26393.8576
tumor cells,Tumor,4546.0,F82P1_4546,31420.3584474886,26637.5159817352
tumor cells,Tumor,4748.0,F82P1_4748,31826.3384615385,24783.5107692308
tumor cells,Tumor,4761.0,F82P1_4761,32283.6709183674,25887.3596938776
tumor cells,Tumor,4826.0,F82P1_4826,33114.3585858586,26483.9848484848
tumor cells,Tumor,4836.0,F82P1_4836,32379.3786407767,25164.3495145631
tumor cells,Tumor,4885.0,F82P1_4885,31544.9492481203,26219.0601503759
tumor cells,Tumor,4899.0,F82P1_4899,31682.0022675737,24849.746031746
tumor cells,Tumor,4924.0,F82P1_4924,32149.8599670511,25260.5551894563
tumor cells,Tumor,4961.0,F82P1_4961,32135.6368932039,25087.2
tumor cells,Tumor,5019.0,F82P1_5019,32619.0335968379,24578.2233201581
tumor cells,Tumor,5101.0,F82P1_5101,33099.5418326693,26987.2370517928
Ki67+ tumor cells,Ki67+ tumor,5107.0,F82P1_5107,32858.8793103448,26127.1063218391
Ki67+ tumor cells,Ki67+ tumor,5114.0,F82P1_5114,31509.492481203,25717.1428571429
tumor cells,Tumor,5158.0,F82P1_5158,31916.5251299827,26896.424610052
tumor cells,Tumor,5169.0,F82P1_5169,33102.8491048593,25728.5447570332
tumor cells,Tumor,5183.0,F82P1_5183,33448.4004683841,27179.5480093677
tumor cells,Tumor,5198.0,F82P1_5198,32330.3105022831,26087.49543379
tumor cells,Tumor,5211.0,F82P1_5211,31995.4136212625,25062.865448505
tumor cells,Tumor,5227.0,F82P1_5227,31750.1133333333,25043.8133333333
tumor cells,Tumor,5269.0,F82P1_5269,31466.8974943052,26304.125284738
tumor cells,Tumor,5282.0,F82P1_5282,31482.0385288967,26674.0455341506
tumor cells,Tumor,5296.0,F82P1_5296,31702.3314606742,25090.1292134831
tumor cells,Tumor,5328.0,F82P1_5328,31934.0544554455,25226.2475247525
tumor cells,Tumor,5429.0,F82P1_5429,31790.9650259067,26295.5777202073
tumor cells,Tumor,5509.0,F82P1_5509,32397.2113402062,26070.5206185567
tumor cells,Tumor,5556.0,F82P1_5556,33607.2976588629,26199.9397993311
tumor cells,Tumor,5571.0,F82P1_5571,32035.0149750416,26985.5840266223
tumor cells,Tumor,5623.0,F82P1_5623,32534.8446808511,24566.8085106383
tumor cells,Tumor,5675.0,F82P1_5675,32836.2069892473,25572.1827956989
Ki67+ tumor cells,Ki67+ tumor,5702.0,F82P1_5702,31674.7319034853,25403.9034852547
tumor cells,Tumor,5850.0,F82P1_5850,32135.1587561375,25042.8052373159
tumor cells,Tumor,5875.0,F82P1_5875,31673.0120481928,25369.1546184739
tumor cells,Tumor,6058.0,F82P1_6058,33029.4530516432,26435.1784037559
tumor cells,Tumor,6061.0,F82P1_6061,32003.8292682927,25186.8048780488
Ki67+ tumor cells,Ki67+ tumor,6066.0,F82P1_6066,33099.0100250627,25748.7318295739
tumor cells,Tumor,6113.0,F82P1_6113,32350.8578431373,26027.2990196078
M2 macrophages,M2 macrophages,6152.0,F82P1_6152,31674.4332247557,27950.9087947883
Ki67+ tumor cells,Ki67+ tumor,6176.0,F82P1_6176,33220.9789227166,26157.2014051522
Ki67+ tumor cells,Ki67+ tumor,6237.0,F82P1_6237,32021.4910891089,25389.2297029703
tumor cells,Tumor,6311.0,F82P1_6311,31876.7217898833,25013.4824902724
tumor cells,Tumor,6327.0,F82P1_6327,31642.2679738562,27073.7668845316
Ki67+ tumor cells,Ki67+ tumor,6382.0,F82P1_6382,32101.45625,24578.89375
tumor cells,Tumor,6391.0,F82P1_6391,31909.5033557047,25067.322147651
Ki67+ tumor cells,Ki67+ tumor,6449.0,F82P1_6449,31560.8144927536,27581.5594202899
tumor cells,Tumor,6614.0,F82P1_6614,32045.5814696486,25760.9680511182
tumor cells,Tumor,6620.0,F82P1_6620,33533.8397976391,26503.7166947723
tumor cells,Tumor,6640.0,F82P1_6640,32349.8544303797,25344.9894514768
tumor cells,Tumor,6673.0,F82P1_6673,31519.6342342342,26701.3369369369
tumor cells,Tumor,6688.0,F82P1_6688,33068.1663286004,26373.1257606491
tumor cells,Tumor,6695.0,F82P1_6695,33337.7457142857,26199.1771428571
other APCs,Other APCs,6699.0,F82P1_6699,32017.3380530973,24595.810619469
tumor cells,Tumor,6792.0,F82P1_6792,31768.1948955917,25281.4431554524
tumor cells,Tumor,6995.0,F82P1_6995,32245.6208530806,26048.9739336493
tumor cells,Tumor,7310.0,F82P1_7310,32305.6580796253,25394.9555035129
Ki67+ tumor cells,Ki67+ tumor,7364.0,F82P1_7364,33253.0564516129,26010.2661290323
tumor cells,Tumor,7414.0,F82P1_7414,31424.0955752212,26696.7876106195
tumor cells,Tumor,7464.0,F82P1_7464,32159.398757764,26065.547826087
tumor cells,Tumor,7564.0,F82P1_7564,31837.6089613035,25977.0305498982
other APCs,Other APCs,7616.0,F82P1_7616,31763.1464646465,27761.8914141414
tumor cells,Tumor,7640.0,F82P1_7640,31763.8571428571,25175.7655677656
tumor cells,Tumor,7661.0,F82P1_7661,32188.4096185738,25875.3714759536
tumor cells,Tumor,7663.0,F82P1_7663,32067.3536895674,25397.4452926209
tumor cells,Tumor,7720.0,F82P1_7720,33051.545045045,24547.4504504505
Ki67+ tumor cells,Ki67+ tumor,7741.0,F82P1_7741,32032.3580246914,25347.4409171076
tumor cells,Tumor,7819.0,F82P1_7819,31826.8112582781,26432.2069536424
tumor cells,Tumor,7823.0,F82P1_7823,31822.6078431373,24827.3355119826
tumor cells,Tumor,7904.0,F82P1_7904,31820.2340036563,25216.9067641682
tumor cells,Tumor,7999.0,F82P1_7999,31549.4603524229,26516.2246696035
tumor cells,Tumor,8124.0,F82P1_8124,32234.3402061856,25928.6443298969
tumor cells,Tumor,8144.0,F82P1_8144,31957.0458715596,27876.2293577982
