phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
endothelial cells,Endothelial,363.0,FAAGSCC_13_363,30751.6991643454,20307.3064066852
endothelial cells,Endothelial,850.0,FAAGSCC_13_850,30903.2357723577,20190.8146341463
endothelial cells,Endothelial,870.0,FAAGSCC_13_870,30869.6257545272,19860.1690140845
effector CD8+ T cells,Effector CD8+ T cells,2129.0,FAAGSCC_13_2129,30857.0852713178,20243.3488372093
endothelial cells,Endothelial,3045.0,FAAGSCC_13_3045,30059.1775417299,19619.406676783
stromal cells,Stromal,3079.0,FAAGSCC_13_3079,29463.616892911,19040.7933634992
stromal cells,Stromal,3596.0,FAAGSCC_13_3596,31083.884057971,18971.4444444444
endothelial cells,Endothelial,3616.0,FAAGSCC_13_3616,30662.6616231087,19431.6643741403
M2 macrophages,M2 macrophages,3680.0,FAAGSCC_13_3680,29430.0729613734,19393.9313304721
stromal cells,Stromal,4365.0,FAAGSCC_13_4365,30213.9875518672,20555.0850622407
endothelial cells,Endothelial,4776.0,FAAGSCC_13_4776,30812.6502057613,18876.3703703704
stromal cells,Stromal,5341.0,FAAGSCC_13_5341,29888.1158021713,19324.4656212304
endothelial cells,Endothelial,5745.0,FAAGSCC_13_5745,31093.418556701,19307.0680412371
endothelial cells,Endothelial,6781.0,FAAGSCC_13_6781,30537.4255319149,19264.2845744681
stromal cells,Stromal,7127.0,FAAGSCC_13_7127,31142.2577962578,19166.4656964657
endothelial cells,Endothelial,7266.0,FAAGSCC_13_7266,30583.7070422535,19854.861971831
M2 macrophages,M2 macrophages,8444.0,FAAGSCC_13_8444,29901.0382352941,19670.0205882353
endothelial cells,Endothelial,8861.0,FAAGSCC_13_8861,30777.7577413479,20241.7030965392
stromal cells,Stromal,9171.0,FAAGSCC_13_9171,29111.9898989899,20203.9545454545
endothelial cells,Endothelial,9656.0,FAAGSCC_13_9656,30588.6231617647,19935.4466911765
endothelial cells,Endothelial,9690.0,FAAGSCC_13_9690,30978.395280236,19943.2418879056
endothelial cells,Endothelial,9990.0,FAAGSCC_13_9990,30555.6111111111,20039.7074074074
endothelial cells,Endothelial,10051.0,FAAGSCC_13_10051,30786.46,20045.5175
M1/M0 macrophages,M1/M0 macrophages,10168.0,FAAGSCC_13_10168,30699.4478873239,20780.4394366197
endothelial cells,Endothelial,10727.0,FAAGSCC_13_10727,29570.6565464896,19052.3130929791
endothelial cells,Endothelial,10836.0,FAAGSCC_13_10836,30486.2,19000.3391304348
stromal cells,Stromal,11768.0,FAAGSCC_13_11768,29458.3268817204,20269.1225806452
endothelial cells,Endothelial,12010.0,FAAGSCC_13_12010,30147.8739726027,18680.7232876712
endothelial cells,Endothelial,12016.0,FAAGSCC_13_12016,29652.0552147239,20148.4754601227
CD4+ T cells,CD4+ T cells,12879.0,FAAGSCC_13_12879,30576.0930930931,19996.2642642643
endothelial cells,Endothelial,12989.0,FAAGSCC_13_12989,30496.2077562327,20283.9667590028
