phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
effector CD8+ T cells,Effector CD8+ T cells,6098.0,AGSCC_1_6098,37912.3509234829,32581.6622691293
stromal cells,Stromal,10538.0,AGSCC_1_10538,39711.9527145359,30383.8021015762
stromal cells,Stromal,14875.0,AGSCC_1_14875,39437.8223684211,31777.3059210526
M1/M0 macrophages,M1/M0 macrophages,17079.0,AGSCC_1_17079,38477.1194539249,30897.8225255973
effector CD8+ T cells,Effector CD8+ T cells,17236.0,AGSCC_1_17236,39914.8360128617,31725.5112540193
M1/M0 macrophages,M1/M0 macrophages,20036.0,AGSCC_1_20036,39151.0820895522,31299.6194029851
endothelial cells,Endothelial,20060.0,AGSCC_1_20060,39767.3600973236,31655.5206812652
effector CD8+ T cells,Effector CD8+ T cells,24518.0,AGSCC_1_24518,37952.4046242775,30953.8034682081
stromal cells,Stromal,25303.0,AGSCC_1_25303,38311.7027027027,31101.7459459459
endothelial cells,Endothelial,25548.0,AGSCC_1_25548,39134.6625514403,30553.5411522634
stromal cells,Stromal,28088.0,AGSCC_1_28088,39433.648,30314.544
stromal cells,Stromal,28708.0,AGSCC_1_28708,39637.7338129496,32032.5503597122
endothelial cells,Endothelial,29941.0,AGSCC_1_29941,39714.3928571429,32509.6726190476
stromal cells,Stromal,30742.0,AGSCC_1_30742,38540.1317829457,32065.3643410853
stromal cells,Stromal,35321.0,AGSCC_1_35321,39367.3244680851,31708.4255319149
regulatory T cells,Regulatory T cells,38265.0,AGSCC_1_38265,39421.5411471322,31835.4114713217
stromal cells,Stromal,38974.0,AGSCC_1_38974,38703.2075471698,30826.0628930818
regulatory T cells,Regulatory T cells,40320.0,AGSCC_1_40320,38275.3039399625,29732.8574108818
memory CD4+ T cells,Regulatory T cells,40469.0,AGSCC_1_40469,38789.4411764706,32813.9529411765
dendritic cells,Dendritic cells,44033.0,AGSCC_1_44033,38583.4717948718,32504.1641025641
memory CD4+ T cells,Regulatory T cells,48738.0,AGSCC_1_48738,39449.008,31719.232
stromal cells,Stromal,49428.0,AGSCC_1_49428,39468.1623036649,31913.3403141361
M2 macrophages,M2 macrophages,51413.0,AGSCC_1_51413,38206.6,29576.5333333333
stromal cells,Stromal,51538.0,AGSCC_1_51538,39143.5,32135.2279411765
Ki67+ tumor cells,Ki67+ tumor,52057.0,AGSCC_1_52057,39606.9131652661,32461.8655462185
Unknown,Other,54338.0,AGSCC_1_54338,39481.7983014862,31824.0658174098
stromal cells,Stromal,58970.0,AGSCC_1_58970,38451.88,30846.26
B cells,B cells,60768.0,AGSCC_1_60768,39401.3806306306,30299.6418918919
stromal cells,Stromal,61006.0,AGSCC_1_61006,38649.824,30863.9893333333
regulatory T cells,Regulatory T cells,61144.0,AGSCC_1_61144,37925.2585551331,31342.3536121673
effector CD8+ T cells,Effector CD8+ T cells,61604.0,AGSCC_1_61604,39569.514619883,32554.9210526316
CD4+ T cells,CD4+ T cells,63281.0,AGSCC_1_63281,38145.1560283688,29609.6241134752
CD4+ T cells,CD4+ T cells,63796.0,AGSCC_1_63796,39078.3702702703,31240.3945945946
stromal cells,Stromal,67330.0,AGSCC_1_67330,39033.2390891841,30357.2011385199
stromal cells,Stromal,69370.0,AGSCC_1_69370,38612.4662921348,32118.9691011236
effector CD8+ T cells,Effector CD8+ T cells,69395.0,AGSCC_1_69395,37912.1190926276,31539.359168242
stromal cells,Stromal,69904.0,AGSCC_1_69904,39446.3571428571,31876.1887755102
memory CD4+ T cells,Regulatory T cells,71059.0,AGSCC_1_71059,37901.7397260274,30929.7260273973
stromal cells,Stromal,71979.0,AGSCC_1_71979,37884.8137254902,31361.8137254902
stromal cells,Stromal,72680.0,AGSCC_1_72680,38894.4882352941,32229.9058823529
tumor cells,Tumor,73217.0,AGSCC_1_73217,39582.1727891156,30115.8489795918
memory CD4+ T cells,Regulatory T cells,73387.0,AGSCC_1_73387,39457.900862069,32593.4267241379
effector CD8+ T cells,Effector CD8+ T cells,74818.0,AGSCC_1_74818,38515.0526315789,32516.0789473684
stromal cells,Stromal,75423.0,AGSCC_1_75423,38774.490234375,32036.939453125
stromal cells,Stromal,75734.0,AGSCC_1_75734,38861.4264705882,31861.2794117647
stromal cells,Stromal,75961.0,AGSCC_1_75961,38004.9558823529,30914.0220588235
effector CD8+ T cells,Effector CD8+ T cells,77715.0,AGSCC_1_77715,39221.5094339623,31714.9874213836
stromal cells,Stromal,78415.0,AGSCC_1_78415,38603.847826087,30916.9096989967
endothelial cells,Endothelial,78727.0,AGSCC_1_78727,39783.9018181818,31679.5636363636
stromal cells,Stromal,79086.0,AGSCC_1_79086,39291.2050473186,32119.9716088328
endothelial cells,Endothelial,79229.0,AGSCC_1_79229,37915.3529411765,32656.0420168067
stromal cells,Stromal,79466.0,AGSCC_1_79466,38489.5294117647,31970.7450980392
stromal cells,Stromal,80946.0,AGSCC_1_80946,39435.9295774648,31757.75
stromal cells,Stromal,82039.0,AGSCC_1_82039,39068.4693877551,33228.0163265306
stromal cells,Stromal,82474.0,AGSCC_1_82474,39236.7228464419,30493.861423221
stromal cells,Stromal,82745.0,AGSCC_1_82745,39433.8525641026,31725.6217948718
stromal cells,Stromal,83460.0,AGSCC_1_83460,38084.671957672,32546.2433862434
stromal cells,Stromal,85951.0,AGSCC_1_85951,39766.1459074733,31597.8434163701
stromal cells,Stromal,86678.0,AGSCC_1_86678,38598.0782122905,32546.4208566108
stromal cells,Stromal,86759.0,AGSCC_1_86759,39259.3117977528,30270.797752809
