phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
endothelial cells,Endothelial,37.0,F81P1_37,30029.5354330709,48087.7007874016
stromal cells,Stromal,46.0,F81P1_46,31074.6169265033,47708.131403118
effector CD8+ T cells,Effector CD8+ T cells,70.0,F81P1_70,30373.9127516779,48688.1208053691
CD4+ T cells,CD4+ T cells,141.0,F81P1_141,29782.606741573,48723.702247191
CD4+ T cells,CD4+ T cells,518.0,F81P1_518,31650.1039823009,47546.6814159292
memory CD4+ T cells,Regulatory T cells,603.0,F81P1_603,32336.1531531532,47461.6726726727
effector CD8+ T cells,Effector CD8+ T cells,922.0,F81P1_922,31213.9027777778,47495.9305555556
stromal cells,Stromal,1177.0,F81P1_1177,29487.0991253644,48583.8367346939
CD4+ T cells,CD4+ T cells,1279.0,F81P1_1279,29867.7923076923,48488.7961538462
M2 macrophages,M2 macrophages,1341.0,F81P1_1341,30042.0546875,48662.28125
regulatory T cells,Regulatory T cells,1400.0,F81P1_1400,29884.5061728395,48112.1069958848
endothelial cells,Endothelial,1464.0,F81P1_1464,32397.9775967413,47624.8778004073
CD4+ T cells,CD4+ T cells,1478.0,F81P1_1478,32813.3414634146,48732.1056910569
endothelial cells,Endothelial,1503.0,F81P1_1503,28975.8341463415,48381.3590243902
endothelial cells,Endothelial,1802.0,F81P1_1802,29743.7234513274,48656.8849557522
CD4+ T cells,CD4+ T cells,1969.0,F81P1_1969,31583.0601265823,47846.0569620253
endothelial cells,Endothelial,2269.0,F81P1_2269,31911.0802919708,47742.5401459854
stromal cells,Stromal,2436.0,F81P1_2436,31090.6162790698,48129.019379845
CD4+ T cells,CD4+ T cells,2448.0,F81P1_2448,31845.6658536585,47497.6243902439
stromal cells,Stromal,2461.0,F81P1_2461,29171.4589235128,48582.1614730878
effector CD8+ T cells,Effector CD8+ T cells,2732.0,F81P1_2732,31410.5671077505,48249.2551984877
effector CD8+ T cells,Effector CD8+ T cells,2848.0,F81P1_2848,32956.8869047619,47874.0535714286
CD4+ T cells,CD4+ T cells,3399.0,F81P1_3399,29069.2085020243,48307.9858299595
CD4+ T cells,CD4+ T cells,3591.0,F81P1_3591,31506.3586065574,48391.6987704918
stromal cells,Stromal,3669.0,F81P1_3669,30964.1452282158,47920.5145228216
endothelial cells,Endothelial,3773.0,F81P1_3773,32134.2847682119,47786.059602649
effector CD8+ T cells,Effector CD8+ T cells,3838.0,F81P1_3838,32325.1382978723,48304.4468085106
neutrophils,Neutrophils,3922.0,F81P1_3922,30991.1605839416,47649.0
CD4+ T cells,CD4+ T cells,4123.0,F81P1_4123,30121.1370967742,48379.2822580645
effector CD8+ T cells,Effector CD8+ T cells,4256.0,F81P1_4256,29202.3489010989,48608.1758241758
memory CD8+ T cells,Effector CD8+ T cells,4316.0,F81P1_4316,30552.4333333333,48029.6138888889
effector CD8+ T cells,Effector CD8+ T cells,4337.0,F81P1_4337,30794.1,48141.7866666667
endothelial cells,Endothelial,4357.0,F81P1_4357,28942.5954022989,48404.7494252874
memory CD4+ T cells,Regulatory T cells,4611.0,F81P1_4611,30834.9763313609,47910.4792899408
CD4+ T cells,CD4+ T cells,4735.0,F81P1_4735,31623.6086956522,48384.0173913044
memory CD4+ T cells,Regulatory T cells,4749.0,F81P1_4749,29272.8009708738,48170.5291262136
CD4+ T cells,CD4+ T cells,4767.0,F81P1_4767,29452.4861111111,47982.1712962963
CD4+ T cells,CD4+ T cells,4869.0,F81P1_4869,32485.7378048781,47681.2865853659
CD4+ T cells,CD4+ T cells,4893.0,F81P1_4893,30285.2212389381,48288.4115044248
stromal cells,Stromal,4923.0,F81P1_4923,31439.4479768786,47824.7947976879
memory CD8+ T cells,Effector CD8+ T cells,5085.0,F81P1_5085,32637.5068493151,48597.095890411
effector CD8+ T cells,Effector CD8+ T cells,5205.0,F81P1_5205,29963.868852459,48731.868852459
endothelial cells,Endothelial,5393.0,F81P1_5393,29297.1149068323,48369.5621118012
CD4+ T cells,CD4+ T cells,5885.0,F81P1_5885,31822.2962025316,48239.7443037975
CD4+ T cells,CD4+ T cells,6050.0,F81P1_6050,31219.0192307692,47806.5192307692
effector CD8+ T cells,Effector CD8+ T cells,6088.0,F81P1_6088,33275.5525606469,47403.8571428571
CD4+ T cells,CD4+ T cells,6213.0,F81P1_6213,31662.6203703704,48062.1172839506
endothelial cells,Endothelial,6500.0,F81P1_6500,31153.9260143198,48695.1002386635
effector CD8+ T cells,Effector CD8+ T cells,6993.0,F81P1_6993,30418.94375,48171.7958333333
stromal cells,Stromal,7063.0,F81P1_7063,29981.2317073171,48100.4695121951
CD4+ T cells,CD4+ T cells,7090.0,F81P1_7090,29924.3312101911,48135.3630573248
effector CD8+ T cells,Effector CD8+ T cells,7311.0,F81P1_7311,33253.6202531646,47952.1417721519
stromal cells,Stromal,7563.0,F81P1_7563,28876.9740566038,48700.0330188679
regulatory T cells,Regulatory T cells,7566.0,F81P1_7566,31021.3609958506,48642.0954356847
stromal cells,Stromal,7591.0,F81P1_7591,32120.6589861751,47402.2626728111
CD4+ T cells,CD4+ T cells,7688.0,F81P1_7688,33076.1329113924,48669.664556962
stromal cells,Stromal,7894.0,F81P1_7894,29679.5345345345,48133.4954954955
M2 macrophages,M2 macrophages,8190.0,F81P1_8190,32157.8703007519,47524.4473684211
effector CD8+ T cells,Effector CD8+ T cells,8242.0,F81P1_8242,30338.1111111111,48613.4444444444
memory CD4+ T cells,Regulatory T cells,8372.0,F81P1_8372,29906.9166666667,47739.564516129
stromal cells,Stromal,8463.0,F81P1_8463,31222.6393442623,47667.4499089253
memory CD8+ T cells,Effector CD8+ T cells,8514.0,F81P1_8514,30065.8581818182,48091.8254545455
NK,NK,8907.0,F81P1_8907,31957.2491909385,47724.3527508091
stromal cells,Stromal,8983.0,F81P1_8983,31687.718487395,48029.9243697479
CD4+ T cells,CD4+ T cells,9520.0,F81P1_9520,28556.3134920635,48719.7380952381
effector CD8+ T cells,Effector CD8+ T cells,9630.0,F81P1_9630,31640.6594827586,47889.4827586207
M1/M0 macrophages,M1/M0 macrophages,9697.0,F81P1_9697,30501.7697841727,48415.3669064748
endothelial cells,Endothelial,9715.0,F81P1_9715,30819.8137931034,47856.6275862069
effector CD8+ T cells,Effector CD8+ T cells,9748.0,F81P1_9748,30359.5488721805,47728.5263157895
memory CD8+ T cells,Effector CD8+ T cells,9827.0,F81P1_9827,30142.0208333333,48632.484375
effector CD8+ T cells,Effector CD8+ T cells,9898.0,F81P1_9898,31574.344,48023.7573333333
effector CD8+ T cells,Effector CD8+ T cells,10204.0,F81P1_10204,31159.1607843137,47588.8078431373
memory CD4+ T cells,Regulatory T cells,10248.0,F81P1_10248,31787.4078624079,48292.5233415234
effector CD8+ T cells,Effector CD8+ T cells,10249.0,F81P1_10249,30445.2669491525,48304.3813559322
endothelial cells,Endothelial,10319.0,F81P1_10319,29703.7537313433,47799.802238806
CD4+ T cells,CD4+ T cells,10396.0,F81P1_10396,29362.173553719,48563.7272727273
CD4+ T cells,CD4+ T cells,10475.0,F81P1_10475,31058.535326087,48734.0190217391
effector CD8+ T cells,Effector CD8+ T cells,10521.0,F81P1_10521,29979.9224806202,48559.8682170543
CD4+ T cells,CD4+ T cells,10542.0,F81P1_10542,30851.6851851852,47878.1574074074
endothelial cells,Endothelial,10615.0,F81P1_10615,29980.404109589,48036.3835616438
M1/M0 macrophages,M1/M0 macrophages,10662.0,F81P1_10662,31033.5582524272,48717.2993527508
CD4+ T cells,CD4+ T cells,10784.0,F81P1_10784,32113.9244897959,47352.4163265306
stromal cells,Stromal,11197.0,F81P1_11197,29881.2295918367,48202.8852040816
memory CD4+ T cells,Regulatory T cells,11360.0,F81P1_11360,31531.25,47856.8936170213
memory CD4+ T cells,Regulatory T cells,11375.0,F81P1_11375,32353.3681318681,47798.8296703297
regulatory T cells,Regulatory T cells,11400.0,F81P1_11400,32150.0119047619,48439.193452381
M1/M0 macrophages,M1/M0 macrophages,11413.0,F81P1_11413,32220.5355450237,48116.6421800948
memory CD4+ T cells,Regulatory T cells,11538.0,F81P1_11538,30235.7936507937,48052.9920634921
stromal cells,Stromal,11693.0,F81P1_11693,28919.7633136095,48351.9230769231
CD4+ T cells,CD4+ T cells,11968.0,F81P1_11968,31124.4638554217,48075.1987951807
effector CD8+ T cells,Effector CD8+ T cells,12009.0,F81P1_12009,31839.1066176471,47938.2647058824
CD4+ T cells,CD4+ T cells,12042.0,F81P1_12042,32812.0243902439,47780.2097560976
CD4+ T cells,CD4+ T cells,12108.0,F81P1_12108,30830.6369426752,47980.5095541401
endothelial cells,Endothelial,12222.0,F81P1_12222,31550.6919191919,47567.8383838384
